LF_sup,LM_sup,LH_sup,RF_sup,RM_sup,RH_sup,LF_CTr,LM_CTr,LH_CTr,RF_CTr,RM_CTr,RH_CTr,LF_ThC,LM_ThC,LH_ThC,RF_ThC,RM_ThC,RH_ThC,LF_FTi,LM_FTi,LH_FTi,RF_FTi,RM_FTi,RH_FTi
23.864033,-6.581828,-15.514111,-3.827891,-2.758121,-26.373076,10.098908,10.609924,62.476468,-1.704479,18.699734,27.793535,64.952011,-10.804748,-46.791913,70.675622,15.992837,-72.616587,94.156048,44.843785,79.741676,149.857522,54.648516,121.586056
24.017460,-7.677819,-12.157649,-0.467894,-4.266778,-26.042584,11.489888,13.416224,64.183413,-5.270488,19.340112,26.089863,65.760798,-13.708518,-36.571208,73.181661,13.957224,-72.926760,91.949032,43.967520,60.172077,139.881452,53.938679,124.944172
23.411558,-8.913700,-7.699020,0.973052,-5.150220,-26.508039,12.955133,14.849219,63.576357,-3.650550,19.453199,24.765508,66.295848,-15.046393,-26.429785,73.007125,12.340652,-73.284376,90.426569,43.819628,45.708845,136.899997,53.025861,127.482363
22.797310,-10.307093,-3.769853,0.560401,-5.971957,-26.738018,12.060389,15.611501,59.307014,-4.017860,19.822171,24.086901,63.020796,-16.484684,-18.714892,74.973601,11.048497,-73.535884,88.985085,43.806663,35.538011,134.242832,52.546252,129.650200
22.723079,-11.576423,-2.063168,1.155749,-7.224690,-26.278951,12.867883,15.600373,53.683686,-2.221328,20.466066,23.267036,63.454311,-17.904083,-15.526271,73.920399,9.564498,-74.054422,87.787204,44.349810,30.801428,131.364230,51.853539,131.905577
22.494791,-12.207063,-2.076762,2.333993,-8.063435,-26.871125,14.610634,15.745285,51.787802,0.379112,20.614728,21.567282,63.075755,-18.718987,-15.629269,74.033253,8.399989,-74.443865,86.366393,45.319218,31.566763,128.228794,50.921634,134.224080
22.061914,-13.784935,-2.690096,3.256929,-9.005701,-26.856865,15.931698,15.286794,50.802626,2.493999,21.302812,19.654815,62.702239,-20.131293,-17.052337,73.997264,6.723859,-74.858095,84.561698,46.791766,31.928449,125.010743,49.540037,137.419152
21.536423,-15.341700,-4.234747,4.117692,-10.093346,-24.848296,16.698640,14.287421,47.478880,4.727164,21.798599,16.919951,65.496344,-22.162692,-19.921318,70.729501,4.497215,-74.838009,82.927470,48.397311,32.600709,121.136723,49.558800,141.851416
20.728359,-16.548271,-5.640748,5.083562,-11.052220,-24.153539,17.701870,13.880992,45.684968,5.999071,21.748984,13.345745,65.904326,-24.956457,-23.302201,69.557505,2.339378,-74.413508,80.851841,50.242294,33.422587,117.842033,50.019863,147.175534
19.465172,-17.076019,-5.770922,7.115102,-12.591428,-24.784603,19.574403,13.252495,44.530745,7.722311,21.083695,13.018850,65.157908,-28.895991,-25.569368,69.375482,-0.480354,-72.756109,78.174121,53.668506,35.200671,113.767651,50.016338,150.156635
20.155368,-18.051291,-7.163408,7.198906,-14.798208,-23.737900,21.131652,12.883805,42.382780,11.163237,21.240796,19.668268,67.739994,-32.203400,-27.522157,65.532182,-5.419726,-71.552641,74.602425,56.768295,38.001838,108.333121,51.320524,148.096933
20.716722,-18.712551,-8.055465,7.311088,-18.284828,-23.608264,21.275956,12.717739,41.049457,13.610545,21.693463,29.861042,70.235059,-34.889939,-29.395449,60.555808,-10.552570,-69.341292,71.370978,60.270567,40.920827,102.973907,51.791618,138.587589
20.409342,-19.738753,-9.254054,6.866901,-21.149130,-21.778094,21.040576,14.269190,39.536343,15.493062,22.339650,39.546745,68.780415,-37.905671,-31.942361,59.949200,-15.395760,-63.190757,68.192135,62.706877,43.930102,98.098902,52.613116,123.691298
20.029544,-19.650355,-9.880718,6.642060,-22.791067,-19.355814,20.777483,16.765703,38.706007,16.376264,22.480092,47.058904,65.653883,-40.581845,-33.971272,60.524994,-18.859034,-53.891161,65.286717,64.552175,46.360719,94.186685,53.463496,108.035928
20.330407,-19.286635,-10.548450,6.127229,-24.206210,-15.672435,21.061219,18.170628,38.657949,17.535120,22.052964,52.224543,63.603482,-40.781369,-35.303848,61.128374,-21.513484,-42.161642,62.862950,65.901373,47.486187,91.285889,55.561198,91.346177
22.055249,-17.043813,-12.284222,8.446691,-25.181395,-12.562251,25.593369,25.962564,38.352799,23.214983,24.064001,55.527995,67.412363,-38.637539,-38.191050,58.252981,-23.509248,-31.661113,61.098271,67.863831,48.280029,88.750991,57.165982,75.645140
21.765504,-11.878415,-13.581140,8.623433,-24.740113,-8.673672,26.504104,33.985840,37.896209,24.347170,25.445301,57.767149,67.878029,-30.984791,-41.595893,56.298076,-24.969262,-22.720694,58.161900,69.975221,49.329173,85.774342,59.268515,61.902650
21.412469,-2.513839,-16.031456,9.388570,-24.165202,-6.387849,28.078705,41.056031,38.542834,25.638776,25.012964,55.603903,67.563684,-16.711341,-45.797712,55.516042,-25.134906,-18.428580,55.527830,72.525849,49.460746,83.293362,62.466620,51.935477
19.946631,7.437856,-18.578872,10.351798,-24.339939,-5.189395,28.963452,38.856549,39.118614,25.589730,24.666487,51.821223,66.932364,4.195063,-49.434842,54.294426,-25.646390,-16.942676,53.336799,88.154596,50.132641,80.793422,65.286887,43.257832
19.892206,17.117200,-20.312656,10.953710,-24.403934,-4.763208,29.695798,31.027960,38.683370,26.419910,22.503037,48.458559,65.746565,22.441939,-51.595043,53.800723,-26.021929,-16.859162,51.680263,104.665716,51.176141,78.739470,68.995466,42.634580
18.655542,23.096359,-20.363782,11.647444,-25.405245,-4.923791,29.649624,14.443740,38.810456,26.340569,22.494330,47.697549,63.590293,33.749869,-52.354260,53.968985,-27.824587,-17.495162,50.931604,119.397620,53.101415,76.862211,68.586891,42.906028
18.257206,26.248982,-20.035778,11.529741,-26.570542,-6.557859,29.818099,0.347149,38.232406,27.829006,22.735078,47.391369,60.892748,38.652549,-52.297790,54.483573,-31.058189,-20.355203,49.583569,123.911411,56.089908,74.209967,69.195247,42.580475
18.397421,26.745098,-19.927658,11.920131,-27.276436,-8.009443,30.231783,-12.254486,36.820404,29.728318,22.249280,47.254368,58.019323,39.821571,-51.472913,55.170277,-34.654927,-23.710309,48.870060,125.297038,59.422913,71.595571,70.290353,42.123891
17.499684,26.916164,-19.771559,12.127605,-27.612472,-9.159923,29.353351,-10.576865,34.504109,30.075078,20.946346,46.067195,54.401826,36.910796,-51.187495,56.028980,-36.918665,-25.812471,48.927362,122.235368,62.974526,69.361113,71.094168,42.120607
15.888907,27.128936,-19.134200,13.803985,-28.446661,-10.931640,28.713965,1.736850,32.544436,29.617702,20.137234,44.901993,52.557238,35.903377,-51.013403,55.861501,-38.313141,-28.353871,49.775656,114.556503,66.188448,67.845260,70.560027,41.952930
15.257614,28.240126,-18.493888,14.268265,-28.751154,-11.530179,27.983113,3.905564,30.593999,29.397595,18.202615,43.134866,50.734918,37.460407,-50.527567,56.156781,-39.518705,-29.152306,50.298703,104.575362,68.572636,66.883787,72.021432,42.113063
15.366428,28.118162,-19.149286,14.008697,-28.626637,-11.793394,27.498521,0.867322,29.085617,29.825186,18.179260,42.765503,50.038191,36.301359,-50.601999,55.303389,-40.707900,-29.800641,49.916057,101.248800,70.359722,65.842324,73.002124,42.712092
15.486174,27.961140,-18.990936,14.211589,-28.683652,-12.542897,28.240274,1.465368,29.345736,29.594987,17.908887,41.134990,51.194542,36.213240,-51.655103,52.844359,-40.854516,-30.065562,49.162988,99.606058,71.188416,65.190741,74.271094,44.191953
15.426245,27.902627,-19.837733,13.540891,-28.038989,-12.060208,28.312285,1.435137,29.575460,29.195646,16.944884,39.909170,50.047786,35.609652,-53.025763,52.326347,-40.846922,-30.040958,47.984444,97.190643,71.363820,64.657807,76.991412,46.238277
14.334392,27.661609,-21.223876,12.362574,-26.851507,-11.550400,26.680962,1.424050,29.886645,27.051457,16.745498,39.534326,46.312066,34.571821,-54.763307,53.206649,-40.347349,-30.211901,47.065318,94.472879,71.440238,64.394221,79.871840,48.442582
13.794876,26.929909,-21.625975,12.374629,-25.696737,-11.690816,27.501924,2.998175,30.396218,25.530616,20.722907,37.951249,43.295086,33.576196,-56.343156,53.297502,-37.769775,-30.905066,46.322496,91.369051,72.300468,63.770310,80.676501,50.313055
13.016319,26.282513,-23.302535,10.922777,-21.701258,-12.071017,30.236246,1.769913,30.187308,23.637404,29.217946,38.740173,38.506003,30.951401,-58.012866,54.700708,-31.408422,-33.205241,48.253240,88.853296,74.714509,62.348729,85.054465,51.969508
14.534945,24.631057,-22.646952,11.195120,-16.739112,-15.199011,41.707842,2.506059,29.694554,25.214234,32.479757,39.077814,39.760833,31.059142,-57.212958,54.274090,-17.718341,-38.315288,59.861063,85.897306,78.892127,60.350331,105.579460,52.795668
15.150470,23.835425,-22.086390,10.369966,-11.490414,-16.497485,49.510752,2.364708,28.557178,25.944589,32.307626,39.836392,43.739465,29.601040,-56.427427,53.077101,1.281898,-41.495502,74.340172,83.688889,82.985669,58.093819,125.493733,51.386663
14.951810,22.680380,-20.763004,10.866837,-7.442591,-18.904302,56.441184,2.971349,27.219649,25.923841,23.485291,40.534479,50.729422,27.900525,-55.787711,52.664187,18.978931,-45.019719,98.674645,82.016235,86.285057,56.155435,141.211443,53.307858
