sim_time,body_x,body_y,body_z,body_roll,body_pitch,body_yaw,motor_cmd_FL_TC,motor_cmd_FL_CF,motor_cmd_FL_FT,motor_cmd_ML_TC,motor_cmd_ML_CF,motor_cmd_ML_FT,motor_cmd_HL_TC,motor_cmd_HL_CF,motor_cmd_HL_FT,motor_cmd_FR_TC,motor_cmd_FR_CF,motor_cmd_FR_FT,motor_cmd_MR_TC,motor_cmd_MR_CF,motor_cmd_MR_FT,motor_cmd_HR_TC,motor_cmd_HR_CF,motor_cmd_HR_FT,motor_pos_FL_TC,motor_pos_FL_CF,motor_pos_FL_FT,motor_pos_ML_TC,motor_pos_ML_CF,motor_pos_ML_FT,motor_pos_HL_TC,motor_pos_HL_CF,motor_pos_HL_FT,motor_pos_FR_TC,motor_pos_FR_CF,motor_pos_FR_FT,motor_pos_MR_TC,motor_pos_MR_CF,motor_pos_MR_FT,motor_pos_HR_TC,motor_pos_HR_CF,motor_pos_HR_FT,force_FL,force_ML,force_HL,force_FR,force_MR,force_HR,force_FL_x,force_FL_y,force_FL_z,force_ML_x,force_ML_y,force_ML_z,force_HL_x,force_HL_y,force_HL_z,force_FR_x,force_FR_y,force_FR_z,force_MR_x,force_MR_y,force_MR_z,force_HR_x,force_HR_y,force_HR_z,FL_foot_traj_x,FL_foot_traj_y,FL_foot_traj_z,ML_foot_traj_x,ML_foot_traj_y,ML_foot_traj_z,HL_foot_traj_x,HL_foot_traj_y,HL_foot_traj_z,FR_foot_traj_x,FR_foot_traj_y,FR_foot_traj_z,MR_foot_traj_x,MR_foot_traj_y,MR_foot_traj_z,HR_foot_traj_x,HR_foot_traj_y,HR_foot_traj_z
0,-1.555594006,-0.045702639,0.259212687,0.034685084,0.058638473,0.000967011,-0.766785579,0.488622833,-2.30753338,-0.681140857,-0.029305733,-1.235879605,0.940490575,0.617591568,-2.007976902,1.105234392,-0.443144546,1.756415974,-0.4807043,-0.384157252,1.968394426,-0.314435708,-0.793011323,2.41908965,-0.618651842,0.313647666,-1.304381109,-0.107647513,-0.018433188,-1.159435538,0.789267931,0.310769227,-1.306107833,0.60532505,-0.351279228,1.292668146,-0.09660962,-0.223543949,1.30922781,-0.603218439,-0.39918192,1.306688743,0.241693405,0.045561995,0.240213297,0.269794976,0.135974559,0.233173009,-0.306564559,0.055807169,-0.313044398,-0.227397259,0.085712058,-0.035279211,0.293184157,-0.043135012,-0.325530594,-0.32761856,-0.27066256,-0.200287734,0.261330321,-0.067808687,-0.19996837,-0.283718138,0.039350539,-0.324952933,-1.285956438,0.460882905,0.037010868,-1.736674966,0.318478782,0.040639061,-2.230046093,0.323730122,0.08274883,-1.281165877,-0.541913926,0.012648876,-1.788685196,-0.405277348,0.061484938,-2.183448326,-0.454705423,0.080812243
0.05,-1.557087319,-0.048802314,0.238237842,0.014850768,0.084934783,-0.004392087,-0.747511251,0.488106281,-2.299938226,-0.670438168,0.033352429,-1.285600542,0.941173149,0.607180766,-1.991433078,1.113573243,-0.44256922,1.764609784,-0.481340938,-0.368797224,1.966431092,-0.322950597,-0.781830127,2.422601142,-0.70466404,0.507228151,-1.618513276,-0.39012983,0.016392477,-1.241606529,0.890626433,0.534377994,-1.620231699,0.810936701,-0.494661954,1.578649241,-0.332601822,-0.324149882,1.623300082,-0.412696745,-0.646803918,1.620877396,0.125295856,0,0.06358038,6.066760213,0,0,0.206012111,0.251244906,0.015887142,-0.148267236,0.067569106,-0.107670048,-0.213178989,0.15212063,-0.029810228,-2.950251256,-3.130643989,4.55712292,-0.035553268,-0.14222558,-0.088963439,0.093087862,-0.084884527,-0.122924376,-1.286595471,0.364069808,0.034825222,-1.659122222,0.280493404,0.014938789,-2.231802515,0.246615809,0.115334747,-1.252283642,-0.427455577,0.009526738,-1.863107498,-0.343633607,0.062126585,-2.085015924,-0.462596323,0.131567874
0.1,-1.559988639,-0.056461753,0.220967853,0.006194907,0.111501029,-0.020064559,-0.729673555,0.486647069,-2.294146699,-0.686542594,0.036976229,-1.369523947,0.938727777,0.598502832,-1.980269874,1.12330374,-0.441660128,1.769410357,-0.482872173,-0.355139643,1.967810852,-0.326440617,-0.769547321,2.423467434,-0.722331799,0.603734638,-1.92841266,-0.58248402,0.090530146,-1.322404264,0.922687204,0.595975255,-1.852312157,1.011050038,-0.588985766,1.702884179,-0.432917606,-0.3438452,1.846514119,-0.347631015,-0.819708684,1.935050139,4.340954218,11.46937179,0,4.166226431,0.066694358,0.079683982,0.304753242,3.22382858,3.183444668,-5.826904001,3.680863187,9.416616907,-0.108779924,-0.079714144,0.039367883,-1.909159952,-2.043827288,3.352881081,-0.24255931,0.072336889,-0.084013309,0.244484022,-0.134206434,0.020960114,-1.347168011,0.271855459,0.008623952,-1.607007453,0.239388119,0.009591799,-2.193008679,0.194889839,0.104598792,-1.221902226,-0.341857456,0.009949264,-1.881688061,-0.283377914,0.051989828,-2.036756898,-0.408991887,0.144103553
0.15,-1.558763002,-0.060116272,0.220500699,0.034070654,0.095911888,-0.029343035,-0.728295994,0.491574061,-2.288761934,-0.692654098,0.021455783,-1.411393143,0.935857534,0.587985433,-1.967787538,1.120426297,-0.445070644,1.774975585,-0.485141084,-0.350108501,1.975072707,-0.327595909,-0.756168286,2.424598294,-0.726665254,0.603465713,-2.160691487,-0.654069247,0.087459794,-1.379819827,0.931187463,0.589874271,-1.92753314,1.082448225,-0.604038635,1.749825227,-0.46716013,-0.347358749,1.930251695,-0.334560582,-0.901988978,2.227080745,3.420190512,3.919110939,0,3.255415706,0,0,0.123784185,1.858188316,3.104447295,-1.511450908,2.951048412,2.444157186,-0.04762422,-0.151911648,-0.102462492,-0.768806392,-2.7228242,1.983699275,-0.052276184,0.055500102,-0.118524789,0.000833318,0.016017259,-0.016005467,-1.408544103,0.201152989,0.009852328,-1.585665933,0.21580787,0.00995625,-2.167402913,0.180259936,0.088955307,-1.211856784,-0.301423789,0.009994632,-1.875491588,-0.255657786,0.04181569,-2.002911192,-0.327170022,0.121672714
0.2,-1.55642286,-0.061608908,0.230147035,0.059846095,0.063397319,-0.032830367,-0.732304776,0.500267872,-2.284502557,-0.690820923,0.020068901,-1.414485638,0.935095857,0.579386669,-1.953171242,1.11143928,-0.447784326,1.782953421,-0.485979717,-0.342982315,1.978799061,-0.330313407,-0.741899778,2.425291135,-0.730104159,0.535098385,-2.241363155,-0.677987085,0.044121093,-1.402392062,0.933926655,0.582896495,-1.944249233,1.101106749,-0.574604294,1.771379223,-0.479499745,-0.343247301,1.961873607,-0.331884018,-0.807114298,2.3561748,1.852350277,2.217439972,0,4.194990004,0,0,-0.604920158,0.79250104,1.793921783,-0.800464473,1.597571361,1.628200967,0.008591695,-0.067053573,-0.086804589,-0.512054149,-3.495060917,2.61501183,-0.009486422,0.033336355,-0.113405812,0.003189334,0.137427244,-0.108047338,-1.436048651,0.16651979,0.010443007,-1.579705343,0.202527445,0.009995382,-2.153225848,0.180733865,0.081140832,-1.211389415,-0.282282486,0.009999503,-1.865405456,-0.241543388,0.036726966,-1.976502301,-0.267739867,0.086718201
0.25,-1.555169999,-0.066195976,0.23398529,0.076307461,0.040821661,-0.040256978,-0.715445863,0.502685946,-2.286030512,-0.691869787,0.018095845,-1.42122484,0.936074058,0.574507044,-1.941375018,1.115358773,-0.447678912,1.791013633,-0.490230832,-0.33600891,1.976009014,-0.337395761,-0.732713122,2.423086446,-0.720545225,0.513002227,-2.270472885,-0.686992235,0.026926233,-1.414665985,0.93540281,0.577005322,-1.942378067,1.110516797,-0.561534979,1.784151645,-0.486560171,-0.337989953,1.971094384,-0.335272288,-0.746535228,2.399765031,0,0.03742815,0,4.646173355,0,0.002598021,0.012257917,-0.055887839,-0.106694123,-0.165519435,0.023067511,0.168651514,-0.00089345,-0.04244707,-0.093994104,-0.141508682,-3.600896461,3.240203103,0.010530711,0.015928671,-0.088055981,0.010926387,0.105442892,-0.172651002,-1.442491375,0.15181878,0.015396193,-1.574307135,0.193706287,0.010137815,-2.146103384,0.18329399,0.074136235,-1.212177876,-0.277391039,0.010000026,-1.860598919,-0.236206458,0.030270349,-1.96445266,-0.240205924,0.067348717
0.3,-1.55478632,-0.072570033,0.233339955,0.093713205,0.025214199,-0.050597251,-0.691272618,0.493515283,-2.290264279,-0.687402634,0.006606095,-1.425320789,0.939379379,0.570256166,-1.934936648,1.121258999,-0.446789814,1.79687008,-0.497470279,-0.333147497,1.963876492,-0.343204599,-0.730572526,2.417015353,-0.701602404,0.499593726,-2.283371754,-0.687113929,0.013601033,-1.421604917,0.937642675,0.57235909,-1.937537457,1.118406909,-0.560884777,1.792450665,-0.493907349,-0.334779555,1.966395182,-0.340547999,-0.735514918,2.411016508,0,0.916863405,0,4.670983695,0,0,0.022631483,-0.002692778,-0.087553802,-0.61638187,0.219940518,0.905032279,0.001137509,-0.034387844,-0.0952649,0.623028563,-1.950461858,4.419730321,0.008541108,-0.002888684,-0.099240012,0.005930629,0.019791667,-0.116314337,-1.445571807,0.144677212,0.018017366,-1.571136448,0.188270237,0.00998898,-2.141433127,0.186492661,0.068092653,-1.2122584,-0.277624474,0.010000083,-1.860675675,-0.235074783,0.02187171,-1.961825269,-0.232498977,0.056865281
0.35,-1.555290628,-0.075995093,0.231985233,0.105178282,0.012600467,-0.055204206,-0.678178927,0.492869037,-2.294493331,-0.684948588,0.005635776,-1.431749152,0.942624475,0.56801042,-1.928136891,1.122292546,-0.445734133,1.800778797,-0.50148448,-0.326434661,1.952383533,-0.346989958,-0.722401035,2.409891131,-0.686375516,0.494902563,-2.290634781,-0.68514058,0.009234857,-1.42819751,0.940723684,0.569396016,-1.9314183,1.121555448,-0.560762036,1.797917669,-0.499146444,-0.329352301,1.957265489,-0.344906083,-0.726848191,2.410281513,0,2.182214307,0,4.766416586,0,0,0.016306972,-0.00169438,-0.097332905,-1.298683239,0.463576596,1.942540499,-0.000336268,-0.029595797,-0.092987258,0.722679433,-1.738461299,4.595735029,0.001052302,-0.018700315,-0.097277272,-0.00071219,-0.014523132,-0.098500524,-1.447778722,0.142247636,0.0197421,-1.570242788,0.186410999,0.009998897,-2.140079568,0.188574472,0.06199239,-1.212336613,-0.27776828,0.010000089,-1.861140573,-0.234798069,0.013886087,-1.961284546,-0.23006612,0.047728335
0.4,-1.555674231,-0.077562152,0.232038871,0.111240169,5.27E-06,-0.057312748,-0.661142048,0.489635431,-2.296176719,-0.679511283,0.000344615,-1.441988482,0.944514985,0.563329987,-1.925462789,1.127060965,-0.450138428,1.802517608,-0.504379726,-0.320880297,1.938110153,-0.348708357,-0.718175236,2.400543589,-0.670068031,0.491066124,-2.294246586,-0.680882776,0.004776996,-1.437176562,0.943237766,0.565301912,-1.927537576,1.124992989,-0.553242989,1.800924922,-0.503021475,-0.324812347,1.944837385,-0.347327854,-0.720973649,2.403941873,0,1.912184324,0,3.975883855,5.983790159,0,0.000373379,0.006607412,-0.107635556,-1.074423576,0.791898556,1.637019631,-0.015503014,-0.016080309,-0.094975136,-0.120752239,-2.201011666,3.546684721,-0.507837386,2.924075508,5.425047865,-0.007593111,-0.024118723,-0.1175269,-1.449217455,0.142622862,0.02230151,-1.569972268,0.185084579,0.009999961,-2.138358658,0.190167926,0.055849287,-1.212403498,-0.277589486,0.010000089,-1.861495252,-0.234751468,0.009908869,-1.960768785,-0.229502665,0.040291753
0.45,-1.555769547,-0.076323619,0.23630564,0.096596459,-0.013971652,-0.056583692,-0.659437366,0.500529453,-2.29687317,-0.679285847,0.00617005,-1.44343834,0.945654265,0.560565187,-1.921735375,1.124283415,-0.45256162,1.804661755,-0.500365014,-0.305965381,1.928556146,-0.347499913,-0.70133812,2.392876585,-0.663238188,0.496915649,-2.295962957,-0.679708526,0.005894487,-1.441272311,0.944789089,0.562060848,-1.9237612,1.125181035,-0.522695642,1.803343933,-0.503049846,-0.31468063,1.934313518,-0.347524908,-0.708188778,2.396736058,0,1.870818474,0,4.133159506,8.360300701,0,0.001650968,0.009109102,-0.092534663,-1.101550323,-0.089200694,1.751262195,0.006061201,-0.016434826,-0.079575023,0.680960713,-3.403905403,2.593451718,-3.364567151,3.607494699,6.996028729,-0.006370111,-0.019040881,-0.10604776,-1.447037403,0.141927814,0.026245211,-1.567739202,0.18232544,0.010000076,-2.136378333,0.189258237,0.046931469,-1.213972553,-0.273589114,0.010000089,-1.861333439,-0.235830663,0.009990295,-1.958287994,-0.23106687,0.038588691
