action1,action2,action3,action4,action5,action6,action7,action8
9.814611673355102539e-01,-7.523316740989685059e-01,2.282488048076629639e-01,-4.757535755634307861e-01,-9.798219203948974609e-01,8.514643907546997070e-01,8.591899871826171875e-01,6.504556536674499512e-01
9.985060691833496094e-01,-8.723469972610473633e-01,-3.096322156488895416e-02,-9.570746421813964844e-01,-4.065897762775421143e-01,9.372446537017822266e-01,9.291853904724121094e-01,6.498839855194091797e-01
7.715244293212890625e-01,-3.996984660625457764e-01,3.393087536096572876e-02,-6.990048885345458984e-01,-5.502977967262268066e-01,9.580085277557373047e-01,8.899276256561279297e-01,6.182668209075927734e-01
-2.685883343219757080e-01,6.614030003547668457e-01,-4.776232540607452393e-01,-6.289563179016113281e-01,6.244238615036010742e-01,6.464299559593200684e-01,9.104861617088317871e-01,8.229002356529235840e-01
1.139167249202728271e-01,-2.038798779249191284e-01,5.888071060180664062e-01,-8.041784167289733887e-01,-8.012643456459045410e-01,7.707952857017517090e-01,6.765676736831665039e-01,6.231095790863037109e-01
4.617708921432495117e-01,-4.770353138446807861e-01,-7.551145553588867188e-01,-4.491295516490936279e-01,9.033786654472351074e-01,7.360507249832153320e-01,9.003543853759765625e-01,7.200206518173217773e-01
6.645954847335815430e-01,4.126610457897186279e-01,8.530495166778564453e-01,-8.092525005340576172e-01,-9.379578232765197754e-01,8.470805883407592773e-01,8.353485465049743652e-01,7.086651325225830078e-01
2.353483289480209351e-01,-7.267810106277465820e-01,-1.385768502950668335e-01,1.025835275650024414e-01,-3.709282726049423218e-02,9.377999901771545410e-01,9.717327952384948730e-01,7.240044474601745605e-01
9.719790816307067871e-01,2.339058667421340942e-01,-3.511318266391754150e-01,-7.162683010101318359e-01,-5.836610198020935059e-01,9.486743807792663574e-01,9.541430473327636719e-01,8.596869707107543945e-01
9.426243305206298828e-01,-5.647751092910766602e-01,4.109447300434112549e-01,-8.271267414093017578e-01,4.143376052379608154e-01,9.231617450714111328e-01,9.782156348228454590e-01,8.095647096633911133e-01
8.197115659713745117e-01,5.082247257232666016e-01,-2.590813040733337402e-01,-7.781662344932556152e-01,-2.110114321112632751e-02,9.561558961868286133e-01,9.481046795845031738e-01,9.051752090454101562e-01
6.184326410293579102e-01,-3.564071655273437500e-02,3.450221717357635498e-01,-7.439547777175903320e-01,8.196778297424316406e-01,7.657874226570129395e-01,9.840779304504394531e-01,8.593639135360717773e-01
-9.758681654930114746e-01,7.632701396942138672e-01,-1.961432993412017822e-01,-7.362379431724548340e-01,4.310745596885681152e-01,6.327757239341735840e-01,7.267918586730957031e-01,7.445201873779296875e-01
-5.573885440826416016e-01,-1.982889324426651001e-01,2.112198173999786377e-01,-3.394748866558074951e-01,-5.691757202148437500e-01,6.409081816673278809e-01,4.590280950069427490e-01,7.271742224693298340e-01
1.964564435184001923e-02,-2.702663838863372803e-01,-6.091952323913574219e-01,1.740490198135375977e-01,4.663325250148773193e-01,8.602277934551239014e-02,2.464122921228408813e-01,5.571098923683166504e-01
7.911021709442138672e-01,-2.203558087348937988e-01,3.896321654319763184e-01,-4.633873701095581055e-01,-8.447430133819580078e-01,1.383108943700790405e-01,2.419675141572952271e-01,2.801184654235839844e-01
3.790122568607330322e-01,-7.766206264495849609e-01,4.944469630718231201e-01,6.237272024154663086e-01,-9.704263210296630859e-01,6.006542444229125977e-01,9.010189771652221680e-01,6.889389753341674805e-01
9.154626131057739258e-01,-5.507395267486572266e-01,-7.275459766387939453e-01,-9.360709190368652344e-01,5.339851379394531250e-01,9.577550292015075684e-01,9.036673307418823242e-01,2.361178249120712280e-01
4.039020836353302002e-02,1.434057652950286865e-01,7.442079782485961914e-01,-6.397370696067810059e-01,-9.161725640296936035e-01,8.785093426704406738e-01,9.349115490913391113e-01,5.904283523559570312e-01
6.801947355270385742e-01,-7.168235182762145996e-01,-4.068029820919036865e-01,-8.804038763046264648e-01,7.711234092712402344e-01,7.662016749382019043e-01,8.133993148803710938e-01,5.447900891304016113e-01
7.815964818000793457e-01,-1.921361535787582397e-01,3.549799919128417969e-01,-7.444487810134887695e-01,2.964708209037780762e-01,5.006657838821411133e-01,8.807011842727661133e-01,7.078841924667358398e-01
-8.767880797386169434e-01,6.833250522613525391e-01,-1.486069262027740479e-01,-7.974582910537719727e-01,7.605244517326354980e-01,5.323213934898376465e-01,8.017998337745666504e-01,7.222905158996582031e-01
-9.779134392738342285e-01,-3.345478773117065430e-01,-2.810989320278167725e-01,-7.576211690902709961e-01,5.951946973800659180e-01,2.876819968223571777e-01,4.847816228866577148e-01,5.158784985542297363e-01
-4.975928366184234619e-01,-5.860331058502197266e-01,-3.259061872959136963e-01,-4.963457286357879639e-01,-4.369432032108306885e-01,-4.405116289854049683e-02,5.324654653668403625e-02,3.383822739124298096e-01
-1.515528410673141479e-01,-3.630976751446723938e-02,3.974958956241607666e-01,-5.316696763038635254e-01,-9.258248805999755859e-01,-4.147081077098846436e-02,3.022758960723876953e-01,1.339071393013000488e-01
9.347932338714599609e-01,-5.240693092346191406e-01,-8.130066990852355957e-01,-6.847709417343139648e-01,-6.136165857315063477e-01,8.388066291809082031e-01,4.809511005878448486e-01,1.674290597438812256e-01
2.871307432651519775e-01,-5.012007951736450195e-01,6.095206737518310547e-01,-5.966200828552246094e-01,3.832077085971832275e-01,2.380374521017074585e-01,7.778794765472412109e-01,1.305139660835266113e-01
-4.704092741012573242e-01,-6.328893303871154785e-01,-1.057567372918128967e-01,-5.826786160469055176e-01,5.152224302291870117e-01,4.621827304363250732e-01,6.822477579116821289e-01,8.283176273107528687e-02
-1.806383766233921051e-02,-4.855098724365234375e-01,-4.974249750375747681e-03,-7.059320807456970215e-01,-3.591129481792449951e-01,6.242327094078063965e-01,6.770257949829101562e-01,4.409221112728118896e-01
8.590946197509765625e-01,-2.398253232240676880e-01,1.065280288457870483e-01,-6.755741238594055176e-01,-1.737283915281295776e-01,4.332067668437957764e-01,2.782152593135833740e-01,4.050506353378295898e-01
