Logging started at 20250821-1905
scale: [1. 1. 1. 1. 1. 1. 1. 1.]
mid: [0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1.]
scale: [1. 1. 1. 1. 1. 1. 1. 1.]
mid: [0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1.]
NVIDIA GeForce RTX 4060 Laptop GPU
Process ID: 615181
Env: Ant-v4, experts/Ant_make_states.pt, experts/Ant_make_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (1, 62155, 27), actions: (1, 62155, 8)
Expert data states: (62154, 27), actions: (62154, 8)
normalized expert action high: 0.9985060691833496
normalized expert action low: -0.9924452304840088
Expert buffer size: 62154
Initial state shape: (27,)
Num steps: 10000    Return: 893.4   Time: 0:00:09
Num steps: 20000    Return: 898.3   Time: 0:00:18
Num steps: 30000    Return: 912.8   Time: 0:00:27
Num steps: 40000    Return: 830.7   Time: 0:00:36
Num steps: 50000    Return: 818.0   Time: 0:00:45
Num steps: 60000    Return: 681.6   Time: 0:00:56
Num steps: 70000    Return: 592.1   Time: 0:01:06
Num steps: 80000    Return: 562.0   Time: 0:01:16
Num steps: 90000    Return: 665.7   Time: 0:01:27
Num steps: 100000   Return: 623.3   Time: 0:01:36
Num steps: 110000   Return: 587.9   Time: 0:01:46
Num steps: 120000   Return: 318.5   Time: 0:01:57
Num steps: 130000   Return: 134.3   Time: 0:02:07
Num steps: 140000   Return: -38.1   Time: 0:02:17
Num steps: 150000   Return: -151.6   Time: 0:02:27
Num steps: 160000   Return: -274.4   Time: 0:02:38
Num steps: 170000   Return: -320.0   Time: 0:02:49
Num steps: 180000   Return: -256.4   Time: 0:02:59
Num steps: 190000   Return: -204.7   Time: 0:03:10
Num steps: 200000   Return: -159.9   Time: 0:03:19
Num steps: 210000   Return: -92.9   Time: 0:03:29
Num steps: 220000   Return: -268.5   Time: 0:03:39
Num steps: 230000   Return: -365.1   Time: 0:03:49
Num steps: 240000   Return: -300.5   Time: 0:03:59
Num steps: 250000   Return: -321.1   Time: 0:04:08
Num steps: 260000   Return: -304.0   Time: 0:04:18
