Logging started at 20250313-1724
NVIDIA RTX A6000
Process ID: 3758740
Env: Ant-v4, Ant_states.pt, Ant_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 100000, Eval interval: 1000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0003, lr_critic: 0.0003, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.02, Max Grad Norm: 10.0
Load data:
states: (64, 1000, 27), actions: (64, 1000, 8)
Expert data:
states: (63936, 27), actions: (63936, 8)
Expert buffer size: 63936
Initial state shape: (27,)
Num steps: 1000     Return: 949.8   Time: 0:00:04
Num steps: 2000     Return: 926.5   Time: 0:00:08
Num steps: 3000     Return: 890.0   Time: 0:00:12
Num steps: 4000     Return: 896.9   Time: 0:00:16
Num steps: 5000     Return: 870.2   Time: 0:00:20
Num steps: 6000     Return: 896.8   Time: 0:00:24
Num steps: 7000     Return: 886.1   Time: 0:00:28
Num steps: 8000     Return: 830.3   Time: 0:00:32
Num steps: 9000     Return: 809.0   Time: 0:00:36
Num steps: 10000    Return: 784.9   Time: 0:00:40
Num steps: 11000    Return: 857.0   Time: 0:00:44
Num steps: 12000    Return: 846.5   Time: 0:00:48
Num steps: 13000    Return: 858.5   Time: 0:00:52
Num steps: 14000    Return: 831.5   Time: 0:00:56
Num steps: 15000    Return: 842.9   Time: 0:01:00
Num steps: 16000    Return: 840.0   Time: 0:01:04
Num steps: 17000    Return: 822.1   Time: 0:01:08
Num steps: 18000    Return: 813.8   Time: 0:01:12
Num steps: 19000    Return: 810.9   Time: 0:01:16
Num steps: 20000    Return: 836.2   Time: 0:01:20
Num steps: 21000    Return: 878.5   Time: 0:01:24
Num steps: 22000    Return: 887.8   Time: 0:01:28
Num steps: 23000    Return: 826.6   Time: 0:01:32
Num steps: 24000    Return: 762.0   Time: 0:01:36
Num steps: 25000    Return: 799.0   Time: 0:01:40
Num steps: 26000    Return: 818.9   Time: 0:01:44
Num steps: 27000    Return: 784.7   Time: 0:01:48
Num steps: 28000    Return: 767.7   Time: 0:01:52
Num steps: 29000    Return: 790.9   Time: 0:01:56
Num steps: 30000    Return: 775.4   Time: 0:02:00
Num steps: 31000    Return: 785.8   Time: 0:02:04
Num steps: 32000    Return: 818.4   Time: 0:02:08
Num steps: 33000    Return: 823.1   Time: 0:02:12
Num steps: 34000    Return: 845.4   Time: 0:02:16
Num steps: 35000    Return: 831.8   Time: 0:02:20
Num steps: 36000    Return: 859.3   Time: 0:02:24
Num steps: 37000    Return: 830.0   Time: 0:02:28
