Logging started at 20250313-1809
NVIDIA RTX A6000
Process ID: 3809285
Env: Ant-v4, Ant_states.pt, Ant_actions.pt, Seed: 0
Rollout length: 2048
Num steps: 100000, Eval interval: 1000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0003, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 70, Epoch disc: 30
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.02, Max Grad Norm: 10.0
Load data states: (64, 1000, 27), actions: (64, 1000, 8)
Expert data states: (63936, 27), actions: (63936, 8)
Expert buffer size: 63936
Initial state shape: (27,)
Num steps: 1000     Return: 926.9   Time: 0:00:04
Num steps: 2000     Return: 920.4   Time: 0:00:08
Num steps: 3000     Return: 947.8   Time: 0:00:12
Num steps: 4000     Return: 935.2   Time: 0:00:16
Num steps: 5000     Return: 944.4   Time: 0:00:20
Num steps: 6000     Return: 950.3   Time: 0:00:23
Num steps: 7000     Return: 941.2   Time: 0:00:28
Num steps: 8000     Return: 955.2   Time: 0:00:31
Num steps: 9000     Return: 882.9   Time: 0:00:36
Num steps: 10000    Return: 927.7   Time: 0:00:39
Num steps: 11000    Return: 889.7   Time: 0:00:44
Num steps: 12000    Return: 893.8   Time: 0:00:47
Num steps: 13000    Return: 852.9   Time: 0:00:51
Num steps: 14000    Return: 859.6   Time: 0:00:55
Num steps: 15000    Return: 859.3   Time: 0:00:59
Num steps: 16000    Return: 854.9   Time: 0:01:03
Num steps: 17000    Return: 828.8   Time: 0:01:07
Num steps: 18000    Return: 838.3   Time: 0:01:11
Num steps: 19000    Return: 816.3   Time: 0:01:15
Num steps: 20000    Return: 816.3   Time: 0:01:19
Num steps: 21000    Return: 842.8   Time: 0:01:24
Num steps: 22000    Return: 829.5   Time: 0:01:28
Num steps: 23000    Return: 812.7   Time: 0:01:33
Num steps: 24000    Return: 814.7   Time: 0:01:38
Num steps: 25000    Return: 789.5   Time: 0:01:43
Num steps: 26000    Return: 780.5   Time: 0:01:48
Num steps: 27000    Return: 750.9   Time: 0:01:53
Num steps: 28000    Return: 751.8   Time: 0:01:57
Num steps: 29000    Return: 737.1   Time: 0:02:02
Num steps: 30000    Return: 724.8   Time: 0:02:07
Num steps: 31000    Return: 664.1   Time: 0:02:12
Num steps: 32000    Return: 658.7   Time: 0:02:17
Num steps: 33000    Return: 599.1   Time: 0:02:22
Num steps: 34000    Return: 602.2   Time: 0:02:26
Num steps: 35000    Return: 572.3   Time: 0:02:32
Num steps: 36000    Return: 622.6   Time: 0:02:36
Num steps: 37000    Return: 596.9   Time: 0:02:41
Num steps: 38000    Return: 594.4   Time: 0:02:46
Num steps: 39000    Return: 690.4   Time: 0:02:51
Num steps: 40000    Return: 704.8   Time: 0:02:56
Num steps: 41000    Return: 588.4   Time: 0:03:01
Num steps: 42000    Return: 584.5   Time: 0:03:06
