Logging started at 20250314-1944
NVIDIA RTX A6000
Process ID: 1029414
Env: Ant-v4, Ant_states.pt, Ant_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 10000000, Eval interval: 100000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0003, lr_critic: 0.0003, lr_disc: 0.0001
Units Actor: (128, 128), Units Critic: (128, 128)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Initial state shape: (27,)
Num steps: 100000   Return: -52.6   Time: 0:02:48
Num steps: 200000   Return: 6.7     Time: 0:05:36
Num steps: 300000   Return: -62.9   Time: 0:08:23
Num steps: 400000   Return: 112.1   Time: 0:11:09
Num steps: 500000   Return: -75.3   Time: 0:13:54
Num steps: 600000   Return: -158.7   Time: 0:16:41
Num steps: 700000   Return: -518.7   Time: 0:19:28
Num steps: 800000   Return: -390.5   Time: 0:22:13
Num steps: 900000   Return: -57.5   Time: 0:24:57
Num steps: 1000000   Return: -222.5   Time: 0:27:42
Num steps: 1100000   Return: -71.4   Time: 0:30:26
Num steps: 1200000   Return: -1664.6   Time: 0:33:15
Num steps: 1300000   Return: -1664.4   Time: 0:36:05
Num steps: 1400000   Return: -1663.3   Time: 0:38:54
Num steps: 1500000   Return: -1664.5   Time: 0:41:43
Num steps: 1600000   Return: -1664.0   Time: 0:44:34
Num steps: 1700000   Return: -1662.9   Time: 0:47:24
Num steps: 1800000   Return: -1663.2   Time: 0:50:14
Num steps: 1900000   Return: -1663.5   Time: 0:53:03
Num steps: 2000000   Return: -1664.3   Time: 0:55:53
Num steps: 2100000   Return: -1663.0   Time: 0:58:46
Num steps: 2200000   Return: -1663.6   Time: 1:01:37
Num steps: 2300000   Return: -1663.5   Time: 1:04:27
Num steps: 2400000   Return: -1664.3   Time: 1:07:16
Num steps: 2500000   Return: -1664.6   Time: 1:10:06
Num steps: 2600000   Return: -1664.2   Time: 1:13:17
Num steps: 2700000   Return: -1663.6   Time: 1:16:40
Num steps: 2800000   Return: -1664.1   Time: 1:19:48
Num steps: 2900000   Return: -1663.0   Time: 1:22:55
Num steps: 3000000   Return: -1665.6   Time: 1:26:05
Num steps: 3100000   Return: -1663.9   Time: 1:29:13
Num steps: 3200000   Return: -1664.3   Time: 1:32:18
Num steps: 3300000   Return: -1663.9   Time: 1:35:27
Num steps: 3400000   Return: -1664.1   Time: 1:38:33
Num steps: 3500000   Return: -1664.8   Time: 1:41:36
Num steps: 3600000   Return: -1663.9   Time: 1:44:33
Num steps: 3700000   Return: -1664.2   Time: 1:47:27
Num steps: 3800000   Return: -1665.2   Time: 1:50:20
Num steps: 3900000   Return: -1664.5   Time: 1:53:13
Num steps: 4000000   Return: -1663.5   Time: 1:56:01
Num steps: 4100000   Return: -1663.9   Time: 1:58:50
Num steps: 4200000   Return: -1664.0   Time: 2:01:40
Num steps: 4300000   Return: -1663.8   Time: 2:04:30
Num steps: 4400000   Return: -1663.2   Time: 2:07:21
Num steps: 4500000   Return: -1663.8   Time: 2:10:11
Num steps: 4600000   Return: -1664.6   Time: 2:13:01
Num steps: 4700000   Return: -1664.4   Time: 2:15:51
Num steps: 4800000   Return: -1664.2   Time: 2:18:39
Num steps: 4900000   Return: -1664.3   Time: 2:21:27
Num steps: 5000000   Return: -1664.0   Time: 2:24:17
Num steps: 5100000   Return: -1664.3   Time: 2:27:07
Num steps: 5200000   Return: -1664.2   Time: 2:30:05
Num steps: 5300000   Return: -1663.4   Time: 2:33:10
Num steps: 5400000   Return: -1664.3   Time: 2:36:22
Num steps: 5500000   Return: -1664.8   Time: 2:39:24
Num steps: 5600000   Return: -1664.1   Time: 2:42:34
Num steps: 5700000   Return: -1664.2   Time: 2:45:50
Num steps: 5800000   Return: -1663.7   Time: 2:48:58
Num steps: 5900000   Return: -1664.4   Time: 2:52:13
Num steps: 6000000   Return: -1664.5   Time: 2:55:28
Num steps: 6100000   Return: -1664.5   Time: 2:58:44
Num steps: 6200000   Return: -1663.4   Time: 3:01:56
Num steps: 6300000   Return: -1663.5   Time: 3:05:07
Num steps: 6400000   Return: -1663.7   Time: 3:08:12
Num steps: 6500000   Return: -1664.7   Time: 3:11:28
Num steps: 6600000   Return: -1664.4   Time: 3:14:41
Num steps: 6700000   Return: -1663.6   Time: 3:17:53
Num steps: 6800000   Return: -1664.1   Time: 3:21:03
Num steps: 6900000   Return: -1662.3   Time: 3:24:19
Num steps: 7000000   Return: -1663.2   Time: 3:27:27
Num steps: 7100000   Return: -1663.2   Time: 3:30:35
Num steps: 7200000   Return: -1664.4   Time: 3:33:45
Num steps: 7300000   Return: -1664.1   Time: 3:37:00
Num steps: 7400000   Return: -1663.6   Time: 3:40:08
Num steps: 7500000   Return: -1665.4   Time: 3:43:24
Num steps: 7600000   Return: -1663.8   Time: 3:46:43
Num steps: 7700000   Return: -1664.4   Time: 3:50:01
Num steps: 7800000   Return: -1663.5   Time: 3:53:16
Num steps: 7900000   Return: -1662.8   Time: 3:56:29
Num steps: 8000000   Return: -1665.0   Time: 3:59:50
