Logging started at 20250314-2354
NVIDIA RTX A6000
Process ID: 1296789
Env: Ant-v4, Ant_states.pt, Ant_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Initial state shape: (27,)
Num steps: 10000    Return: 905.2   Time: 0:00:23
Num steps: 20000    Return: 957.7   Time: 0:00:47
Num steps: 30000    Return: 916.8   Time: 0:01:11
Num steps: 40000    Return: 931.6   Time: 0:01:32
Num steps: 50000    Return: 814.3   Time: 0:01:54
Num steps: 60000    Return: 801.3   Time: 0:02:17
Num steps: 70000    Return: 650.4   Time: 0:02:40
Num steps: 80000    Return: 662.4   Time: 0:03:01
Num steps: 90000    Return: 456.4   Time: 0:03:23
Num steps: 100000   Return: 372.1   Time: 0:03:46
Num steps: 110000   Return: 424.9   Time: 0:04:09
Num steps: 120000   Return: 364.7   Time: 0:04:32
Num steps: 130000   Return: 271.3   Time: 0:04:55
Num steps: 140000   Return: 262.2   Time: 0:05:19
Num steps: 150000   Return: 289.5   Time: 0:05:40
Num steps: 160000   Return: 330.7   Time: 0:06:05
Num steps: 170000   Return: -81.2   Time: 0:06:30
Num steps: 180000   Return: 87.2    Time: 0:06:54
Num steps: 190000   Return: 192.8   Time: 0:07:17
Num steps: 200000   Return: -181.5   Time: 0:07:39
Num steps: 210000   Return: -266.6   Time: 0:08:01
Num steps: 220000   Return: -31.0   Time: 0:08:23
Num steps: 230000   Return: -89.4   Time: 0:08:46
Num steps: 240000   Return: -179.8   Time: 0:09:10
Num steps: 250000   Return: -242.3   Time: 0:09:32
Num steps: 260000   Return: -294.6   Time: 0:09:56
Num steps: 270000   Return: -363.1   Time: 0:10:20
Num steps: 280000   Return: -332.7   Time: 0:10:42
Num steps: 290000   Return: -205.6   Time: 0:11:04
Num steps: 300000   Return: 66.4    Time: 0:11:25
Num steps: 310000   Return: 75.9    Time: 0:11:48
Num steps: 320000   Return: 286.7   Time: 0:12:11
Num steps: 330000   Return: 300.3   Time: 0:12:33
Num steps: 340000   Return: 1.8     Time: 0:12:57
Num steps: 350000   Return: -96.5   Time: 0:13:18
Num steps: 360000   Return: 283.4   Time: 0:13:40
Num steps: 370000   Return: 164.2   Time: 0:14:04
Num steps: 380000   Return: 228.1   Time: 0:14:25
Num steps: 390000   Return: 289.0   Time: 0:14:47
Num steps: 400000   Return: 266.6   Time: 0:15:08
Num steps: 410000   Return: 167.9   Time: 0:15:27
Num steps: 420000   Return: 44.2    Time: 0:15:50
Num steps: 430000   Return: 127.5   Time: 0:16:12
Num steps: 440000   Return: 228.8   Time: 0:16:32
Num steps: 450000   Return: 508.6   Time: 0:16:54
Num steps: 460000   Return: 253.3   Time: 0:17:15
Num steps: 470000   Return: 311.4   Time: 0:17:36
Num steps: 480000   Return: 75.8    Time: 0:17:59
Num steps: 490000   Return: -44.0   Time: 0:18:21
Num steps: 500000   Return: -132.9   Time: 0:18:44
Num steps: 510000   Return: -136.6   Time: 0:19:05
