Logging started at 20250315-1418
NVIDIA RTX A6000
Process ID: 2187597
Env: Ant-v4, Ant_states.pt, Ant_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (64, 1000, 27), actions: (64, 1000, 8)
Expert data states: (63936, 27), actions: (63936, 8)
Expert buffer size: 63936
Initial state shape: (27,)
Num steps: 10000    Return: 884.3   Time: 0:00:17
Num steps: 20000    Return: 752.5   Time: 0:00:32
Num steps: 30000    Return: 770.2   Time: 0:00:48
Num steps: 40000    Return: 797.6   Time: 0:01:05
Num steps: 50000    Return: 780.1   Time: 0:01:21
Num steps: 60000    Return: 803.6   Time: 0:01:37
Num steps: 70000    Return: 637.3   Time: 0:01:52
Num steps: 80000    Return: 710.8   Time: 0:02:09
Num steps: 90000    Return: 702.8   Time: 0:02:26
Num steps: 100000   Return: 580.0   Time: 0:02:42
Num steps: 110000   Return: 267.0   Time: 0:02:58
Num steps: 120000   Return: 204.0   Time: 0:03:14
Num steps: 130000   Return: 129.5   Time: 0:03:30
Num steps: 140000   Return: 53.2    Time: 0:03:46
Num steps: 150000   Return: -74.3   Time: 0:04:03
Num steps: 160000   Return: -91.7   Time: 0:04:19
Num steps: 170000   Return: -95.8   Time: 0:04:34
Num steps: 180000   Return: -90.4   Time: 0:04:50
Num steps: 190000   Return: -10.4   Time: 0:05:06
Num steps: 200000   Return: -106.1   Time: 0:05:21
Num steps: 210000   Return: -333.2   Time: 0:05:37
Num steps: 220000   Return: -274.5   Time: 0:05:53
Num steps: 230000   Return: -185.5   Time: 0:06:10
Num steps: 240000   Return: -224.2   Time: 0:06:25
Num steps: 250000   Return: -139.2   Time: 0:06:42
Num steps: 260000   Return: -40.9   Time: 0:06:59
Num steps: 270000   Return: -38.4   Time: 0:07:15
Num steps: 280000   Return: -111.8   Time: 0:07:31
Num steps: 290000   Return: -78.7   Time: 0:07:47
Num steps: 300000   Return: 107.2   Time: 0:08:03
Num steps: 310000   Return: 137.6   Time: 0:08:18
Num steps: 320000   Return: 122.6   Time: 0:08:35
Num steps: 330000   Return: 145.5   Time: 0:08:51
Num steps: 340000   Return: 241.2   Time: 0:09:08
Num steps: 350000   Return: 229.9   Time: 0:09:24
Num steps: 360000   Return: 188.8   Time: 0:09:40
Num steps: 370000   Return: 64.9    Time: 0:09:56
Num steps: 380000   Return: 202.7   Time: 0:10:11
Num steps: 390000   Return: 187.0   Time: 0:10:27
Num steps: 400000   Return: 89.7    Time: 0:10:43
Num steps: 410000   Return: 137.1   Time: 0:10:58
Num steps: 420000   Return: 88.3    Time: 0:11:14
Num steps: 430000   Return: 105.4   Time: 0:11:28
Num steps: 440000   Return: 231.3   Time: 0:11:45
Num steps: 450000   Return: 9.1     Time: 0:12:00
Num steps: 460000   Return: 329.6   Time: 0:12:16
Num steps: 470000   Return: 339.8   Time: 0:12:32
Num steps: 480000   Return: 126.2   Time: 0:12:48
Num steps: 490000   Return: 43.7    Time: 0:13:03
Num steps: 500000   Return: 720.3   Time: 0:13:20
Num steps: 510000   Return: 316.6   Time: 0:13:36
Num steps: 520000   Return: 232.8   Time: 0:13:53
Num steps: 530000   Return: 417.9   Time: 0:14:11
Num steps: 540000   Return: 443.4   Time: 0:14:30
Num steps: 550000   Return: 846.5   Time: 0:14:48
Num steps: 560000   Return: 1061.8   Time: 0:15:06
Num steps: 570000   Return: 985.5   Time: 0:15:26
Num steps: 580000   Return: 1238.0   Time: 0:15:43
Num steps: 590000   Return: 1434.1   Time: 0:16:00
Num steps: 600000   Return: 742.6   Time: 0:16:17
Num steps: 610000   Return: 914.8   Time: 0:16:34
Num steps: 620000   Return: 761.0   Time: 0:16:53
Num steps: 630000   Return: 681.7   Time: 0:17:09
Num steps: 640000   Return: 695.1   Time: 0:17:25
Num steps: 650000   Return: 1180.6   Time: 0:17:42
Num steps: 660000   Return: 1000.2   Time: 0:18:00
Num steps: 670000   Return: 465.7   Time: 0:18:21
Num steps: 680000   Return: 493.8   Time: 0:18:38
Num steps: 690000   Return: 1056.9   Time: 0:18:59
Num steps: 700000   Return: 1266.6   Time: 0:19:16
