Logging started at 20250910-1345
Memo: Using -logsimoid(-logit) as reward. Monitor the tensorboard for training process: gae, target, g_value, h_value, f(s,s'), logit.
NVIDIA GeForce RTX 4060 Laptop GPU
Process ID: 414905
Env: Ant-v4, experts/Ant_states.pt, experts/Ant_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (64, 1000, 27), actions: (64, 1000, 8)
Expert data states: (63936, 27), actions: (63936, 8)
normalized expert action high: 0.9990000128746033
normalized expert action low: -0.9990000128746033
Expert buffer size: 63936
Initial state shape: (27,)
Num steps: 10000    Return: 935.6   Time: 0:00:10
Num steps: 20000    Return: 801.4   Time: 0:00:19
Num steps: 30000    Return: 821.6   Time: 0:00:28
Num steps: 40000    Return: 770.3   Time: 0:00:38
Num steps: 50000    Return: 736.0   Time: 0:00:48
Num steps: 60000    Return: 616.5   Time: 0:00:59
Num steps: 70000    Return: 605.5   Time: 0:01:10
Num steps: 80000    Return: 604.3   Time: 0:01:21
Num steps: 90000    Return: 619.3   Time: 0:01:31
Num steps: 100000   Return: 423.0   Time: 0:01:41
Num steps: 110000   Return: 480.7   Time: 0:01:51
Num steps: 120000   Return: 384.8   Time: 0:02:02
Num steps: 130000   Return: 169.2   Time: 0:02:13
Num steps: 140000   Return: 246.2   Time: 0:02:23
Num steps: 150000   Return: -3.6    Time: 0:02:35
Num steps: 160000   Return: -150.2   Time: 0:02:49
Num steps: 170000   Return: -268.3   Time: 0:03:02
Num steps: 180000   Return: -59.7   Time: 0:03:16
Num steps: 190000   Return: -173.7   Time: 0:03:30
Num steps: 200000   Return: -25.3   Time: 0:03:43
Num steps: 210000   Return: -78.0   Time: 0:03:56
Num steps: 220000   Return: 95.3    Time: 0:04:08
Num steps: 230000   Return: 198.8   Time: 0:04:21
Num steps: 240000   Return: 310.7   Time: 0:04:33
Num steps: 250000   Return: 210.8   Time: 0:04:46
Num steps: 260000   Return: 83.5    Time: 0:04:58
Num steps: 270000   Return: 18.3    Time: 0:05:11
Num steps: 280000   Return: 38.0    Time: 0:05:23
Num steps: 290000   Return: 61.1    Time: 0:05:35
Num steps: 300000   Return: 42.9    Time: 0:05:48
Num steps: 310000   Return: 175.5   Time: 0:06:00
Num steps: 320000   Return: 370.2   Time: 0:06:12
Num steps: 330000   Return: 338.1   Time: 0:06:25
Num steps: 340000   Return: 190.0   Time: 0:06:38
Num steps: 350000   Return: 165.5   Time: 0:06:50
Num steps: 360000   Return: 112.9   Time: 0:07:03
Num steps: 370000   Return: 138.1   Time: 0:07:15
Num steps: 380000   Return: 214.5   Time: 0:07:27
Num steps: 390000   Return: 156.0   Time: 0:07:40
Num steps: 400000   Return: 236.6   Time: 0:07:52
Num steps: 410000   Return: 237.4   Time: 0:08:04
Num steps: 420000   Return: 305.4   Time: 0:08:17
Num steps: 430000   Return: 444.7   Time: 0:08:29
Num steps: 440000   Return: 352.5   Time: 0:08:42
Num steps: 450000   Return: 215.7   Time: 0:08:54
Num steps: 460000   Return: 168.2   Time: 0:09:05
Num steps: 470000   Return: 694.1   Time: 0:09:18
Num steps: 480000   Return: 210.2   Time: 0:09:30
Num steps: 490000   Return: 358.3   Time: 0:09:42
Num steps: 500000   Return: 264.7   Time: 0:09:55
Num steps: 510000   Return: 261.9   Time: 0:10:07
Num steps: 520000   Return: 37.1    Time: 0:10:19
Num steps: 530000   Return: 111.8   Time: 0:10:32
Num steps: 540000   Return: 351.3   Time: 0:10:44
Num steps: 550000   Return: 308.4   Time: 0:10:56
Num steps: 560000   Return: 213.8   Time: 0:11:06
Num steps: 570000   Return: 196.7   Time: 0:11:17
Num steps: 580000   Return: 142.4   Time: 0:11:28
Num steps: 590000   Return: 231.7   Time: 0:11:40
Num steps: 600000   Return: 37.5    Time: 0:11:52
Num steps: 610000   Return: 127.1   Time: 0:12:04
Num steps: 620000   Return: 356.1   Time: 0:12:16
Num steps: 630000   Return: 275.0   Time: 0:12:27
Num steps: 640000   Return: 192.0   Time: 0:12:39
Num steps: 650000   Return: 267.7   Time: 0:12:50
Num steps: 660000   Return: 235.4   Time: 0:13:02
Num steps: 670000   Return: 251.6   Time: 0:13:13
Num steps: 680000   Return: 59.2    Time: 0:13:25
Num steps: 690000   Return: -89.9   Time: 0:13:36
Num steps: 700000   Return: 30.4    Time: 0:13:48
Num steps: 710000   Return: -183.2   Time: 0:13:59
Num steps: 720000   Return: 78.6    Time: 0:14:11
Num steps: 730000   Return: 222.1   Time: 0:14:22
Num steps: 740000   Return: 84.6    Time: 0:14:33
Num steps: 750000   Return: 184.0   Time: 0:14:45
Num steps: 760000   Return: 468.1   Time: 0:14:57
Num steps: 770000   Return: 502.3   Time: 0:15:08
Num steps: 780000   Return: 198.2   Time: 0:15:20
Num steps: 790000   Return: 278.9   Time: 0:15:31
Num steps: 800000   Return: 447.0   Time: 0:15:42
Num steps: 810000   Return: 458.8   Time: 0:15:53
Num steps: 820000   Return: 565.6   Time: 0:16:03
Num steps: 830000   Return: 1117.9   Time: 0:16:14
Num steps: 840000   Return: 913.8   Time: 0:16:25
Num steps: 850000   Return: 1004.7   Time: 0:16:36
Num steps: 860000   Return: 488.3   Time: 0:16:46
Num steps: 870000   Return: 736.6   Time: 0:16:57
Num steps: 880000   Return: 634.5   Time: 0:17:07
Num steps: 890000   Return: 1067.2   Time: 0:17:18
Num steps: 900000   Return: 922.4   Time: 0:17:28
Num steps: 910000   Return: 1384.9   Time: 0:17:39
Num steps: 920000   Return: 1401.9   Time: 0:17:51
Num steps: 930000   Return: 450.6   Time: 0:18:02
Num steps: 940000   Return: 486.0   Time: 0:18:13
Num steps: 950000   Return: 189.0   Time: 0:18:25
Num steps: 960000   Return: 537.1   Time: 0:18:36
Num steps: 970000   Return: 844.9   Time: 0:18:47
Num steps: 980000   Return: 431.1   Time: 0:18:58
Num steps: 990000   Return: 479.5   Time: 0:19:09
Num steps: 1000000   Return: 561.7   Time: 0:19:19
Num steps: 1010000   Return: 336.3   Time: 0:19:30
Num steps: 1020000   Return: 949.3   Time: 0:19:42
Num steps: 1030000   Return: 302.2   Time: 0:19:52
Num steps: 1040000   Return: 561.0   Time: 0:20:02
Num steps: 1050000   Return: 1292.0   Time: 0:20:12
Num steps: 1060000   Return: 1862.9   Time: 0:20:23
Num steps: 1070000   Return: 739.2   Time: 0:20:34
Num steps: 1080000   Return: 944.0   Time: 0:20:44
Num steps: 1090000   Return: 1706.7   Time: 0:20:54
Num steps: 1100000   Return: 1139.6   Time: 0:21:05
Num steps: 1110000   Return: 1456.5   Time: 0:21:16
Num steps: 1120000   Return: 2322.7   Time: 0:21:27
Num steps: 1130000   Return: 1649.6   Time: 0:21:38
Num steps: 1140000   Return: 2652.7   Time: 0:21:50
Num steps: 1150000   Return: 2037.0   Time: 0:22:01
Num steps: 1160000   Return: 2493.4   Time: 0:22:12
Num steps: 1170000   Return: 2300.8   Time: 0:22:23
Num steps: 1180000   Return: 1678.8   Time: 0:22:34
