Logging started at 20250910-1348
Memo: Using logit as reward. Monitor the tensorboard for training process: gae, target, g_value, h_value, f(s,s'), logit.
NVIDIA GeForce RTX 4060 Laptop GPU
Process ID: 415332
Env: Ant-v4, experts/Ant_states.pt, experts/Ant_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (64, 1000, 27), actions: (64, 1000, 8)
Expert data states: (63936, 27), actions: (63936, 8)
normalized expert action high: 0.9990000128746033
normalized expert action low: -0.9990000128746033
Expert buffer size: 63936
Initial state shape: (27,)
Num steps: 10000    Return: 830.6   Time: 0:00:14
Num steps: 20000    Return: 924.2   Time: 0:00:27
Num steps: 30000    Return: 844.8   Time: 0:00:40
Num steps: 40000    Return: 704.7   Time: 0:00:55
Num steps: 50000    Return: 798.1   Time: 0:01:08
Num steps: 60000    Return: 586.7   Time: 0:01:20
Num steps: 70000    Return: 469.3   Time: 0:01:33
Num steps: 80000    Return: 525.2   Time: 0:01:45
Num steps: 90000    Return: 488.9   Time: 0:01:58
Num steps: 100000   Return: 457.7   Time: 0:02:10
Num steps: 110000   Return: 361.8   Time: 0:02:21
Num steps: 120000   Return: 242.3   Time: 0:02:32
Num steps: 130000   Return: 159.0   Time: 0:02:42
Num steps: 140000   Return: 125.9   Time: 0:02:53
Num steps: 150000   Return: 24.0    Time: 0:03:03
Num steps: 160000   Return: 5.9     Time: 0:03:13
Num steps: 170000   Return: 5.3     Time: 0:03:23
Num steps: 180000   Return: 4.0     Time: 0:03:33
Num steps: 190000   Return: 2.6     Time: 0:03:43
Num steps: 200000   Return: 6.1     Time: 0:03:54
Num steps: 210000   Return: 1.7     Time: 0:04:04
Num steps: 220000   Return: 1.3     Time: 0:04:14
Num steps: 230000   Return: -2.6    Time: 0:04:24
Num steps: 240000   Return: -3.3    Time: 0:04:34
Num steps: 250000   Return: 6.0     Time: 0:04:44
Num steps: 260000   Return: 0.3     Time: 0:04:54
Num steps: 270000   Return: 4.9     Time: 0:05:04
Num steps: 280000   Return: -0.6    Time: 0:05:14
Num steps: 290000   Return: -1.9    Time: 0:05:24
Num steps: 300000   Return: -1.5    Time: 0:05:34
Num steps: 310000   Return: 0.9     Time: 0:05:44
Num steps: 320000   Return: -0.5    Time: 0:05:54
Num steps: 330000   Return: -1.6    Time: 0:06:04
Num steps: 340000   Return: 7.9     Time: 0:06:14
Num steps: 350000   Return: 1.7     Time: 0:06:25
Num steps: 360000   Return: 1.7     Time: 0:06:35
Num steps: 370000   Return: -2.9    Time: 0:06:45
Num steps: 380000   Return: 3.3     Time: 0:06:55
Num steps: 390000   Return: 0.6     Time: 0:07:05
Num steps: 400000   Return: 0.2     Time: 0:07:15
Num steps: 410000   Return: 0.8     Time: 0:07:25
Num steps: 420000   Return: 4.3     Time: 0:07:35
Num steps: 430000   Return: 0.8     Time: 0:07:45
Num steps: 440000   Return: 5.2     Time: 0:07:55
Num steps: 450000   Return: 0.1     Time: 0:08:05
Num steps: 460000   Return: -1.3    Time: 0:08:16
Num steps: 470000   Return: -0.8    Time: 0:08:26
Num steps: 480000   Return: 2.6     Time: 0:08:36
Num steps: 490000   Return: 1.5     Time: 0:08:46
Num steps: 500000   Return: -0.1    Time: 0:08:56
Num steps: 510000   Return: 1.6     Time: 0:09:07
Num steps: 520000   Return: 0.5     Time: 0:09:17
Num steps: 530000   Return: -1.8    Time: 0:09:27
Num steps: 540000   Return: 0.3     Time: 0:09:37
Num steps: 550000   Return: 1.3     Time: 0:09:47
Num steps: 560000   Return: 0.6     Time: 0:09:57
Num steps: 570000   Return: 0.0     Time: 0:10:06
Num steps: 580000   Return: 1.1     Time: 0:10:15
Num steps: 590000   Return: 0.6     Time: 0:10:25
Num steps: 600000   Return: 1.7     Time: 0:10:34
Num steps: 610000   Return: -1.9    Time: 0:10:43
Num steps: 620000   Return: 4.9     Time: 0:10:53
Num steps: 630000   Return: 2.2     Time: 0:11:02
Num steps: 640000   Return: 3.9     Time: 0:11:11
Num steps: 650000   Return: 6.1     Time: 0:11:21
Num steps: 660000   Return: 1.0     Time: 0:11:30
Num steps: 670000   Return: 3.4     Time: 0:11:40
Num steps: 680000   Return: 4.2     Time: 0:11:49
Num steps: 690000   Return: 2.5     Time: 0:11:58
Num steps: 700000   Return: -0.5    Time: 0:12:08
Num steps: 710000   Return: 1.0     Time: 0:12:18
Num steps: 720000   Return: 9.0     Time: 0:12:27
Num steps: 730000   Return: -1.8    Time: 0:12:37
Num steps: 740000   Return: 5.6     Time: 0:12:46
Num steps: 750000   Return: 0.7     Time: 0:12:56
Num steps: 760000   Return: 0.3     Time: 0:13:05
Num steps: 770000   Return: 3.9     Time: 0:13:15
Num steps: 780000   Return: 3.1     Time: 0:13:24
Num steps: 790000   Return: 3.1     Time: 0:13:33
Num steps: 800000   Return: 3.8     Time: 0:13:43
Num steps: 810000   Return: 3.9     Time: 0:13:52
Num steps: 820000   Return: 7.2     Time: 0:14:01
Num steps: 830000   Return: 5.9     Time: 0:14:11
Num steps: 840000   Return: 2.2     Time: 0:14:20
Num steps: 850000   Return: 5.1     Time: 0:14:30
Num steps: 860000   Return: 1.7     Time: 0:14:39
Num steps: 870000   Return: 2.5     Time: 0:14:48
Num steps: 880000   Return: 3.6     Time: 0:14:58
Num steps: 890000   Return: 1.3     Time: 0:15:07
Num steps: 900000   Return: 0.7     Time: 0:15:17
Num steps: 910000   Return: 3.6     Time: 0:15:27
Num steps: 920000   Return: 2.8     Time: 0:15:36
Num steps: 930000   Return: 2.7     Time: 0:15:46
Num steps: 940000   Return: 3.7     Time: 0:15:56
Num steps: 950000   Return: 5.2     Time: 0:16:06
Num steps: 960000   Return: 3.2     Time: 0:16:15
Num steps: 970000   Return: 4.0     Time: 0:16:25
Num steps: 980000   Return: 3.5     Time: 0:16:35
Num steps: 990000   Return: 4.3     Time: 0:16:44
Num steps: 1000000   Return: 3.3     Time: 0:16:54
Num steps: 1010000   Return: 5.2     Time: 0:17:04
Num steps: 1020000   Return: 4.2     Time: 0:17:13
Num steps: 1030000   Return: 6.8     Time: 0:17:22
Num steps: 1040000   Return: 6.6     Time: 0:17:32
Num steps: 1050000   Return: 4.9     Time: 0:17:41
Num steps: 1060000   Return: 5.6     Time: 0:17:50
Num steps: 1070000   Return: 4.5     Time: 0:18:00
Num steps: 1080000   Return: 6.1     Time: 0:18:09
Num steps: 1090000   Return: 4.4     Time: 0:18:18
Num steps: 1100000   Return: 5.0     Time: 0:18:28
Num steps: 1110000   Return: 5.9     Time: 0:18:37
Num steps: 1120000   Return: 6.2     Time: 0:18:46
Num steps: 1130000   Return: 4.4     Time: 0:18:56
Num steps: 1140000   Return: 6.4     Time: 0:19:05
Num steps: 1150000   Return: 6.2     Time: 0:19:15
Num steps: 1160000   Return: 6.5     Time: 0:19:24
Num steps: 1170000   Return: 5.7     Time: 0:19:33
Num steps: 1180000   Return: 5.4     Time: 0:19:43
Num steps: 1190000   Return: 5.1     Time: 0:19:52
Num steps: 1200000   Return: 4.9     Time: 0:20:02
Num steps: 1210000   Return: 4.9     Time: 0:20:11
Num steps: 1220000   Return: 4.6     Time: 0:20:21
Num steps: 1230000   Return: 4.8     Time: 0:20:30
Num steps: 1240000   Return: 8.8     Time: 0:20:39
Num steps: 1250000   Return: 6.2     Time: 0:20:49
Num steps: 1260000   Return: 4.0     Time: 0:20:58
Num steps: 1270000   Return: 7.4     Time: 0:21:07
Num steps: 1280000   Return: 7.2     Time: 0:21:16
Num steps: 1290000   Return: 6.4     Time: 0:21:25
Num steps: 1300000   Return: 4.8     Time: 0:21:35
Num steps: 1310000   Return: 4.7     Time: 0:21:45
Num steps: 1320000   Return: 5.3     Time: 0:21:55
Num steps: 1330000   Return: 4.1     Time: 0:22:04
Num steps: 1340000   Return: 4.5     Time: 0:22:13
Num steps: 1350000   Return: 6.1     Time: 0:22:23
Num steps: 1360000   Return: 5.6     Time: 0:22:32
Num steps: 1370000   Return: 6.4     Time: 0:22:41
Num steps: 1380000   Return: 5.0     Time: 0:22:51
Num steps: 1390000   Return: 5.9     Time: 0:23:00
Num steps: 1400000   Return: 3.9     Time: 0:23:09
Num steps: 1410000   Return: 6.2     Time: 0:23:19
Num steps: 1420000   Return: 5.9     Time: 0:23:30
Num steps: 1430000   Return: 7.9     Time: 0:23:40
Num steps: 1440000   Return: 6.2     Time: 0:23:49
Num steps: 1450000   Return: 5.3     Time: 0:23:59
Num steps: 1460000   Return: 4.8     Time: 0:24:08
Num steps: 1470000   Return: 7.8     Time: 0:24:18
Num steps: 1480000   Return: 2.9     Time: 0:24:28
Num steps: 1490000   Return: 6.7     Time: 0:24:38
Num steps: 1500000   Return: 8.9     Time: 0:24:48
Num steps: 1510000   Return: 5.3     Time: 0:24:58
Num steps: 1520000   Return: 3.9     Time: 0:25:07
Num steps: 1530000   Return: 4.8     Time: 0:25:17
Num steps: 1540000   Return: 7.0     Time: 0:25:26
Num steps: 1550000   Return: 5.9     Time: 0:25:36
Num steps: 1560000   Return: 6.0     Time: 0:25:46
Num steps: 1570000   Return: 8.4     Time: 0:25:55
Num steps: 1580000   Return: 7.8     Time: 0:26:05
Num steps: 1590000   Return: 5.8     Time: 0:26:15
Num steps: 1600000   Return: 8.4     Time: 0:26:24
Num steps: 1610000   Return: 7.1     Time: 0:26:34
Num steps: 1620000   Return: 7.4     Time: 0:26:44
Num steps: 1630000   Return: 8.5     Time: 0:26:54
Num steps: 1640000   Return: 5.9     Time: 0:27:03
Num steps: 1650000   Return: 7.1     Time: 0:27:13
