Logging started at 20250911-2048
Memo: Using -logsigmoid(-logit) as reward. Monitor the tensorboard for training process: gae, target, g_value, h_value, f(s,s'), logit, and v(s) ( v(s) is added )
               A very good template for tensorboard visualization.
NVIDIA GeForce RTX 4060 Laptop GPU
Process ID: 631616
Env: Ant-v4, experts/Ant_states.pt, experts/Ant_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (64, 1000, 27), actions: (64, 1000, 8)
Expert data states: (63936, 27), actions: (63936, 8)
normalized expert action high: 0.9990000128746033
normalized expert action low: -0.9990000128746033
Expert buffer size: 63936
Initial state shape: (27,)
Num steps: 10000    Return: 933.3   Time: 0:00:10
Num steps: 20000    Return: 923.6   Time: 0:00:21
Num steps: 30000    Return: 930.3   Time: 0:00:31
Num steps: 40000    Return: 808.1   Time: 0:00:41
Num steps: 50000    Return: 622.9   Time: 0:00:51
Num steps: 60000    Return: 537.1   Time: 0:01:02
Num steps: 70000    Return: 520.3   Time: 0:01:12
Num steps: 80000    Return: 635.0   Time: 0:01:23
Num steps: 90000    Return: 498.8   Time: 0:01:33
Num steps: 100000   Return: 552.1   Time: 0:01:43
Num steps: 110000   Return: 538.4   Time: 0:01:53
Num steps: 120000   Return: 470.5   Time: 0:02:03
Num steps: 130000   Return: 405.6   Time: 0:02:14
Num steps: 140000   Return: 202.7   Time: 0:02:24
Num steps: 150000   Return: 222.5   Time: 0:02:35
Num steps: 160000   Return: 90.5    Time: 0:02:45
Num steps: 170000   Return: 73.6    Time: 0:02:56
Num steps: 180000   Return: 57.4    Time: 0:03:05
Num steps: 190000   Return: -25.0   Time: 0:03:16
Num steps: 200000   Return: -112.5   Time: 0:03:27
Num steps: 210000   Return: -72.2   Time: 0:03:37
Num steps: 220000   Return: -273.3   Time: 0:03:47
Num steps: 230000   Return: -131.9   Time: 0:03:58
Num steps: 240000   Return: 204.8   Time: 0:04:08
Num steps: 250000   Return: 102.9   Time: 0:04:19
Num steps: 260000   Return: -167.4   Time: 0:04:29
Num steps: 270000   Return: -253.2   Time: 0:04:39
Num steps: 280000   Return: -287.1   Time: 0:04:49
Num steps: 290000   Return: -269.7   Time: 0:05:00
Num steps: 300000   Return: -208.8   Time: 0:05:10
Num steps: 310000   Return: -151.2   Time: 0:05:20
Num steps: 320000   Return: 36.5    Time: 0:05:31
Num steps: 330000   Return: -17.1   Time: 0:05:41
Num steps: 340000   Return: -61.5   Time: 0:05:51
Num steps: 350000   Return: -124.7   Time: 0:06:01
Num steps: 360000   Return: -85.2   Time: 0:06:11
Num steps: 370000   Return: 21.7    Time: 0:06:21
Num steps: 380000   Return: -24.1   Time: 0:06:31
Num steps: 390000   Return: 31.2    Time: 0:06:40
Num steps: 400000   Return: -0.4    Time: 0:06:50
Num steps: 410000   Return: -70.4   Time: 0:07:00
Num steps: 420000   Return: -91.1   Time: 0:07:10
Num steps: 430000   Return: 21.6    Time: 0:07:20
Num steps: 440000   Return: -46.9   Time: 0:07:30
Num steps: 450000   Return: -181.3   Time: 0:07:39
Num steps: 460000   Return: -185.1   Time: 0:07:48
Num steps: 470000   Return: -230.9   Time: 0:07:57
Num steps: 480000   Return: -278.9   Time: 0:08:05
Num steps: 490000   Return: -225.5   Time: 0:08:14
Num steps: 500000   Return: -242.6   Time: 0:08:23
Num steps: 510000   Return: -116.4   Time: 0:08:32
Num steps: 520000   Return: -72.8   Time: 0:08:41
Num steps: 530000   Return: -121.0   Time: 0:08:50
Num steps: 540000   Return: -148.1   Time: 0:08:59
Num steps: 550000   Return: 41.2    Time: 0:09:08
Num steps: 560000   Return: -86.8   Time: 0:09:17
Num steps: 570000   Return: 27.7    Time: 0:09:26
Num steps: 580000   Return: -54.6   Time: 0:09:35
Num steps: 590000   Return: -96.5   Time: 0:09:44
Num steps: 600000   Return: 143.4   Time: 0:09:53
Num steps: 610000   Return: 229.4   Time: 0:10:03
Num steps: 620000   Return: 198.0   Time: 0:10:12
Num steps: 630000   Return: 710.0   Time: 0:10:21
Num steps: 640000   Return: 499.0   Time: 0:10:29
Num steps: 650000   Return: 691.0   Time: 0:10:38
Num steps: 660000   Return: 758.0   Time: 0:10:47
Num steps: 670000   Return: 383.5   Time: 0:10:56
Num steps: 680000   Return: 380.5   Time: 0:11:05
Num steps: 690000   Return: 776.7   Time: 0:11:14
Num steps: 700000   Return: 866.3   Time: 0:11:23
Num steps: 710000   Return: 147.8   Time: 0:11:32
Num steps: 720000   Return: 241.2   Time: 0:11:41
Num steps: 730000   Return: 673.3   Time: 0:11:49
Num steps: 740000   Return: 1521.6   Time: 0:11:57
Num steps: 750000   Return: 1494.0   Time: 0:12:05
Num steps: 760000   Return: 1914.3   Time: 0:12:13
Num steps: 770000   Return: 1797.2   Time: 0:12:21
Num steps: 780000   Return: 1094.5   Time: 0:12:28
Num steps: 790000   Return: 626.8   Time: 0:12:35
Num steps: 800000   Return: 1459.0   Time: 0:12:42
Num steps: 810000   Return: 1177.3   Time: 0:12:50
Num steps: 820000   Return: 1095.5   Time: 0:12:57
Num steps: 830000   Return: 829.6   Time: 0:13:05
Num steps: 840000   Return: 1046.3   Time: 0:13:12
Num steps: 850000   Return: 1413.4   Time: 0:13:20
Num steps: 860000   Return: 881.3   Time: 0:13:27
Num steps: 870000   Return: 1855.2   Time: 0:13:35
Num steps: 880000   Return: 915.6   Time: 0:13:42
Num steps: 890000   Return: 894.6   Time: 0:13:49
Num steps: 900000   Return: 342.9   Time: 0:13:57
Num steps: 910000   Return: 865.9   Time: 0:14:04
Num steps: 920000   Return: 908.1   Time: 0:14:11
Num steps: 930000   Return: 1452.9   Time: 0:14:19
Num steps: 940000   Return: 1830.1   Time: 0:14:27
Num steps: 950000   Return: 1323.4   Time: 0:14:34
Num steps: 960000   Return: 1779.7   Time: 0:14:42
Num steps: 970000   Return: 1244.4   Time: 0:14:49
Num steps: 980000   Return: 1123.8   Time: 0:14:56
Num steps: 990000   Return: 2372.6   Time: 0:15:04
Num steps: 1000000   Return: 1321.7   Time: 0:15:11
Num steps: 1010000   Return: 2065.6   Time: 0:15:19
Num steps: 1020000   Return: 974.1   Time: 0:15:26
Num steps: 1030000   Return: 1437.6   Time: 0:15:33
Num steps: 1040000   Return: 1417.2   Time: 0:15:40
Num steps: 1050000   Return: 1789.3   Time: 0:15:48
Num steps: 1060000   Return: 1041.8   Time: 0:15:56
Num steps: 1070000   Return: 1687.0   Time: 0:16:03
Num steps: 1080000   Return: 714.6   Time: 0:16:10
Num steps: 1090000   Return: 1314.1   Time: 0:16:17
Num steps: 1100000   Return: 1414.3   Time: 0:16:24
Num steps: 1110000   Return: 2039.5   Time: 0:16:31
Num steps: 1120000   Return: 2455.4   Time: 0:16:39
Num steps: 1130000   Return: 1498.3   Time: 0:16:46
Num steps: 1140000   Return: 1591.7   Time: 0:16:53
Num steps: 1150000   Return: 896.2   Time: 0:17:00
Num steps: 1160000   Return: 1548.4   Time: 0:17:07
Num steps: 1170000   Return: 946.0   Time: 0:17:14
Num steps: 1180000   Return: 2008.7   Time: 0:17:21
Num steps: 1190000   Return: 2071.1   Time: 0:17:29
