Logging started at 20250310-1926
NVIDIA RTX A6000
Process ID: 3253178
states: (64, 1000, 27), actions: (64, 1000, 8)
Expert buffer size: 64000
Initial state shape:
(27,)
Num steps: 100000   Return: 896.7   Time: 0:03:01
Num steps: 200000   Return: 924.9   Time: 0:05:55
Num steps: 300000   Return: 973.7   Time: 0:08:41
Num steps: 400000   Return: 946.1   Time: 0:11:28
Num steps: 500000   Return: 882.0   Time: 0:14:26
Num steps: 600000   Return: 838.2   Time: 0:17:11
Num steps: 700000   Return: 794.1   Time: 0:19:57
Num steps: 800000   Return: 774.1   Time: 0:22:47
Num steps: 900000   Return: 817.8   Time: 0:25:35
Num steps: 1000000   Return: 731.3   Time: 0:28:22
Num steps: 1100000   Return: 704.6   Time: 0:31:11
Num steps: 1200000   Return: 721.4   Time: 0:33:59
Num steps: 1300000   Return: 734.4   Time: 0:36:50
Num steps: 1400000   Return: 731.3   Time: 0:39:44
Num steps: 1500000   Return: 742.4   Time: 0:42:40
Num steps: 1600000   Return: 758.5   Time: 0:45:31
Num steps: 1700000   Return: 718.3   Time: 0:48:21
Num steps: 1800000   Return: 683.3   Time: 0:51:55
Num steps: 1900000   Return: 737.8   Time: 0:55:33
Num steps: 2000000   Return: 744.8   Time: 0:59:10
Num steps: 2100000   Return: 736.4   Time: 1:02:53
Num steps: 2200000   Return: 726.9   Time: 1:06:31
Num steps: 2300000   Return: 726.9   Time: 1:10:07
Num steps: 2400000   Return: 706.2   Time: 1:13:43
Num steps: 2500000   Return: 712.3   Time: 1:17:25
Num steps: 2600000   Return: 698.4   Time: 1:21:10
Num steps: 2700000   Return: 717.9   Time: 1:24:54
Num steps: 2800000   Return: 719.2   Time: 1:28:38
Num steps: 2900000   Return: 730.0   Time: 1:32:25
Num steps: 3000000   Return: 714.4   Time: 1:36:06
Num steps: 3100000   Return: 727.8   Time: 1:39:55
Num steps: 3200000   Return: 716.2   Time: 1:43:40
Num steps: 3300000   Return: 726.9   Time: 1:47:20
Num steps: 3400000   Return: 728.9   Time: 1:51:07
Num steps: 3500000   Return: 718.6   Time: 1:54:55
Num steps: 3600000   Return: 717.3   Time: 1:58:46
Num steps: 3700000   Return: 719.2   Time: 2:02:39
Num steps: 3800000   Return: 712.7   Time: 2:06:23
Num steps: 3900000   Return: 712.3   Time: 2:10:09
Num steps: 4000000   Return: 709.5   Time: 2:13:52
Num steps: 4100000   Return: 708.1   Time: 2:17:36
Num steps: 4200000   Return: 704.0   Time: 2:21:23
Num steps: 4300000   Return: 701.2   Time: 2:25:12
Num steps: 4400000   Return: 702.8   Time: 2:28:52
Num steps: 4500000   Return: 702.8   Time: 2:32:35
Num steps: 4600000   Return: 697.9   Time: 2:36:15
Num steps: 4700000   Return: 699.4   Time: 2:39:50
Num steps: 4800000   Return: 697.4   Time: 2:43:39
Num steps: 4900000   Return: 698.6   Time: 2:47:20
Num steps: 5000000   Return: 695.8   Time: 2:51:05
Num steps: 5100000   Return: 698.4   Time: 2:54:44
Num steps: 5200000   Return: 695.7   Time: 2:58:23
Num steps: 5300000   Return: 700.6   Time: 3:02:02
Num steps: 5400000   Return: 699.9   Time: 3:05:42
Num steps: 5500000   Return: 703.0   Time: 3:09:25
Num steps: 5600000   Return: 698.7   Time: 3:13:03
Num steps: 5700000   Return: 697.4   Time: 3:16:42
Num steps: 5800000   Return: 697.8   Time: 3:20:22
Num steps: 5900000   Return: 695.4   Time: 3:23:58
Num steps: 6000000   Return: 695.1   Time: 3:27:38
Num steps: 6100000   Return: 696.6   Time: 3:31:33
Num steps: 6200000   Return: 696.1   Time: 3:35:26
Num steps: 6300000   Return: 697.5   Time: 3:39:09
Num steps: 6400000   Return: 698.0   Time: 3:42:50
Num steps: 6500000   Return: 697.2   Time: 3:46:38
Num steps: 6600000   Return: 695.8   Time: 3:50:22
Num steps: 6700000   Return: 699.0   Time: 3:54:02
Num steps: 6800000   Return: 702.6   Time: 3:57:41
Num steps: 6900000   Return: 698.9   Time: 4:01:19
Num steps: 7000000   Return: 699.2   Time: 4:04:54
Num steps: 7100000   Return: 700.6   Time: 4:08:33
Num steps: 7200000   Return: 697.7   Time: 4:12:17
Num steps: 7300000   Return: 699.7   Time: 4:15:58
Num steps: 7400000   Return: 696.9   Time: 4:19:36
Num steps: 7500000   Return: 698.0   Time: 4:23:14
Num steps: 7600000   Return: 700.2   Time: 4:26:55
Num steps: 7700000   Return: 697.6   Time: 4:30:34
Num steps: 7800000   Return: 697.2   Time: 4:34:12
Num steps: 7900000   Return: 697.8   Time: 4:37:56
Num steps: 8000000   Return: 696.7   Time: 4:41:40
Num steps: 8100000   Return: 698.6   Time: 4:45:29
Num steps: 8200000   Return: 699.6   Time: 4:49:10
Num steps: 8300000   Return: 698.2   Time: 4:52:55
Num steps: 8400000   Return: 700.8   Time: 4:56:35
Num steps: 8500000   Return: 702.4   Time: 5:00:23
Num steps: 8600000   Return: 702.8   Time: 5:04:04
Num steps: 8700000   Return: 705.7   Time: 5:07:45
Num steps: 8800000   Return: 704.4   Time: 5:11:25
Num steps: 8900000   Return: 704.6   Time: 5:15:03
Num steps: 9000000   Return: 706.1   Time: 5:18:48
Num steps: 9100000   Return: 704.5   Time: 5:22:32
Num steps: 9200000   Return: 704.6   Time: 5:26:17
Num steps: 9300000   Return: 704.3   Time: 5:29:55
Num steps: 9400000   Return: 705.4   Time: 5:33:35
Num steps: 9500000   Return: 705.9   Time: 5:37:18
Num steps: 9600000   Return: 705.4   Time: 5:41:03
Num steps: 9700000   Return: 703.1   Time: 5:44:48
Num steps: 9800000   Return: 704.1   Time: 5:48:32
Num steps: 9900000   Return: 704.2   Time: 5:52:15
Num steps: 10000000   Return: 702.6   Time: 5:55:58
Models saved to logs/Ant-v4/airl/seed123-20250310-1926/model
