Logging started at 20250314-1354
NVIDIA RTX A6000
Process ID: 641077
Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
NumExpr defaulting to 8 threads.
Initial state shape: (27,)
Num steps: 10000    Return: 992.0   Time: 0:00:08
Num steps: 20000    Return: 367.8   Time: 0:01:56
Num steps: 30000    Return: 677.7   Time: 0:03:41
Num steps: 40000    Return: 487.2   Time: 0:05:28
Num steps: 50000    Return: 333.3   Time: 0:07:10
Num steps: 60000    Return: 294.1   Time: 0:08:56
Num steps: 70000    Return: 296.5   Time: 0:10:42
Num steps: 80000    Return: 290.1   Time: 0:12:32
Num steps: 90000    Return: 588.5   Time: 0:14:16
Num steps: 100000   Return: 820.3   Time: 0:16:05
Num steps: 110000   Return: 473.1   Time: 0:17:50
Num steps: 120000   Return: 967.8   Time: 0:19:36
Num steps: 130000   Return: 1191.0   Time: 0:21:12
Num steps: 140000   Return: 1488.2   Time: 0:22:48
Num steps: 150000   Return: 447.3   Time: 0:24:24
Num steps: 160000   Return: 999.2   Time: 0:25:52
Num steps: 170000   Return: 2508.0   Time: 0:27:24
Num steps: 180000   Return: 2112.3   Time: 0:28:59
Num steps: 190000   Return: 2055.7   Time: 0:30:27
Num steps: 200000   Return: 2535.2   Time: 0:32:00
Num steps: 210000   Return: 1671.5   Time: 0:33:30
Num steps: 220000   Return: 2675.3   Time: 0:34:55
Num steps: 230000   Return: 1546.7   Time: 0:36:25
Num steps: 240000   Return: 2022.8   Time: 0:38:04
Num steps: 250000   Return: 2126.0   Time: 0:39:35
Num steps: 260000   Return: 2516.5   Time: 0:41:05
Num steps: 270000   Return: 2318.9   Time: 0:42:36
Num steps: 280000   Return: 1507.3   Time: 0:44:10
Num steps: 290000   Return: 2252.6   Time: 0:45:44
Num steps: 300000   Return: 2846.0   Time: 0:47:27
Num steps: 310000   Return: 1391.6   Time: 0:49:08
Num steps: 320000   Return: 1887.2   Time: 0:50:46
Num steps: 330000   Return: 3169.9   Time: 0:52:21
Num steps: 340000   Return: 741.6   Time: 0:53:58
Num steps: 350000   Return: 3030.8   Time: 0:55:42
Num steps: 360000   Return: 3160.3   Time: 0:57:15
Num steps: 370000   Return: 2242.5   Time: 0:58:47
Num steps: 380000   Return: 3583.6   Time: 1:00:20
Num steps: 390000   Return: 3270.9   Time: 1:01:55
Num steps: 400000   Return: 3891.6   Time: 1:03:28
Num steps: 410000   Return: 3202.8   Time: 1:04:59
Num steps: 420000   Return: 2035.7   Time: 1:06:30
Num steps: 430000   Return: 2447.4   Time: 1:07:56
Num steps: 440000   Return: 3480.9   Time: 1:09:38
Num steps: 450000   Return: 3106.3   Time: 1:11:11
Num steps: 460000   Return: 3510.2   Time: 1:12:44
Num steps: 470000   Return: 4118.2   Time: 1:14:19
Num steps: 480000   Return: 4100.2   Time: 1:15:55
