Logging started at 20250310-1339
NVIDIA RTX A6000
Process ID: 3216935
states: (62, 1000, 17), actions: (62, 1000, 6)
Expert buffer size: 62000
Initial state shape:
(17,)
Num steps: 100000   Return: 315.9   Time: 0:02:24
Num steps: 200000   Return: 124.4   Time: 0:04:53
Num steps: 300000   Return: -4.7    Time: 0:07:20
Num steps: 400000   Return: -12.1   Time: 0:09:47
Num steps: 500000   Return: -32.5   Time: 0:12:15
Num steps: 600000   Return: 7.6     Time: 0:14:45
Num steps: 700000   Return: 3.4     Time: 0:17:13
Num steps: 800000   Return: -5.1    Time: 0:19:41
Num steps: 900000   Return: 7.2     Time: 0:22:10
Num steps: 1000000   Return: 9.6     Time: 0:24:37
Num steps: 1100000   Return: -10.4   Time: 0:27:04
Num steps: 1200000   Return: -12.3   Time: 0:29:36
Num steps: 1300000   Return: -14.1   Time: 0:32:15
Num steps: 1400000   Return: -17.4   Time: 0:34:54
Num steps: 1500000   Return: -20.1   Time: 0:37:34
Num steps: 1600000   Return: -23.1   Time: 0:40:13
Num steps: 1700000   Return: -24.0   Time: 0:42:51
Num steps: 1800000   Return: -19.0   Time: 0:45:28
Num steps: 1900000   Return: -8.9    Time: 0:48:02
Num steps: 2000000   Return: -23.6   Time: 0:50:35
Num steps: 2100000   Return: -22.6   Time: 0:53:05
Num steps: 2200000   Return: -21.9   Time: 0:55:33
Num steps: 2300000   Return: -20.0   Time: 0:58:03
Num steps: 2400000   Return: -17.2   Time: 1:00:32
Num steps: 2500000   Return: -17.2   Time: 1:03:01
Num steps: 2600000   Return: -16.0   Time: 1:05:28
Num steps: 2700000   Return: -16.7   Time: 1:07:55
Num steps: 2800000   Return: -16.1   Time: 1:10:22
Num steps: 2900000   Return: -17.6   Time: 1:12:51
Num steps: 3000000   Return: -15.6   Time: 1:15:10
Num steps: 3100000   Return: 1.1     Time: 1:17:34
Num steps: 3200000   Return: 69.8    Time: 1:19:58
Num steps: 3300000   Return: -17.2   Time: 1:22:18
Num steps: 3400000   Return: -18.4   Time: 1:24:40
Num steps: 3500000   Return: -15.9   Time: 1:27:07
Num steps: 3600000   Return: -16.3   Time: 1:29:38
Num steps: 3700000   Return: -16.8   Time: 1:32:08
Num steps: 3800000   Return: -16.8   Time: 1:34:36
Num steps: 3900000   Return: -17.6   Time: 1:36:59
Num steps: 4000000   Return: -17.4   Time: 1:39:28
Num steps: 4100000   Return: -16.7   Time: 1:41:50
Num steps: 4200000   Return: -17.0   Time: 1:44:21
Num steps: 4300000   Return: -17.1   Time: 1:46:45
Num steps: 4400000   Return: -17.1   Time: 1:49:11
Num steps: 4500000   Return: -16.7   Time: 1:51:41
Num steps: 4600000   Return: -17.7   Time: 1:54:15
Num steps: 4700000   Return: -17.8   Time: 1:56:42
Num steps: 4800000   Return: -17.6   Time: 1:59:04
Num steps: 4900000   Return: -17.5   Time: 2:01:32
Num steps: 5000000   Return: -17.5   Time: 2:03:58
Num steps: 5100000   Return: -18.3   Time: 2:06:23
Num steps: 5200000   Return: -18.8   Time: 2:08:54
Num steps: 5300000   Return: -18.7   Time: 2:11:23
Num steps: 5400000   Return: -18.4   Time: 2:13:47
Num steps: 5500000   Return: -18.8   Time: 2:16:13
Num steps: 5600000   Return: -18.6   Time: 2:18:37
Num steps: 5700000   Return: -18.0   Time: 2:21:09
Num steps: 5800000   Return: -17.8   Time: 2:23:39
Num steps: 5900000   Return: -17.7   Time: 2:26:11
Num steps: 6000000   Return: -17.9   Time: 2:28:40
Num steps: 6100000   Return: -17.6   Time: 2:31:03
Num steps: 6200000   Return: -17.8   Time: 2:33:30
Num steps: 6300000   Return: -18.3   Time: 2:35:59
Num steps: 6400000   Return: -18.1   Time: 2:38:25
Num steps: 6500000   Return: -18.2   Time: 2:40:50
Num steps: 6600000   Return: -18.1   Time: 2:43:19
Num steps: 6700000   Return: -18.2   Time: 2:45:51
Num steps: 6800000   Return: -17.8   Time: 2:48:18
Num steps: 6900000   Return: -17.4   Time: 2:50:53
Num steps: 7000000   Return: -17.4   Time: 2:53:24
Num steps: 7100000   Return: 36.8    Time: 2:55:51
Num steps: 7200000   Return: 46.8    Time: 2:58:24
Num steps: 7300000   Return: 55.2    Time: 3:00:52
Num steps: 7400000   Return: 61.0    Time: 3:03:22
Num steps: 7500000   Return: 59.1    Time: 3:05:50
Num steps: 7600000   Return: 53.5    Time: 3:08:22
Num steps: 7700000   Return: 59.8    Time: 3:10:53
Num steps: 7800000   Return: 47.9    Time: 3:13:23
Num steps: 7900000   Return: 31.0    Time: 3:15:47
Num steps: 8000000   Return: 44.4    Time: 3:18:16
Num steps: 8100000   Return: 47.0    Time: 3:20:45
Num steps: 8200000   Return: 47.5    Time: 3:23:10
Num steps: 8300000   Return: 49.8    Time: 3:25:35
Num steps: 8400000   Return: 45.6    Time: 3:27:57
Num steps: 8500000   Return: 51.1    Time: 3:30:24
Num steps: 8600000   Return: 47.3    Time: 3:32:55
Num steps: 8700000   Return: 48.0    Time: 3:35:21
Num steps: 8800000   Return: 45.3    Time: 3:37:46
Num steps: 8900000   Return: 45.5    Time: 3:40:14
Num steps: 9000000   Return: 44.7    Time: 3:42:40
Num steps: 9100000   Return: 46.6    Time: 3:45:09
Num steps: 9200000   Return: 45.2    Time: 3:47:38
Num steps: 9300000   Return: 42.3    Time: 3:50:07
Num steps: 9400000   Return: 28.5    Time: 3:52:27
Num steps: 9500000   Return: 34.0    Time: 3:54:59
Num steps: 9600000   Return: 29.5    Time: 3:57:31
Num steps: 9700000   Return: 24.5    Time: 4:00:01
Num steps: 9800000   Return: 25.7    Time: 4:02:30
Num steps: 9900000   Return: 27.7    Time: 4:04:56
Num steps: 10000000   Return: 17.2    Time: 4:07:24
Models saved to logs/HalfCheetah-v4/airl/seed123-20250310-1339/model
