Logging started at 20250312-1339
NVIDIA RTX A6000
Process ID: 3351910
Env: Hopper-v4, Hopper_states.pt, Hopper_actions.pt, Seed: 123
Rollout length: 1000
Num steps: 10000000, Eval interval: 100000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0003, lr_critic: 0.0003, lr_disc: 0.0003
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.0, Max Grad Norm: 10.0
Initial state shape: (11,)
Num steps: 100000   Return: 321.4   Time: 0:08:29
Num steps: 200000   Return: 368.5   Time: 0:17:08
Num steps: 300000   Return: 642.5   Time: 0:26:24
Num steps: 400000   Return: 638.8   Time: 0:35:27
Num steps: 500000   Return: 447.2   Time: 0:44:35
Num steps: 600000   Return: 428.7   Time: 0:53:55
Num steps: 700000   Return: 275.0   Time: 1:03:16
Num steps: 800000   Return: 328.1   Time: 1:12:36
Num steps: 900000   Return: 477.6   Time: 1:21:52
Num steps: 1000000   Return: 217.1   Time: 1:31:17
Num steps: 1100000   Return: 200.9   Time: 1:40:40
Num steps: 1200000   Return: 159.9   Time: 1:49:59
Num steps: 1300000   Return: 166.7   Time: 1:59:09
Num steps: 1400000   Return: 166.8   Time: 2:08:27
Num steps: 1500000   Return: 169.6   Time: 2:17:47
Num steps: 1600000   Return: 171.4   Time: 2:27:15
Num steps: 1700000   Return: 292.7   Time: 2:36:40
Num steps: 1800000   Return: 160.2   Time: 2:46:11
Num steps: 1900000   Return: 153.8   Time: 2:54:50
Num steps: 2000000   Return: 154.0   Time: 3:02:52
Num steps: 2100000   Return: 157.9   Time: 3:10:54
Num steps: 2200000   Return: 396.5   Time: 3:18:45
Num steps: 2300000   Return: 154.3   Time: 3:26:33
Num steps: 2400000   Return: 142.7   Time: 3:34:30
Num steps: 2500000   Return: 142.5   Time: 3:42:25
Num steps: 2600000   Return: 137.2   Time: 3:50:22
Num steps: 2700000   Return: 141.1   Time: 3:58:16
Num steps: 2800000   Return: 148.4   Time: 4:06:10
Num steps: 2900000   Return: 154.9   Time: 4:14:13
Num steps: 3000000   Return: 152.8   Time: 4:22:12
Num steps: 3100000   Return: 154.9   Time: 4:30:18
Num steps: 3200000   Return: 158.9   Time: 4:38:43
Num steps: 3300000   Return: 163.7   Time: 4:46:49
Num steps: 3400000   Return: 159.5   Time: 4:54:52
Num steps: 3500000   Return: 155.4   Time: 5:02:55
Num steps: 3600000   Return: 156.6   Time: 5:10:55
Num steps: 3700000   Return: 155.3   Time: 5:19:10
Num steps: 3800000   Return: 154.5   Time: 5:27:07
Num steps: 3900000   Return: 157.9   Time: 5:35:04
Num steps: 4000000   Return: 162.2   Time: 5:43:18
Num steps: 4100000   Return: 145.2   Time: 5:51:31
Num steps: 4200000   Return: 145.9   Time: 5:59:55
Num steps: 4300000   Return: 152.8   Time: 6:07:49
Num steps: 4400000   Return: 158.0   Time: 6:15:41
Num steps: 4500000   Return: 161.4   Time: 6:23:37
Num steps: 4600000   Return: 147.4   Time: 6:31:31
Num steps: 4700000   Return: 124.6   Time: 6:39:20
Num steps: 4800000   Return: 122.3   Time: 6:47:17
Num steps: 4900000   Return: 117.2   Time: 6:55:21
Num steps: 5000000   Return: 122.5   Time: 7:03:47
Num steps: 5100000   Return: 124.3   Time: 7:11:50
Num steps: 5200000   Return: 126.4   Time: 7:20:05
Num steps: 5300000   Return: 124.7   Time: 7:28:10
Num steps: 5400000   Return: 131.5   Time: 7:36:16
Num steps: 5500000   Return: 124.3   Time: 7:44:20
Num steps: 5600000   Return: 122.9   Time: 7:52:38
Num steps: 5700000   Return: 122.0   Time: 8:00:51
Num steps: 5800000   Return: 120.6   Time: 8:08:59
Num steps: 5900000   Return: 123.3   Time: 8:17:09
Num steps: 6000000   Return: 125.2   Time: 8:25:23
Num steps: 6100000   Return: 123.0   Time: 8:33:30
Num steps: 6200000   Return: 120.8   Time: 8:41:36
Num steps: 6300000   Return: 120.2   Time: 8:49:43
Num steps: 6400000   Return: 120.3   Time: 8:57:51
Num steps: 6500000   Return: 121.3   Time: 9:05:55
Num steps: 6600000   Return: 118.3   Time: 9:14:05
Num steps: 6700000   Return: 121.2   Time: 9:22:13
Num steps: 6800000   Return: 120.9   Time: 9:30:24
Num steps: 6900000   Return: 121.4   Time: 9:38:34
Num steps: 7000000   Return: 119.0   Time: 9:46:42
Num steps: 7100000   Return: 122.5   Time: 9:54:51
Num steps: 7200000   Return: 108.5   Time: 10:03:02
Num steps: 7300000   Return: 78.3    Time: 10:11:04
Num steps: 7400000   Return: 71.0    Time: 10:19:08
Num steps: 7500000   Return: 74.0    Time: 10:27:14
Num steps: 7600000   Return: 68.6    Time: 10:35:30
Num steps: 7700000   Return: 69.2    Time: 10:43:42
Num steps: 7800000   Return: 71.6    Time: 10:51:51
Num steps: 7900000   Return: 70.3    Time: 11:00:04
Num steps: 8000000   Return: 71.8    Time: 11:08:11
Num steps: 8100000   Return: 71.6    Time: 11:16:20
Num steps: 8200000   Return: 72.0    Time: 11:24:25
Num steps: 8300000   Return: 73.2    Time: 11:32:30
Num steps: 8400000   Return: 67.6    Time: 11:40:40
Num steps: 8500000   Return: 18.3    Time: 11:48:44
Num steps: 8600000   Return: 12.2    Time: 11:56:44
Num steps: 8700000   Return: 185.7   Time: 12:04:49
Num steps: 8800000   Return: 3.6     Time: 12:12:55
Num steps: 8900000   Return: 2.8     Time: 12:21:01
Num steps: 9000000   Return: 4.3     Time: 12:29:16
Num steps: 9100000   Return: 2.9     Time: 12:37:23
Num steps: 9200000   Return: 2.7     Time: 12:45:22
Num steps: 9300000   Return: 4.6     Time: 12:53:20
Num steps: 9400000   Return: 4.0     Time: 13:01:17
Num steps: 9500000   Return: 2.0     Time: 13:09:08
Num steps: 9600000   Return: 5.7     Time: 13:17:03
Num steps: 9700000   Return: 4.5     Time: 13:25:03
Num steps: 9800000   Return: 26.5    Time: 13:33:10
Num steps: 9900000   Return: 5.2     Time: 13:41:09
Num steps: 10000000   Return: 0.4     Time: 13:49:15
Models saved to logs/Hopper-v4/airl/20250312-1339/model
