Logging started at 20250314-1353
NVIDIA RTX A6000
Process ID: 640304
Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
NumExpr defaulting to 8 threads.
Initial state shape: (11,)
Num steps: 10000    Return: 104.6   Time: 0:00:08
Num steps: 20000    Return: 311.1   Time: 0:01:52
Num steps: 30000    Return: 234.9   Time: 0:03:42
Num steps: 40000    Return: 439.1   Time: 0:05:31
Num steps: 50000    Return: 463.7   Time: 0:07:11
Num steps: 60000    Return: 843.2   Time: 0:08:58
Num steps: 70000    Return: 691.4   Time: 0:10:42
Num steps: 80000    Return: 880.6   Time: 0:12:32
Num steps: 90000    Return: 753.1   Time: 0:14:22
Num steps: 100000   Return: 1202.4   Time: 0:16:09
Num steps: 110000   Return: 1063.0   Time: 0:17:56
Num steps: 120000   Return: 2072.3   Time: 0:19:40
Num steps: 130000   Return: 1563.4   Time: 0:21:28
Num steps: 140000   Return: 908.9   Time: 0:23:13
Num steps: 150000   Return: 1586.8   Time: 0:24:52
Num steps: 160000   Return: 3122.9   Time: 0:26:31
Num steps: 170000   Return: 3269.3   Time: 0:28:04
Num steps: 180000   Return: 2860.0   Time: 0:29:40
Num steps: 190000   Return: 2108.8   Time: 0:31:15
Num steps: 200000   Return: 3262.4   Time: 0:32:52
Num steps: 210000   Return: 3299.6   Time: 0:34:29
Num steps: 220000   Return: 3306.4   Time: 0:36:06
Num steps: 230000   Return: 3258.5   Time: 0:37:46
Num steps: 240000   Return: 3245.8   Time: 0:39:24
Num steps: 250000   Return: 3312.3   Time: 0:41:05
Num steps: 260000   Return: 3201.8   Time: 0:42:43
Num steps: 270000   Return: 3404.6   Time: 0:44:21
Num steps: 280000   Return: 1728.0   Time: 0:45:56
Num steps: 290000   Return: 3370.3   Time: 0:47:41
Num steps: 300000   Return: 3374.2   Time: 0:49:27
Num steps: 310000   Return: 3373.4   Time: 0:51:10
Num steps: 320000   Return: 3385.8   Time: 0:52:51
Num steps: 330000   Return: 2941.6   Time: 0:54:33
Num steps: 340000   Return: 3334.5   Time: 0:56:22
Num steps: 350000   Return: 3384.6   Time: 0:58:06
Num steps: 360000   Return: 3098.2   Time: 0:59:44
Num steps: 370000   Return: 3316.5   Time: 1:01:25
Num steps: 380000   Return: 3418.8   Time: 1:03:06
Num steps: 390000   Return: 3021.7   Time: 1:04:47
Num steps: 400000   Return: 3367.8   Time: 1:06:29
Num steps: 410000   Return: 1120.0   Time: 1:08:08
Num steps: 420000   Return: 3303.9   Time: 1:09:48
Num steps: 430000   Return: 2987.3   Time: 1:11:28
Num steps: 440000   Return: 3395.8   Time: 1:13:08
Num steps: 450000   Return: 3382.6   Time: 1:14:54
Num steps: 460000   Return: 3439.8   Time: 1:16:45
Num steps: 470000   Return: 3360.5   Time: 1:18:46
Num steps: 480000   Return: 3408.5   Time: 1:20:47
Num steps: 490000   Return: 2653.3   Time: 1:22:47
Num steps: 500000   Return: 3395.2   Time: 1:24:46
Num steps: 510000   Return: 3369.4   Time: 1:26:47
Num steps: 520000   Return: 3408.8   Time: 1:28:51
Num steps: 530000   Return: 1936.8   Time: 1:30:50
Num steps: 540000   Return: 3417.8   Time: 1:32:50
Num steps: 550000   Return: 3395.1   Time: 1:34:52
Num steps: 560000   Return: 3447.0   Time: 1:36:54
