Logging started at 20250805-1915
Ontime :
True
Action space mid: [-1.01544115  0.35211622 -1.4718604  -0.02193483  0.17171457 -1.72067063
  0.73262144  0.59373679 -1.70303595  0.9739868  -0.37528118  1.39366461
  0.0950622  -0.20761523  1.43099267 -0.8433354  -0.56783056  1.5509321 ], scale: [0.37887345 0.38625919 0.9088706  0.73458574 0.25311723 0.74624138
 0.48282515 0.39883771 0.90878105 0.3611042  0.43070838 1.08526869
 0.81234604 0.23015727 0.90908403 0.5721398  0.36438274 0.9224675 ]
INFO: VrepInterfaze is initialized successfully.
NVIDIA GeForce RTX 4060 Laptop GPU
Process ID: 38171
Env: Medauroidea_60000, expert/expert_60000.csv, Seed: 0
Rollout length: 1000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Expert buffer size: 65539
Initial state shape: (34,)
Num steps: 10000    Return: -15671.4   Time: 0:09:06
Num steps: 20000    Return: -15658.5   Time: 0:18:21
Num steps: 30000    Return: -15514.0   Time: 0:27:40
Num steps: 40000    Return: -15541.0   Time: 0:36:52
Num steps: 50000    Return: -15604.4   Time: 0:45:50
Num steps: 60000    Return: -16193.7   Time: 0:54:45
Num steps: 70000    Return: -15597.5   Time: 1:03:44
Num steps: 80000    Return: -15551.2   Time: 1:12:47
Num steps: 90000    Return: -15621.1   Time: 1:21:56
Num steps: 100000   Return: -15882.1   Time: 1:31:05
Num steps: 110000   Return: -15676.9   Time: 1:40:14
Num steps: 120000   Return: -15872.7   Time: 1:49:18
Num steps: 130000   Return: -15854.6   Time: 1:58:14
Num steps: 140000   Return: -15927.9   Time: 2:07:12
Num steps: 150000   Return: -15896.5   Time: 2:16:13
Num steps: 160000   Return: -15926.8   Time: 2:25:18
Num steps: 170000   Return: -15857.3   Time: 2:34:25
Num steps: 180000   Return: -15906.1   Time: 2:43:31
Num steps: 190000   Return: -15905.5   Time: 2:52:32
Num steps: 200000   Return: -15052.8   Time: 3:01:32
Num steps: 210000   Return: -16071.6   Time: 3:10:30
Num steps: 220000   Return: -15768.0   Time: 3:19:30
Num steps: 230000   Return: -15751.0   Time: 3:28:37
Num steps: 240000   Return: -15533.6   Time: 3:37:43
Num steps: 250000   Return: -15859.3   Time: 3:46:43
Num steps: 260000   Return: -15583.6   Time: 3:55:47
Num steps: 270000   Return: -16002.7   Time: 4:04:57
Num steps: 280000   Return: -16495.1   Time: 4:13:56
Num steps: 290000   Return: -15162.3   Time: 4:22:56
Num steps: 300000   Return: -16231.0   Time: 4:31:59
Num steps: 310000   Return: -15988.3   Time: 4:41:00
Num steps: 320000   Return: -15900.6   Time: 4:49:57
Num steps: 330000   Return: -15854.5   Time: 4:58:58
Num steps: 340000   Return: -15842.1   Time: 5:08:03
Num steps: 350000   Return: -15840.6   Time: 5:17:04
Num steps: 360000   Return: -15758.7   Time: 5:26:05
Num steps: 370000   Return: -15804.3   Time: 5:35:04
Num steps: 380000   Return: -15687.5   Time: 5:44:03
Num steps: 390000   Return: -15817.1   Time: 5:52:57
Num steps: 400000   Return: -15767.2   Time: 6:01:57
Num steps: 410000   Return: -15761.5   Time: 6:10:58
Num steps: 420000   Return: -15821.7   Time: 6:20:03
Num steps: 430000   Return: -15738.9   Time: 6:29:20
Num steps: 440000   Return: -15793.2   Time: 6:38:56
Num steps: 450000   Return: -15788.7   Time: 6:48:27
Num steps: 460000   Return: -16018.3   Time: 6:58:01
Num steps: 470000   Return: -16106.7   Time: 7:07:37
Num steps: 480000   Return: -17136.4   Time: 7:17:23
Num steps: 490000   Return: -18093.3   Time: 7:27:10
Num steps: 500000   Return: -17332.8   Time: 7:36:51
Num steps: 510000   Return: -18290.4   Time: 7:46:25
