Logging started at 20250425-1207
NVIDIA RTX A6000
Process ID: 1624665
Env: StickInsect-v4, experts/StickInsect_states.pt, experts/StickInsect_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 40000000, Eval interval: 100000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 5e-05, lr_critic: 5e-05, lr_disc: 5e-05
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (5208, 47), actions: (5208, 18)
Expert data states: (5207, 47), actions: (5207, 18)
Expert buffer size: 5207
Initial state shape: (47,)
Num steps: 100000   Return: -1204.7   Time: 0:04:14
Num steps: 200000   Return: -758.3   Time: 0:08:50
Num steps: 300000   Return: -5284.9   Time: 0:13:29
Num steps: 400000   Return: -2049.2   Time: 0:18:10
Num steps: 500000   Return: -11317.5   Time: 0:22:59
Num steps: 600000   Return: -11058.5   Time: 0:27:48
Num steps: 700000   Return: -469.1   Time: 0:32:33
Num steps: 800000   Return: -8643.9   Time: 0:37:26
Num steps: 900000   Return: -8159.7   Time: 0:42:23
Num steps: 1000000   Return: -10328.9   Time: 0:47:26
Num steps: 1100000   Return: -11497.9   Time: 0:52:23
Num steps: 1200000   Return: -15056.5   Time: 0:57:12
Num steps: 1300000   Return: -18474.3   Time: 1:02:09
Num steps: 1400000   Return: -3843.6   Time: 1:07:08
Num steps: 1500000   Return: -19153.4   Time: 1:12:01
Num steps: 1600000   Return: -6934.0   Time: 1:16:49
Num steps: 1700000   Return: -7401.9   Time: 1:21:22
Num steps: 1800000   Return: -29055.4   Time: 1:25:56
Num steps: 1900000   Return: -16723.8   Time: 1:30:34
Num steps: 2000000   Return: -7715.2   Time: 1:35:13
Num steps: 2100000   Return: -19767.8   Time: 1:39:45
Num steps: 2200000   Return: -26516.0   Time: 1:45:41
Num steps: 2300000   Return: -23548.3   Time: 1:54:10
Num steps: 2400000   Return: -30671.4   Time: 1:59:30
Num steps: 2500000   Return: -30016.8   Time: 2:04:26
Num steps: 2600000   Return: -35020.2   Time: 2:09:30
Num steps: 2700000   Return: -27304.0   Time: 2:14:29
Num steps: 2800000   Return: -22494.2   Time: 2:19:40
Num steps: 2900000   Return: -33737.7   Time: 2:24:54
Num steps: 3000000   Return: -30869.6   Time: 2:30:08
Num steps: 3100000   Return: -23503.9   Time: 2:35:18
Num steps: 3200000   Return: -16224.6   Time: 2:40:34
Num steps: 3300000   Return: -15026.6   Time: 2:45:42
Num steps: 3400000   Return: -32889.8   Time: 2:50:56
Num steps: 3500000   Return: -33182.3   Time: 2:56:08
Num steps: 3600000   Return: -18770.9   Time: 3:01:15
Num steps: 3700000   Return: -34617.4   Time: 3:06:30
Num steps: 3800000   Return: -19958.7   Time: 3:11:51
Num steps: 3900000   Return: -22764.1   Time: 3:17:20
Num steps: 4000000   Return: -20317.3   Time: 3:22:45
Num steps: 4100000   Return: -21768.8   Time: 3:27:59
Num steps: 4200000   Return: -28513.1   Time: 3:33:20
Num steps: 4300000   Return: -23421.9   Time: 3:38:39
Num steps: 4400000   Return: -34393.0   Time: 3:43:49
Num steps: 4500000   Return: -20375.3   Time: 3:48:57
Num steps: 4600000   Return: -14577.1   Time: 3:54:15
Num steps: 4700000   Return: -18050.7   Time: 3:59:40
Num steps: 4800000   Return: -25667.5   Time: 4:04:55
Num steps: 4900000   Return: -29351.0   Time: 4:11:17
Num steps: 5000000   Return: -25291.1   Time: 4:18:20
Num steps: 5100000   Return: -26757.8   Time: 4:26:57
Num steps: 5200000   Return: -23369.7   Time: 4:35:28
Num steps: 5300000   Return: -29387.8   Time: 4:44:03
Num steps: 5400000   Return: -17635.3   Time: 4:52:42
Num steps: 5500000   Return: -19636.7   Time: 5:01:16
Num steps: 5600000   Return: -30598.8   Time: 5:10:02
Num steps: 5700000   Return: -17940.3   Time: 5:19:05
Num steps: 5800000   Return: -43740.6   Time: 5:28:06
Num steps: 5900000   Return: -25582.7   Time: 5:36:51
Num steps: 6000000   Return: -28941.3   Time: 5:45:22
Num steps: 6100000   Return: -40130.6   Time: 5:53:51
Num steps: 6200000   Return: -34138.6   Time: 6:02:35
Num steps: 6300000   Return: -20487.0   Time: 6:10:29
Num steps: 6400000   Return: -27554.4   Time: 6:17:40
Num steps: 6500000   Return: -29749.4   Time: 6:25:03
Num steps: 6600000   Return: -29036.5   Time: 6:31:49
Num steps: 6700000   Return: -26559.0   Time: 6:38:17
Num steps: 6800000   Return: -24912.7   Time: 6:44:56
Num steps: 6900000   Return: -35188.0   Time: 6:51:35
Num steps: 7000000   Return: -39238.9   Time: 6:58:41
Num steps: 7100000   Return: -20126.4   Time: 7:05:55
Num steps: 7200000   Return: -29478.3   Time: 7:13:13
Num steps: 7300000   Return: -31660.7   Time: 7:20:28
Num steps: 7400000   Return: -28137.2   Time: 7:27:28
Num steps: 7500000   Return: -30330.4   Time: 7:34:28
Num steps: 7600000   Return: -14195.0   Time: 7:41:34
Num steps: 7700000   Return: -20897.3   Time: 7:48:35
Num steps: 7800000   Return: -12343.2   Time: 7:55:24
Num steps: 7900000   Return: -12102.9   Time: 8:02:07
Num steps: 8000000   Return: -4015.4   Time: 8:08:51
Num steps: 8100000   Return: -4052.1   Time: 8:13:31
Num steps: 8200000   Return: -12478.2   Time: 8:17:45
Num steps: 8300000   Return: -17799.4   Time: 8:21:48
Num steps: 8400000   Return: -14403.9   Time: 8:26:00
Num steps: 8500000   Return: -12391.2   Time: 8:30:06
Num steps: 8600000   Return: -23502.2   Time: 8:34:12
Num steps: 8700000   Return: -18940.8   Time: 8:38:12
Num steps: 8800000   Return: -23338.2   Time: 8:42:17
Num steps: 8900000   Return: -11775.0   Time: 8:46:24
Num steps: 9000000   Return: -15288.8   Time: 8:50:41
Num steps: 9100000   Return: -24837.5   Time: 8:54:51
Num steps: 9200000   Return: -26123.2   Time: 8:59:05
Num steps: 9300000   Return: -22624.1   Time: 9:03:07
Num steps: 9400000   Return: -22888.1   Time: 9:07:13
Num steps: 9500000   Return: -13316.0   Time: 9:11:27
Num steps: 9600000   Return: -36746.1   Time: 9:15:35
Num steps: 9700000   Return: -30269.1   Time: 9:19:54
Num steps: 9800000   Return: -28916.6   Time: 9:24:11
Num steps: 9900000   Return: -39162.2   Time: 9:28:27
Num steps: 10000000   Return: -17705.9   Time: 9:32:38
Num steps: 10100000   Return: -11583.0   Time: 9:36:54
Num steps: 10200000   Return: -30407.9   Time: 9:41:05
Num steps: 10300000   Return: -40914.4   Time: 9:45:20
Num steps: 10400000   Return: -43541.4   Time: 9:49:28
Num steps: 10500000   Return: -36714.5   Time: 9:53:32
Num steps: 10600000   Return: -30538.3   Time: 9:57:34
Num steps: 10700000   Return: -24286.5   Time: 10:01:31
Num steps: 10800000   Return: -16942.7   Time: 10:05:35
Num steps: 10900000   Return: -23220.4   Time: 10:09:36
Num steps: 11000000   Return: -16756.0   Time: 10:13:37
Num steps: 11100000   Return: -9128.3   Time: 10:17:37
Num steps: 11200000   Return: -30649.6   Time: 10:21:38
Num steps: 11300000   Return: -18864.3   Time: 10:25:41
Num steps: 11400000   Return: -23595.2   Time: 10:29:42
Num steps: 11500000   Return: -20065.6   Time: 10:33:40
Num steps: 11600000   Return: -21290.8   Time: 10:37:38
Num steps: 11700000   Return: -8161.2   Time: 10:41:36
Num steps: 11800000   Return: -16868.8   Time: 10:45:33
Num steps: 11900000   Return: -9217.6   Time: 10:49:33
Num steps: 12000000   Return: -9419.2   Time: 10:53:35
Num steps: 12100000   Return: -31343.1   Time: 10:57:35
Num steps: 12200000   Return: -22379.6   Time: 11:01:26
Num steps: 12300000   Return: -16554.4   Time: 11:05:24
Num steps: 12400000   Return: -16773.9   Time: 11:09:21
Num steps: 12500000   Return: -39713.1   Time: 11:13:21
Num steps: 12600000   Return: -19934.6   Time: 11:17:18
Num steps: 12700000   Return: -28499.9   Time: 11:21:15
Num steps: 12800000   Return: -26655.1   Time: 11:25:11
Num steps: 12900000   Return: -33174.6   Time: 11:29:11
Num steps: 13000000   Return: -16441.5   Time: 11:33:13
Num steps: 13100000   Return: -17099.9   Time: 11:37:06
Num steps: 13200000   Return: -11699.2   Time: 11:40:58
Num steps: 13300000   Return: -18526.7   Time: 11:44:51
Num steps: 13400000   Return: -20175.2   Time: 11:48:40
Num steps: 13500000   Return: -19008.9   Time: 11:52:26
Num steps: 13600000   Return: -8579.1   Time: 11:56:06
Num steps: 13700000   Return: -20114.5   Time: 11:59:49
Num steps: 13800000   Return: -13805.4   Time: 12:03:25
Num steps: 13900000   Return: -26852.5   Time: 12:07:00
Num steps: 14000000   Return: -7752.7   Time: 12:10:31
Num steps: 14100000   Return: -31202.0   Time: 12:14:01
Num steps: 14200000   Return: -22211.0   Time: 12:17:32
Num steps: 14300000   Return: -42101.0   Time: 12:21:02
Num steps: 14400000   Return: -18899.0   Time: 12:24:32
Num steps: 14500000   Return: -18913.7   Time: 12:28:02
Num steps: 14600000   Return: -11210.7   Time: 12:31:31
Num steps: 14700000   Return: -16522.9   Time: 12:34:52
Num steps: 14800000   Return: -16775.2   Time: 12:38:19
Num steps: 14900000   Return: -43757.8   Time: 12:41:48
Num steps: 15000000   Return: -28095.0   Time: 12:45:15
Num steps: 15100000   Return: -20651.7   Time: 12:48:44
Num steps: 15200000   Return: -30750.0   Time: 12:52:09
Num steps: 15300000   Return: -32437.1   Time: 12:55:34
Num steps: 15400000   Return: -33550.1   Time: 12:58:56
Num steps: 15500000   Return: -39143.9   Time: 13:02:12
Num steps: 15600000   Return: -7891.7   Time: 13:05:25
Num steps: 15700000   Return: -39176.2   Time: 13:08:36
Num steps: 15800000   Return: -26993.7   Time: 13:11:45
Num steps: 15900000   Return: -33825.1   Time: 13:14:54
Num steps: 16000000   Return: -5171.9   Time: 13:18:02
Num steps: 16100000   Return: -16961.7   Time: 13:21:15
Num steps: 16200000   Return: -5138.8   Time: 13:24:23
Num steps: 16300000   Return: -16405.5   Time: 13:27:34
Num steps: 16400000   Return: -24402.4   Time: 13:30:45
Num steps: 16500000   Return: -6176.2   Time: 13:33:53
Num steps: 16600000   Return: -19010.6   Time: 13:37:04
Num steps: 16700000   Return: -14498.5   Time: 13:40:12
Num steps: 16800000   Return: -28295.4   Time: 13:43:20
Num steps: 16900000   Return: -18880.4   Time: 13:46:25
Num steps: 17000000   Return: -20006.9   Time: 13:49:32
Num steps: 17100000   Return: -16454.8   Time: 13:52:40
Num steps: 17200000   Return: -11668.2   Time: 13:55:50
Num steps: 17300000   Return: -27802.3   Time: 13:59:01
Num steps: 17400000   Return: -8496.6   Time: 14:02:09
Num steps: 17500000   Return: -4763.0   Time: 14:05:16
Num steps: 17600000   Return: -32535.3   Time: 14:08:22
Num steps: 17700000   Return: -24474.8   Time: 14:11:25
Num steps: 17800000   Return: -31868.9   Time: 14:14:31
Num steps: 17900000   Return: -13529.3   Time: 14:17:31
Num steps: 18000000   Return: -10120.4   Time: 14:20:30
Num steps: 18100000   Return: -31922.3   Time: 14:23:27
Num steps: 18200000   Return: -10515.8   Time: 14:26:21
Num steps: 18300000   Return: -4909.7   Time: 14:29:17
Num steps: 18400000   Return: -7893.1   Time: 14:32:11
Num steps: 18500000   Return: -11249.5   Time: 14:35:07
Num steps: 18600000   Return: -32632.0   Time: 14:38:01
Num steps: 18700000   Return: -39298.4   Time: 14:40:59
Num steps: 18800000   Return: -34292.6   Time: 14:43:52
Num steps: 18900000   Return: -9441.1   Time: 14:46:48
Num steps: 19000000   Return: -30855.7   Time: 14:49:42
Num steps: 19100000   Return: -10323.2   Time: 14:52:37
Num steps: 19200000   Return: -22879.1   Time: 14:55:33
Num steps: 19300000   Return: -27809.7   Time: 14:58:30
Num steps: 19400000   Return: -19727.3   Time: 15:01:28
Num steps: 19500000   Return: -20095.7   Time: 15:04:18
Num steps: 19600000   Return: -6400.3   Time: 15:07:10
Num steps: 19700000   Return: -7945.7   Time: 15:10:01
Num steps: 19800000   Return: -10590.4   Time: 15:12:53
Num steps: 19900000   Return: -34033.3   Time: 15:15:46
Num steps: 20000000   Return: -41494.1   Time: 15:18:36
Num steps: 20100000   Return: -11693.6   Time: 15:21:23
Num steps: 20200000   Return: -17319.1   Time: 15:24:09
Num steps: 20300000   Return: -16302.0   Time: 15:26:55
Num steps: 20400000   Return: -29348.6   Time: 15:29:41
