Logging started at 20250425-1216
NVIDIA RTX A6000
Process ID: 1627437
Env: StickInsect-v4, experts/StickInsect_states.pt, experts/StickInsect_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 40000000, Eval interval: 100000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 3e-05, lr_disc: 3e-05
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (5208, 47), actions: (5208, 18)
Expert data states: (5207, 47), actions: (5207, 18)
Expert buffer size: 5207
Initial state shape: (47,)
Num steps: 100000   Return: -679.7   Time: 0:06:24
Num steps: 200000   Return: -1064.1   Time: 0:12:42
Num steps: 300000   Return: -4804.9   Time: 0:18:49
Num steps: 400000   Return: -1067.4   Time: 0:24:58
Num steps: 500000   Return: -1846.8   Time: 0:31:15
Num steps: 600000   Return: -667.1   Time: 0:37:26
Num steps: 700000   Return: -10633.5   Time: 0:43:52
Num steps: 800000   Return: -8428.8   Time: 0:50:16
Num steps: 900000   Return: -11431.9   Time: 0:56:36
Num steps: 1000000   Return: -6720.1   Time: 1:02:49
Num steps: 1100000   Return: -5452.6   Time: 1:06:23
Num steps: 1200000   Return: -13944.3   Time: 1:09:44
Num steps: 1300000   Return: -10284.7   Time: 1:12:56
Num steps: 1400000   Return: -12107.1   Time: 1:16:08
Num steps: 1500000   Return: -20368.9   Time: 1:19:19
Num steps: 1600000   Return: -18999.5   Time: 1:22:36
Num steps: 1700000   Return: -3611.2   Time: 1:25:51
Num steps: 1800000   Return: -17153.2   Time: 1:29:09
Num steps: 1900000   Return: -12023.9   Time: 1:32:20
Num steps: 2000000   Return: -15846.3   Time: 1:37:21
Num steps: 2100000   Return: -29269.0   Time: 1:45:27
Num steps: 2200000   Return: -31696.8   Time: 1:51:14
Num steps: 2300000   Return: -30465.3   Time: 1:57:00
Num steps: 2400000   Return: -35391.5   Time: 2:03:09
Num steps: 2500000   Return: -31079.8   Time: 2:09:22
Num steps: 2600000   Return: -40857.6   Time: 2:15:40
Num steps: 2700000   Return: -45477.1   Time: 2:21:44
Num steps: 2800000   Return: -43748.6   Time: 2:28:18
Num steps: 2900000   Return: -29175.3   Time: 2:34:44
Num steps: 3000000   Return: -28967.5   Time: 2:40:58
Num steps: 3100000   Return: -22530.0   Time: 2:47:17
Num steps: 3200000   Return: -32744.1   Time: 2:53:30
Num steps: 3300000   Return: -22223.9   Time: 3:00:00
Num steps: 3400000   Return: -24402.5   Time: 3:06:27
Num steps: 3500000   Return: -24521.2   Time: 3:12:45
Num steps: 3600000   Return: -25974.2   Time: 3:19:07
Num steps: 3700000   Return: -25529.8   Time: 3:25:22
Num steps: 3800000   Return: -26098.7   Time: 3:31:50
Num steps: 3900000   Return: -23635.9   Time: 3:38:15
Num steps: 4000000   Return: -38781.3   Time: 3:44:38
