Logging started at 20250426-0707
NVIDIA RTX A6000
Process ID: 1777707
Env: StickInsect-v4, experts/StickInsect_states.pt, experts/StickInsect_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 3e-06, lr_critic: 3e-06, lr_disc: 3e-06
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (5208, 47), actions: (5208, 18)
Expert data states: (5207, 47), actions: (5207, 18)
Expert buffer size: 5207
Initial state shape: (47,)
Num steps: 10000    Return: -276.0   Time: 0:00:18
Num steps: 20000    Return: -314.3   Time: 0:00:37
Num steps: 30000    Return: -227.8   Time: 0:00:55
Num steps: 40000    Return: -100.1   Time: 0:01:12
Num steps: 50000    Return: -247.8   Time: 0:01:30
Num steps: 60000    Return: -178.9   Time: 0:01:48
Num steps: 70000    Return: -195.6   Time: 0:02:06
Num steps: 80000    Return: -173.2   Time: 0:02:23
Num steps: 90000    Return: -127.9   Time: 0:02:41
Num steps: 100000   Return: -108.1   Time: 0:02:59
Num steps: 110000   Return: -30.4   Time: 0:03:16
Num steps: 120000   Return: -34.2   Time: 0:03:35
Num steps: 130000   Return: 7.1     Time: 0:03:52
Num steps: 140000   Return: 47.1    Time: 0:04:11
Num steps: 150000   Return: 77.7    Time: 0:04:29
Num steps: 160000   Return: 127.0   Time: 0:04:48
Num steps: 170000   Return: 131.3   Time: 0:05:05
Num steps: 180000   Return: 142.0   Time: 0:05:23
Num steps: 190000   Return: 156.1   Time: 0:05:41
Num steps: 200000   Return: 176.3   Time: 0:05:59
Num steps: 210000   Return: 63.1    Time: 0:06:16
Num steps: 220000   Return: 279.8   Time: 0:06:35
Num steps: 230000   Return: 181.8   Time: 0:06:53
Num steps: 240000   Return: 311.6   Time: 0:07:10
Num steps: 250000   Return: 256.4   Time: 0:07:28
