Logging started at 20250427-1450
NVIDIA RTX A6000
Process ID: 1807460
Env: StickInsect-v4, experts/StickInsect_states.pt, experts/StickInsect_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 1e-06, lr_critic: 1e-06, lr_disc: 1e-06
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (5208, 47), actions: (5208, 18)
Expert data states: (5207, 47), actions: (5207, 18)
Expert buffer size: 5207
Initial state shape: (47,)
Num steps: 10000    Return: 947.1   Time: 0:00:13
Num steps: 20000    Return: 979.3   Time: 0:00:27
Num steps: 30000    Return: 939.3   Time: 0:00:40
Num steps: 40000    Return: 923.5   Time: 0:00:53
Num steps: 50000    Return: 946.2   Time: 0:01:06
Num steps: 60000    Return: 1029.2   Time: 0:01:19
Num steps: 70000    Return: 928.7   Time: 0:01:32
Num steps: 80000    Return: 1006.2   Time: 0:01:46
Num steps: 90000    Return: 1007.5   Time: 0:01:59
Num steps: 100000   Return: 1145.3   Time: 0:02:12
Num steps: 110000   Return: 1022.1   Time: 0:02:24
Num steps: 120000   Return: 937.8   Time: 0:02:37
Num steps: 130000   Return: 1034.3   Time: 0:02:51
Num steps: 140000   Return: 968.6   Time: 0:03:04
Num steps: 150000   Return: 973.3   Time: 0:03:18
Num steps: 160000   Return: 959.4   Time: 0:03:31
Num steps: 170000   Return: 962.2   Time: 0:03:44
Num steps: 180000   Return: 1039.4   Time: 0:03:57
Num steps: 190000   Return: 1006.9   Time: 0:04:11
Num steps: 200000   Return: 1019.5   Time: 0:04:24
Num steps: 210000   Return: 1009.1   Time: 0:04:38
Num steps: 220000   Return: 986.2   Time: 0:04:50
Num steps: 230000   Return: 1021.0   Time: 0:05:03
Num steps: 240000   Return: 1004.2   Time: 0:05:16
Num steps: 250000   Return: 1000.2   Time: 0:05:29
Num steps: 260000   Return: 995.8   Time: 0:05:43
Num steps: 270000   Return: 1000.9   Time: 0:05:57
Num steps: 280000   Return: 963.4   Time: 0:06:10
Num steps: 290000   Return: 984.1   Time: 0:06:23
Num steps: 300000   Return: 938.9   Time: 0:06:35
Num steps: 310000   Return: 1006.8   Time: 0:06:48
Num steps: 320000   Return: 969.4   Time: 0:07:02
Num steps: 330000   Return: 1032.5   Time: 0:07:15
Num steps: 340000   Return: 1043.1   Time: 0:07:28
Num steps: 350000   Return: 999.2   Time: 0:07:41
Num steps: 360000   Return: 1022.9   Time: 0:07:54
Num steps: 370000   Return: 1004.6   Time: 0:08:07
Num steps: 380000   Return: 1003.6   Time: 0:08:20
Num steps: 390000   Return: 997.3   Time: 0:08:33
Num steps: 400000   Return: 992.6   Time: 0:08:46
Num steps: 410000   Return: 960.5   Time: 0:08:58
Num steps: 420000   Return: 1077.7   Time: 0:09:11
Num steps: 430000   Return: 1046.8   Time: 0:09:25
Num steps: 440000   Return: 994.3   Time: 0:09:38
Num steps: 450000   Return: 968.3   Time: 0:09:51
Num steps: 460000   Return: 985.2   Time: 0:10:04
Num steps: 470000   Return: 1003.7   Time: 0:10:17
Num steps: 480000   Return: 965.5   Time: 0:10:29
Num steps: 490000   Return: 1008.7   Time: 0:10:42
Num steps: 500000   Return: 959.5   Time: 0:10:55
Num steps: 510000   Return: 1011.4   Time: 0:11:08
Num steps: 520000   Return: 1009.7   Time: 0:11:21
Num steps: 530000   Return: 1039.0   Time: 0:11:33
Num steps: 540000   Return: 1013.3   Time: 0:11:46
Num steps: 550000   Return: 999.2   Time: 0:12:00
Num steps: 560000   Return: 924.6   Time: 0:12:13
Num steps: 570000   Return: 985.4   Time: 0:12:26
Num steps: 580000   Return: 987.7   Time: 0:12:39
Num steps: 590000   Return: 1047.2   Time: 0:12:53
Num steps: 600000   Return: 1067.4   Time: 0:13:06
Num steps: 610000   Return: 1005.8   Time: 0:13:19
Num steps: 620000   Return: 984.0   Time: 0:13:32
Num steps: 630000   Return: 901.6   Time: 0:13:45
Num steps: 640000   Return: 1003.3   Time: 0:13:58
Num steps: 650000   Return: 1064.5   Time: 0:14:11
Num steps: 660000   Return: 1011.1   Time: 0:14:24
Num steps: 670000   Return: 989.0   Time: 0:14:37
Num steps: 680000   Return: 996.8   Time: 0:14:51
Num steps: 690000   Return: 1049.5   Time: 0:15:04
Num steps: 700000   Return: 1013.8   Time: 0:15:17
Num steps: 710000   Return: 994.9   Time: 0:15:30
Num steps: 720000   Return: 1029.4   Time: 0:15:44
Num steps: 730000   Return: 967.0   Time: 0:15:57
Num steps: 740000   Return: 846.1   Time: 0:16:10
Num steps: 750000   Return: 1001.9   Time: 0:16:23
Num steps: 760000   Return: 931.2   Time: 0:16:35
Num steps: 770000   Return: 1008.2   Time: 0:16:49
Num steps: 780000   Return: 1005.6   Time: 0:17:02
Num steps: 790000   Return: 985.3   Time: 0:17:15
Num steps: 800000   Return: 1021.0   Time: 0:17:28
Num steps: 810000   Return: 1004.9   Time: 0:17:41
Num steps: 820000   Return: 1006.7   Time: 0:17:55
Num steps: 830000   Return: 991.3   Time: 0:18:08
Num steps: 840000   Return: 1004.6   Time: 0:18:21
Num steps: 850000   Return: 987.1   Time: 0:18:34
Num steps: 860000   Return: 1100.7   Time: 0:18:47
Num steps: 870000   Return: 1047.2   Time: 0:19:01
Num steps: 880000   Return: 988.5   Time: 0:19:14
Num steps: 890000   Return: 1034.1   Time: 0:19:27
Num steps: 900000   Return: 991.0   Time: 0:19:40
Num steps: 910000   Return: 1004.0   Time: 0:19:53
Num steps: 920000   Return: 1010.5   Time: 0:20:06
Num steps: 930000   Return: 1013.7   Time: 0:20:19
Num steps: 940000   Return: 1035.4   Time: 0:20:32
Num steps: 950000   Return: 914.4   Time: 0:20:45
Num steps: 960000   Return: 1060.9   Time: 0:20:58
Num steps: 970000   Return: 1017.8   Time: 0:21:12
Num steps: 980000   Return: 998.9   Time: 0:21:25
Num steps: 990000   Return: 989.7   Time: 0:21:38
Num steps: 1000000   Return: 1036.5   Time: 0:21:51
Num steps: 1010000   Return: 1026.7   Time: 0:22:04
Num steps: 1020000   Return: 993.9   Time: 0:22:17
Num steps: 1030000   Return: 1008.7   Time: 0:22:30
Num steps: 1040000   Return: 1027.6   Time: 0:22:43
Num steps: 1050000   Return: 1018.1   Time: 0:22:57
Num steps: 1060000   Return: 955.3   Time: 0:23:10
Num steps: 1070000   Return: 1065.9   Time: 0:23:23
Num steps: 1080000   Return: 1013.5   Time: 0:23:37
Num steps: 1090000   Return: 1119.3   Time: 0:23:50
Num steps: 1100000   Return: 996.3   Time: 0:24:03
Num steps: 1110000   Return: 990.0   Time: 0:24:15
Num steps: 1120000   Return: 1030.0   Time: 0:24:28
Num steps: 1130000   Return: 1012.6   Time: 0:24:41
Num steps: 1140000   Return: 839.4   Time: 0:24:54
Num steps: 1150000   Return: 1056.4   Time: 0:25:07
Num steps: 1160000   Return: 977.6   Time: 0:25:19
Num steps: 1170000   Return: 1028.8   Time: 0:25:32
Num steps: 1180000   Return: 965.3   Time: 0:25:45
Num steps: 1190000   Return: 1068.7   Time: 0:25:58
Num steps: 1200000   Return: 990.7   Time: 0:26:11
Num steps: 1210000   Return: 1003.7   Time: 0:26:24
Num steps: 1220000   Return: 1001.1   Time: 0:26:37
Num steps: 1230000   Return: 995.2   Time: 0:26:50
Num steps: 1240000   Return: 965.4   Time: 0:27:03
Num steps: 1250000   Return: 967.5   Time: 0:27:16
Num steps: 1260000   Return: 1012.3   Time: 0:27:30
Num steps: 1270000   Return: 981.4   Time: 0:27:43
Num steps: 1280000   Return: 980.3   Time: 0:27:56
Num steps: 1290000   Return: 1050.8   Time: 0:28:09
Num steps: 1300000   Return: 1055.7   Time: 0:28:22
Num steps: 1310000   Return: 1006.4   Time: 0:28:35
Num steps: 1320000   Return: 973.4   Time: 0:28:48
Num steps: 1330000   Return: 1049.7   Time: 0:29:01
Num steps: 1340000   Return: 1045.5   Time: 0:29:14
Num steps: 1350000   Return: 917.7   Time: 0:29:27
Num steps: 1360000   Return: 980.6   Time: 0:29:39
Num steps: 1370000   Return: 1001.2   Time: 0:29:52
Num steps: 1380000   Return: 980.8   Time: 0:30:05
Num steps: 1390000   Return: 977.6   Time: 0:30:18
Num steps: 1400000   Return: 1010.4   Time: 0:30:31
Num steps: 1410000   Return: 1028.8   Time: 0:30:44
Num steps: 1420000   Return: 982.9   Time: 0:30:58
Num steps: 1430000   Return: 973.2   Time: 0:31:11
Num steps: 1440000   Return: 1016.1   Time: 0:31:24
Num steps: 1450000   Return: 824.0   Time: 0:31:36
Num steps: 1460000   Return: 1005.8   Time: 0:31:49
Num steps: 1470000   Return: 960.5   Time: 0:32:02
Num steps: 1480000   Return: 969.3   Time: 0:32:15
Num steps: 1490000   Return: 994.8   Time: 0:32:29
Num steps: 1500000   Return: 960.6   Time: 0:32:41
Num steps: 1510000   Return: 1028.5   Time: 0:32:54
Num steps: 1520000   Return: 1002.4   Time: 0:33:08
Num steps: 1530000   Return: 985.9   Time: 0:33:21
Num steps: 1540000   Return: 1036.7   Time: 0:33:35
Num steps: 1550000   Return: 972.5   Time: 0:33:48
Num steps: 1560000   Return: 1045.0   Time: 0:34:01
Num steps: 1570000   Return: 962.4   Time: 0:34:14
Num steps: 1580000   Return: 1110.7   Time: 0:34:27
Num steps: 1590000   Return: 1085.9   Time: 0:34:40
Num steps: 1600000   Return: 953.4   Time: 0:34:53
Num steps: 1610000   Return: 1039.3   Time: 0:35:07
Num steps: 1620000   Return: 1018.8   Time: 0:35:20
Num steps: 1630000   Return: 1032.6   Time: 0:35:33
Num steps: 1640000   Return: 1093.8   Time: 0:35:47
Num steps: 1650000   Return: 960.5   Time: 0:36:00
Num steps: 1660000   Return: 1007.5   Time: 0:36:13
Num steps: 1670000   Return: 979.5   Time: 0:36:26
Num steps: 1680000   Return: 849.2   Time: 0:36:39
Num steps: 1690000   Return: 1035.6   Time: 0:36:53
Num steps: 1700000   Return: 1009.5   Time: 0:37:06
Num steps: 1710000   Return: 972.6   Time: 0:37:19
Num steps: 1720000   Return: 967.2   Time: 0:37:32
Num steps: 1730000   Return: 993.4   Time: 0:37:45
Num steps: 1740000   Return: 943.2   Time: 0:37:58
Num steps: 1750000   Return: 967.1   Time: 0:38:11
Num steps: 1760000   Return: 981.6   Time: 0:38:24
Num steps: 1770000   Return: 1001.6   Time: 0:38:37
Num steps: 1780000   Return: 1000.8   Time: 0:38:50
Num steps: 1790000   Return: 1041.1   Time: 0:39:03
Num steps: 1800000   Return: 1006.7   Time: 0:39:16
Num steps: 1810000   Return: 1056.9   Time: 0:39:30
Num steps: 1820000   Return: 1000.6   Time: 0:39:43
Num steps: 1830000   Return: 1009.1   Time: 0:39:56
Num steps: 1840000   Return: 1030.1   Time: 0:40:09
Num steps: 1850000   Return: 973.1   Time: 0:40:22
Num steps: 1860000   Return: 981.4   Time: 0:40:35
Num steps: 1870000   Return: 799.8   Time: 0:40:48
Num steps: 1880000   Return: 967.8   Time: 0:41:01
Num steps: 1890000   Return: 1033.5   Time: 0:41:13
Num steps: 1900000   Return: 949.9   Time: 0:41:27
Num steps: 1910000   Return: 1021.1   Time: 0:41:40
Num steps: 1920000   Return: 1061.5   Time: 0:41:53
Num steps: 1930000   Return: 973.6   Time: 0:42:06
Num steps: 1940000   Return: 1001.4   Time: 0:42:19
Num steps: 1950000   Return: 998.2   Time: 0:42:32
Num steps: 1960000   Return: 898.6   Time: 0:42:46
Num steps: 1970000   Return: 978.3   Time: 0:42:59
Num steps: 1980000   Return: 1005.3   Time: 0:43:13
Num steps: 1990000   Return: 1032.9   Time: 0:43:26
Num steps: 2000000   Return: 978.0   Time: 0:43:39
Models saved to logs/StickInsect-v4/airl/20250427-1450/model
