Logging started at 20250428-1525
NVIDIA RTX A6000
Process ID: 1917905
Env: StickInsect-v4, experts/StickInsect_states.pt, experts/StickInsect_actions.pt, Seed: 0
Rollout length: 3000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (5208, 47), actions: (5208, 18)
Expert data states: (5207, 47), actions: (5207, 18)
Expert buffer size: 5207
Initial state shape: (47,)
Num steps: 10000    Return: 2732.4   Time: 0:00:20
Num steps: 20000    Return: 3006.9   Time: 0:00:41
Num steps: 30000    Return: 2897.6   Time: 0:01:08
Num steps: 40000    Return: 3153.0   Time: 0:01:34
Num steps: 50000    Return: 3038.3   Time: 0:02:00
Num steps: 60000    Return: 2992.6   Time: 0:02:27
Num steps: 70000    Return: 3117.0   Time: 0:02:53
Num steps: 80000    Return: 3005.6   Time: 0:03:19
Num steps: 90000    Return: 3044.9   Time: 0:03:46
Num steps: 100000   Return: 3056.1   Time: 0:04:12
Num steps: 110000   Return: 3012.0   Time: 0:04:39
Num steps: 120000   Return: 3046.6   Time: 0:05:06
Num steps: 130000   Return: 2984.4   Time: 0:05:32
Num steps: 140000   Return: 2999.4   Time: 0:05:59
Num steps: 150000   Return: 3015.0   Time: 0:06:27
Num steps: 160000   Return: 2934.8   Time: 0:06:53
Num steps: 170000   Return: 3052.0   Time: 0:07:20
Num steps: 180000   Return: 2952.8   Time: 0:07:47
Num steps: 190000   Return: 2974.6   Time: 0:08:13
Num steps: 200000   Return: 3053.6   Time: 0:08:40
Num steps: 210000   Return: 2959.5   Time: 0:09:07
Num steps: 220000   Return: 3007.0   Time: 0:09:34
Num steps: 230000   Return: 3014.0   Time: 0:10:00
Num steps: 240000   Return: 3012.0   Time: 0:10:27
Num steps: 250000   Return: 2416.7   Time: 0:10:52
Num steps: 260000   Return: 2963.5   Time: 0:11:19
Num steps: 270000   Return: 2959.6   Time: 0:11:46
Num steps: 280000   Return: 2967.2   Time: 0:12:13
Num steps: 290000   Return: 2971.3   Time: 0:12:40
Num steps: 300000   Return: 3034.7   Time: 0:13:07
Num steps: 310000   Return: 3103.2   Time: 0:13:34
Num steps: 320000   Return: 1924.8   Time: 0:13:56
Num steps: 330000   Return: 3079.0   Time: 0:14:23
Num steps: 340000   Return: 3098.9   Time: 0:14:50
Num steps: 350000   Return: 3198.4   Time: 0:15:16
Num steps: 360000   Return: 3135.3   Time: 0:15:43
Num steps: 370000   Return: 3057.9   Time: 0:16:10
Num steps: 380000   Return: 3040.0   Time: 0:16:36
Num steps: 390000   Return: 2992.8   Time: 0:17:02
Num steps: 400000   Return: 2934.0   Time: 0:17:29
Num steps: 410000   Return: 2933.4   Time: 0:17:54
Num steps: 420000   Return: 2950.4   Time: 0:18:21
Num steps: 430000   Return: 2852.3   Time: 0:18:46
Num steps: 440000   Return: 2909.6   Time: 0:19:12
Num steps: 450000   Return: 2943.1   Time: 0:19:38
