Logging started at 20250428-1541
NVIDIA RTX A6000
Process ID: 1924924
Env: StickInsect-v4, experts/StickInsect_states_v1.pt, experts/StickInsect_actions_v1.pt, Seed: 0
Rollout length: 3000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (2749, 47), actions: (2749, 18)
Expert data states: (2748, 47), actions: (2748, 18)
Expert buffer size: 2748
Initial state shape: (47,)
Num steps: 10000    Return: -343.2   Time: 0:00:15
Num steps: 20000    Return: -559.5   Time: 0:00:29
Num steps: 30000    Return: 515.3   Time: 0:00:43
Num steps: 40000    Return: 443.9   Time: 0:01:01
Num steps: 50000    Return: 1044.2   Time: 0:01:21
Num steps: 60000    Return: 1581.7   Time: 0:01:41
Num steps: 70000    Return: 1565.9   Time: 0:02:00
Num steps: 80000    Return: 918.9   Time: 0:02:20
Num steps: 90000    Return: 663.1   Time: 0:02:40
Num steps: 100000   Return: -198.1   Time: 0:02:59
Num steps: 110000   Return: -1627.0   Time: 0:03:18
Num steps: 120000   Return: -3140.1   Time: 0:03:38
Num steps: 130000   Return: -2148.5   Time: 0:03:56
Num steps: 140000   Return: -3666.6   Time: 0:04:15
Num steps: 150000   Return: -3412.6   Time: 0:04:35
Num steps: 160000   Return: -4041.7   Time: 0:04:54
Num steps: 170000   Return: -4043.5   Time: 0:05:14
Num steps: 180000   Return: -3634.1   Time: 0:05:34
Num steps: 190000   Return: -4052.1   Time: 0:05:53
Num steps: 200000   Return: -3444.0   Time: 0:06:13
Num steps: 210000   Return: -4467.3   Time: 0:06:33
Num steps: 220000   Return: -3739.4   Time: 0:06:51
Num steps: 230000   Return: -5265.4   Time: 0:07:11
Num steps: 240000   Return: -3917.7   Time: 0:07:29
Num steps: 250000   Return: -5116.7   Time: 0:07:49
Num steps: 260000   Return: -5390.9   Time: 0:08:08
Num steps: 270000   Return: -2618.5   Time: 0:08:25
Num steps: 280000   Return: -4836.5   Time: 0:08:45
Num steps: 290000   Return: -3433.2   Time: 0:09:04
Num steps: 300000   Return: -2923.6   Time: 0:09:50
Num steps: 310000   Return: -5767.1   Time: 0:10:26
Num steps: 320000   Return: -6413.6   Time: 0:10:44
Num steps: 330000   Return: -13365.6   Time: 0:11:07
Num steps: 340000   Return: -12365.6   Time: 0:11:29
Num steps: 350000   Return: -14422.3   Time: 0:11:51
Num steps: 360000   Return: -12565.7   Time: 0:12:11
Num steps: 370000   Return: -13371.2   Time: 0:12:33
Num steps: 380000   Return: -13279.3   Time: 0:12:54
Num steps: 390000   Return: -14692.1   Time: 0:13:16
Num steps: 400000   Return: -15326.5   Time: 0:13:41
Num steps: 410000   Return: -18467.4   Time: 0:14:02
Num steps: 420000   Return: -22350.8   Time: 0:14:25
Num steps: 430000   Return: -22087.1   Time: 0:14:48
Num steps: 440000   Return: -22117.4   Time: 0:15:09
Num steps: 450000   Return: -24003.8   Time: 0:15:33
Num steps: 460000   Return: -21391.6   Time: 0:15:57
Num steps: 470000   Return: -20268.0   Time: 0:16:20
Num steps: 480000   Return: -17056.8   Time: 0:16:42
Num steps: 490000   Return: -22146.1   Time: 0:17:03
Num steps: 500000   Return: -23057.7   Time: 0:17:26
Num steps: 510000   Return: -18046.5   Time: 0:17:46
Num steps: 520000   Return: -21277.6   Time: 0:18:10
Num steps: 530000   Return: -17528.7   Time: 0:18:32
Num steps: 540000   Return: -17163.3   Time: 0:18:54
Num steps: 550000   Return: -18382.8   Time: 0:19:14
Num steps: 560000   Return: -15292.1   Time: 0:19:34
Num steps: 570000   Return: -13768.8   Time: 0:19:54
Num steps: 580000   Return: -15192.0   Time: 0:20:16
Num steps: 590000   Return: -14630.3   Time: 0:20:37
Num steps: 600000   Return: -13674.4   Time: 0:20:58
Num steps: 610000   Return: -11382.8   Time: 0:21:19
Num steps: 620000   Return: -10201.1   Time: 0:21:39
Num steps: 630000   Return: -8415.7   Time: 0:22:00
Num steps: 640000   Return: -8815.2   Time: 0:22:20
Num steps: 650000   Return: -8624.1   Time: 0:22:41
Num steps: 660000   Return: -9586.5   Time: 0:23:03
Num steps: 670000   Return: -11967.5   Time: 0:23:24
Num steps: 680000   Return: -13640.4   Time: 0:23:44
Num steps: 690000   Return: -11922.0   Time: 0:24:05
Num steps: 700000   Return: -17743.8   Time: 0:24:27
Num steps: 710000   Return: -19487.5   Time: 0:24:49
Num steps: 720000   Return: -17901.4   Time: 0:25:08
Num steps: 730000   Return: -22562.3   Time: 0:25:29
Num steps: 740000   Return: -25594.7   Time: 0:25:50
Num steps: 750000   Return: -18872.6   Time: 0:26:12
Num steps: 760000   Return: -25231.2   Time: 0:26:34
Num steps: 770000   Return: -20005.9   Time: 0:26:54
Num steps: 780000   Return: -19743.6   Time: 0:27:14
Num steps: 790000   Return: -25956.8   Time: 0:27:35
Num steps: 800000   Return: -26180.6   Time: 0:27:56
Num steps: 810000   Return: -26000.1   Time: 0:28:19
Num steps: 820000   Return: -26957.9   Time: 0:28:41
