Logging started at 20250515-1210
NVIDIA RTX A6000
Process ID: 3040228
Env: StickInsect-v4, experts/StickInsect_states_v1.pt, experts/StickInsect_actions_v1.pt, Seed: 0
Rollout length: 3000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (2749, 47), actions: (2749, 18)
Expert data states: (2748, 47), actions: (2748, 18)
Expert buffer size: 2748
Initial state shape: (47,)
Num steps: 10000    Return: 3021.1   Time: 0:00:16
Num steps: 20000    Return: 3057.3   Time: 0:00:31
Num steps: 30000    Return: 2535.8   Time: 0:00:46
Num steps: 40000    Return: 3028.1   Time: 0:01:02
Num steps: 50000    Return: 2987.8   Time: 0:01:18
Num steps: 60000    Return: 2987.9   Time: 0:01:34
Num steps: 70000    Return: 2963.9   Time: 0:01:50
Num steps: 80000    Return: 2481.5   Time: 0:02:04
Num steps: 90000    Return: 2970.7   Time: 0:02:20
Num steps: 100000   Return: 3032.0   Time: 0:02:35
Num steps: 110000   Return: 2987.9   Time: 0:02:51
Num steps: 120000   Return: 3107.3   Time: 0:03:07
Num steps: 130000   Return: 2999.9   Time: 0:03:23
Num steps: 140000   Return: 2976.7   Time: 0:03:38
Num steps: 150000   Return: 3005.4   Time: 0:03:54
Num steps: 160000   Return: 3032.2   Time: 0:04:10
Num steps: 170000   Return: 2971.5   Time: 0:04:25
Num steps: 180000   Return: 2979.2   Time: 0:04:42
Num steps: 190000   Return: 3027.6   Time: 0:04:57
Num steps: 200000   Return: 3052.2   Time: 0:05:12
Num steps: 210000   Return: 2476.2   Time: 0:05:27
Num steps: 220000   Return: 3042.2   Time: 0:05:43
Num steps: 230000   Return: 3029.6   Time: 0:05:58
Num steps: 240000   Return: 2999.0   Time: 0:06:15
Num steps: 250000   Return: 3041.6   Time: 0:06:30
Num steps: 260000   Return: 3026.3   Time: 0:06:46
Num steps: 270000   Return: 2979.6   Time: 0:07:02
Num steps: 280000   Return: 2983.1   Time: 0:07:17
Num steps: 290000   Return: 2999.9   Time: 0:07:33
Num steps: 300000   Return: 3002.0   Time: 0:07:49
Num steps: 310000   Return: 2987.6   Time: 0:08:05
Num steps: 320000   Return: 2995.8   Time: 0:08:20
Num steps: 330000   Return: 2445.2   Time: 0:08:35
Num steps: 340000   Return: 2973.1   Time: 0:08:51
Num steps: 350000   Return: 2983.5   Time: 0:09:06
Num steps: 360000   Return: 3034.9   Time: 0:09:22
Num steps: 370000   Return: 3000.2   Time: 0:09:38
Num steps: 380000   Return: 3017.9   Time: 0:09:54
Num steps: 390000   Return: 3010.6   Time: 0:10:10
Num steps: 400000   Return: 3037.5   Time: 0:10:25
Num steps: 410000   Return: 3000.4   Time: 0:10:41
Num steps: 420000   Return: 3004.4   Time: 0:10:57
Num steps: 430000   Return: 3016.5   Time: 0:11:13
Num steps: 440000   Return: 2981.5   Time: 0:11:29
Num steps: 450000   Return: 3049.2   Time: 0:11:45
Num steps: 460000   Return: 3032.4   Time: 0:12:00
Num steps: 470000   Return: 3000.7   Time: 0:12:16
Num steps: 480000   Return: 3013.5   Time: 0:12:32
Num steps: 490000   Return: 3008.4   Time: 0:12:47
Num steps: 500000   Return: 2965.4   Time: 0:13:02
Num steps: 510000   Return: 3040.3   Time: 0:13:18
Num steps: 520000   Return: 3049.4   Time: 0:13:34
Num steps: 530000   Return: 3026.4   Time: 0:13:50
Num steps: 540000   Return: 3036.7   Time: 0:14:06
Num steps: 550000   Return: 2980.1   Time: 0:14:22
Num steps: 560000   Return: 2999.6   Time: 0:14:37
Num steps: 570000   Return: 3013.6   Time: 0:14:53
Num steps: 580000   Return: 2985.4   Time: 0:15:09
Num steps: 590000   Return: 2979.6   Time: 0:15:24
Num steps: 600000   Return: 2975.9   Time: 0:15:41
Num steps: 610000   Return: 2971.8   Time: 0:15:56
Num steps: 620000   Return: 3001.9   Time: 0:16:12
Num steps: 630000   Return: 2976.7   Time: 0:16:28
Num steps: 640000   Return: 2995.8   Time: 0:16:43
Num steps: 650000   Return: 3041.3   Time: 0:16:59
Num steps: 660000   Return: 3015.5   Time: 0:17:15
Num steps: 670000   Return: 2973.2   Time: 0:17:31
Num steps: 680000   Return: 3011.8   Time: 0:17:47
Num steps: 690000   Return: 2974.6   Time: 0:18:03
Num steps: 700000   Return: 2421.0   Time: 0:18:17
Num steps: 710000   Return: 3034.7   Time: 0:18:33
Num steps: 720000   Return: 3083.2   Time: 0:18:49
Num steps: 730000   Return: 3104.0   Time: 0:19:05
Num steps: 740000   Return: 3036.4   Time: 0:19:20
Num steps: 750000   Return: 3048.9   Time: 0:19:36
Num steps: 760000   Return: 2990.0   Time: 0:19:52
Num steps: 770000   Return: 2495.2   Time: 0:20:06
Num steps: 780000   Return: 3033.4   Time: 0:20:22
Num steps: 790000   Return: 3009.3   Time: 0:20:38
Num steps: 800000   Return: 3000.8   Time: 0:20:54
Num steps: 810000   Return: 2975.5   Time: 0:21:09
Num steps: 820000   Return: 3013.9   Time: 0:21:25
Num steps: 830000   Return: 3055.1   Time: 0:21:41
Num steps: 840000   Return: 3004.9   Time: 0:21:57
Num steps: 850000   Return: 2999.8   Time: 0:22:13
Num steps: 860000   Return: 2504.2   Time: 0:22:28
Num steps: 870000   Return: 3029.3   Time: 0:22:44
Num steps: 880000   Return: 2420.7   Time: 0:22:58
Num steps: 890000   Return: 3077.8   Time: 0:23:14
Num steps: 900000   Return: 3000.9   Time: 0:23:31
Num steps: 910000   Return: 3042.8   Time: 0:23:46
Num steps: 920000   Return: 3079.0   Time: 0:24:02
Num steps: 930000   Return: 3026.8   Time: 0:24:18
Num steps: 940000   Return: 3022.6   Time: 0:24:34
Num steps: 950000   Return: 3035.9   Time: 0:24:49
Num steps: 960000   Return: 2992.2   Time: 0:25:06
Num steps: 970000   Return: 3086.9   Time: 0:25:21
Num steps: 980000   Return: 3032.1   Time: 0:25:37
Num steps: 990000   Return: 3018.9   Time: 0:25:53
Num steps: 1000000   Return: 2996.0   Time: 0:26:08
Num steps: 1010000   Return: 2967.3   Time: 0:26:24
Num steps: 1020000   Return: 2553.0   Time: 0:26:39
Num steps: 1030000   Return: 3011.9   Time: 0:26:55
Num steps: 1040000   Return: 3041.6   Time: 0:27:10
Num steps: 1050000   Return: 3020.4   Time: 0:27:26
Num steps: 1060000   Return: 2988.3   Time: 0:27:42
Num steps: 1070000   Return: 3132.4   Time: 0:27:57
Num steps: 1080000   Return: 3086.1   Time: 0:28:13
Num steps: 1090000   Return: 3049.5   Time: 0:28:29
Num steps: 1100000   Return: 3029.5   Time: 0:28:44
Num steps: 1110000   Return: 3024.3   Time: 0:29:00
Num steps: 1120000   Return: 3040.7   Time: 0:29:16
Num steps: 1130000   Return: 3050.2   Time: 0:29:32
Num steps: 1140000   Return: 2991.2   Time: 0:29:48
Num steps: 1150000   Return: 3067.3   Time: 0:30:03
Num steps: 1160000   Return: 3014.2   Time: 0:30:19
Num steps: 1170000   Return: 2983.6   Time: 0:30:35
Num steps: 1180000   Return: 3023.4   Time: 0:30:51
Num steps: 1190000   Return: 2980.5   Time: 0:31:06
Num steps: 1200000   Return: 3026.6   Time: 0:31:22
Num steps: 1210000   Return: 3024.9   Time: 0:31:38
Num steps: 1220000   Return: 3041.6   Time: 0:31:54
Num steps: 1230000   Return: 2462.1   Time: 0:32:08
Num steps: 1240000   Return: 3011.5   Time: 0:32:24
Num steps: 1250000   Return: 2978.7   Time: 0:32:40
Num steps: 1260000   Return: 3036.1   Time: 0:32:56
Num steps: 1270000   Return: 2981.8   Time: 0:33:11
Num steps: 1280000   Return: 3008.1   Time: 0:33:27
Num steps: 1290000   Return: 2985.0   Time: 0:33:43
Num steps: 1300000   Return: 3022.8   Time: 0:33:58
Num steps: 1310000   Return: 2989.4   Time: 0:34:14
Num steps: 1320000   Return: 2990.9   Time: 0:34:30
Num steps: 1330000   Return: 3023.6   Time: 0:34:46
Num steps: 1340000   Return: 3043.6   Time: 0:35:01
Num steps: 1350000   Return: 3117.6   Time: 0:35:17
Num steps: 1360000   Return: 3100.4   Time: 0:35:33
Num steps: 1370000   Return: 3000.3   Time: 0:35:49
Num steps: 1380000   Return: 3005.9   Time: 0:36:05
Num steps: 1390000   Return: 3007.4   Time: 0:36:20
Num steps: 1400000   Return: 3070.8   Time: 0:36:36
Num steps: 1410000   Return: 3005.8   Time: 0:36:52
Num steps: 1420000   Return: 3100.5   Time: 0:37:08
Num steps: 1430000   Return: 3079.2   Time: 0:37:23
Num steps: 1440000   Return: 3103.5   Time: 0:37:39
Num steps: 1450000   Return: 3006.4   Time: 0:37:55
Num steps: 1460000   Return: 3027.5   Time: 0:38:11
