Logging started at 20250522-1443
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
NVIDIA GeForce RTX 4060 Laptop GPU
Process ID: 22941
Env: StickInsect-v4, experts/StickInsect_states_v1.pt, experts/StickInsect_actions_v1.pt, Seed: 0
Rollout length: 3000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 5e-05, lr_critic: 5e-05, lr_disc: 0.0003
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.05, Max Grad Norm: 10.0
Load data states: (2749, 47), actions: (2749, 18)
Expert data states: (2748, 47), actions: (2748, 18)
normalized expert action high: 0.44243812561035156
normalized expert action low: -0.3417970836162567
Expert buffer size: 2748
State shape: (47,), Action shape: (18,)
Input dimension: 65
Initial state shape: (47,)
Num steps: 10000    Return: 1860.6   Time: 0:00:08
Num steps: 20000    Return: 2343.4   Time: 0:00:16
Num steps: 30000    Return: 3544.0   Time: 0:00:25
Num steps: 40000    Return: 3126.1   Time: 0:00:34
Num steps: 50000    Return: 3125.2   Time: 0:00:42
Num steps: 60000    Return: 3106.1   Time: 0:00:51
Num steps: 70000    Return: 3067.1   Time: 0:01:00
Num steps: 80000    Return: 3581.2   Time: 0:01:08
Num steps: 90000    Return: 2972.6   Time: 0:01:17
Num steps: 100000   Return: 2949.8   Time: 0:01:26
Num steps: 110000   Return: 2970.2   Time: 0:01:34
Num steps: 120000   Return: 3181.2   Time: 0:01:43
Num steps: 130000   Return: 3013.1   Time: 0:01:52
Num steps: 140000   Return: 3142.5   Time: 0:02:00
Num steps: 150000   Return: 2678.6   Time: 0:02:09
Num steps: 160000   Return: 2775.6   Time: 0:02:18
Num steps: 170000   Return: 3086.6   Time: 0:02:26
Num steps: 180000   Return: 3094.9   Time: 0:02:35
Num steps: 190000   Return: 2453.0   Time: 0:02:43
Num steps: 200000   Return: 2857.5   Time: 0:02:51
Num steps: 210000   Return: 3041.9   Time: 0:03:00
Num steps: 220000   Return: 2612.0   Time: 0:03:09
Num steps: 230000   Return: 2840.3   Time: 0:03:17
Num steps: 240000   Return: 2232.6   Time: 0:03:26
Num steps: 250000   Return: 3371.0   Time: 0:03:34
Num steps: 260000   Return: 3023.2   Time: 0:03:43
Num steps: 270000   Return: 3203.6   Time: 0:03:52
Num steps: 280000   Return: 3758.1   Time: 0:04:00
Num steps: 290000   Return: 2747.2   Time: 0:04:08
Num steps: 300000   Return: 3181.6   Time: 0:04:17
Num steps: 310000   Return: 2887.0   Time: 0:04:26
Num steps: 320000   Return: 4560.3   Time: 0:04:34
Num steps: 330000   Return: 2761.6   Time: 0:04:43
Num steps: 340000   Return: 2896.4   Time: 0:04:51
Num steps: 350000   Return: 2994.0   Time: 0:04:59
Num steps: 360000   Return: 3649.8   Time: 0:05:08
Num steps: 370000   Return: 2906.9   Time: 0:05:16
Num steps: 380000   Return: 3009.5   Time: 0:05:24
Num steps: 390000   Return: 3514.2   Time: 0:05:32
Num steps: 400000   Return: 2748.4   Time: 0:05:40
Num steps: 410000   Return: 3384.1   Time: 0:05:48
Num steps: 420000   Return: 3063.7   Time: 0:05:57
Num steps: 430000   Return: 3588.5   Time: 0:06:05
Num steps: 440000   Return: 2946.6   Time: 0:06:13
Num steps: 450000   Return: 2963.1   Time: 0:06:21
Num steps: 460000   Return: 2987.5   Time: 0:06:30
