Logging started at 20250522-1641
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
NVIDIA RTX A6000
Process ID: 77547
Env: StickInsect-v4, experts/StickInsect_states_v1.pt, experts/StickInsect_actions_v1.pt, Seed: 0
Rollout length: 3000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 5e-05, lr_critic: 5e-05, lr_disc: 0.0003
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.05, Max Grad Norm: 10.0
Load data states: (2749, 47), actions: (2749, 18)
Expert data states: (2748, 47), actions: (2748, 18)
normalized expert action high: 0.44243812561035156
normalized expert action low: -0.3417970836162567
Expert buffer size: 2748
State shape: (47,), Action shape: (18,)
Input dimension: 65
Initial state shape: (47,)
Num steps: 10000    Return: 2918.1   Time: 0:00:22
Num steps: 20000    Return: 2659.3   Time: 0:00:45
Num steps: 30000    Return: 2984.4   Time: 0:01:08
Num steps: 40000    Return: 3226.0   Time: 0:01:31
Num steps: 50000    Return: 2920.7   Time: 0:01:53
Num steps: 60000    Return: 3615.2   Time: 0:02:17
Num steps: 70000    Return: 3111.6   Time: 0:02:46
Num steps: 80000    Return: 3288.9   Time: 0:03:15
Num steps: 90000    Return: 2606.2   Time: 0:03:45
Num steps: 100000   Return: 2653.8   Time: 0:04:14
Num steps: 110000   Return: 3094.3   Time: 0:04:43
Num steps: 120000   Return: 3000.0   Time: 0:05:13
Num steps: 130000   Return: 2415.9   Time: 0:05:41
Num steps: 140000   Return: 3836.9   Time: 0:06:11
Num steps: 150000   Return: 3200.5   Time: 0:06:41
Num steps: 160000   Return: 3674.9   Time: 0:07:13
Num steps: 170000   Return: 3336.1   Time: 0:07:45
Num steps: 180000   Return: 3119.2   Time: 0:08:15
Num steps: 190000   Return: 3841.1   Time: 0:08:45
Num steps: 200000   Return: 3689.3   Time: 0:09:15
Num steps: 210000   Return: 2773.1   Time: 0:09:44
Num steps: 220000   Return: 3069.6   Time: 0:10:14
Num steps: 230000   Return: 3068.0   Time: 0:10:45
Num steps: 240000   Return: 2814.5   Time: 0:11:15
Num steps: 250000   Return: 3018.3   Time: 0:11:43
Num steps: 260000   Return: 3185.3   Time: 0:12:13
Num steps: 270000   Return: 2898.6   Time: 0:12:44
Num steps: 280000   Return: 2876.0   Time: 0:13:14
Num steps: 290000   Return: 3581.0   Time: 0:13:45
Num steps: 300000   Return: 2778.2   Time: 0:14:15
Num steps: 310000   Return: 4488.3   Time: 0:14:46
Num steps: 320000   Return: 3281.4   Time: 0:15:16
Num steps: 330000   Return: 2995.8   Time: 0:15:46
Num steps: 340000   Return: 4058.1   Time: 0:16:15
Num steps: 350000   Return: 2952.6   Time: 0:16:45
Num steps: 360000   Return: 3534.9   Time: 0:17:15
Num steps: 370000   Return: 2574.7   Time: 0:17:45
Num steps: 380000   Return: 2926.8   Time: 0:18:15
