Logging started at 20250522-1644
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
NVIDIA RTX A6000
Process ID: 82116
Env: StickInsect-v4, experts/StickInsect_states_v1.pt, experts/StickInsect_actions_v1.pt, Seed: 0
Rollout length: 3000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.05, Max Grad Norm: 10.0
Load data states: (2749, 47), actions: (2749, 18)
Expert data states: (2748, 47), actions: (2748, 18)
normalized expert action high: 0.44243812561035156
normalized expert action low: -0.3417970836162567
Expert buffer size: 2748
State shape: (47,), Action shape: (18,)
Input dimension: 65
Initial state shape: (47,)
Num steps: 10000    Return: 3103.4   Time: 0:00:29
Num steps: 20000    Return: 2877.8   Time: 0:00:59
Num steps: 30000    Return: 3106.0   Time: 0:01:29
Num steps: 40000    Return: 2951.5   Time: 0:01:58
Num steps: 50000    Return: 3712.5   Time: 0:02:28
Num steps: 60000    Return: 3193.0   Time: 0:02:59
Num steps: 70000    Return: 2258.3   Time: 0:03:29
Num steps: 80000    Return: 2977.2   Time: 0:03:59
Num steps: 90000    Return: 3402.5   Time: 0:04:30
Num steps: 100000   Return: 2683.3   Time: 0:05:01
Num steps: 110000   Return: 3598.3   Time: 0:05:32
Num steps: 120000   Return: 3423.7   Time: 0:06:03
Num steps: 130000   Return: 2813.7   Time: 0:06:33
Num steps: 140000   Return: 2611.5   Time: 0:07:01
Num steps: 150000   Return: 2733.1   Time: 0:07:31
Num steps: 160000   Return: 2812.2   Time: 0:08:01
Num steps: 170000   Return: 3270.0   Time: 0:08:31
Num steps: 180000   Return: 2800.7   Time: 0:09:02
Num steps: 190000   Return: 2984.4   Time: 0:09:30
Num steps: 200000   Return: 3026.4   Time: 0:10:00
Num steps: 210000   Return: 2856.5   Time: 0:10:31
Num steps: 220000   Return: 2710.8   Time: 0:11:01
Num steps: 230000   Return: 3188.4   Time: 0:11:31
Num steps: 240000   Return: 2773.5   Time: 0:12:00
Num steps: 250000   Return: 4099.1   Time: 0:12:31
Num steps: 260000   Return: 2875.5   Time: 0:13:01
Num steps: 270000   Return: 2660.9   Time: 0:13:32
Num steps: 280000   Return: 3248.2   Time: 0:14:01
Num steps: 290000   Return: 2955.5   Time: 0:14:31
Num steps: 300000   Return: 3091.8   Time: 0:15:02
Num steps: 310000   Return: 2995.2   Time: 0:15:32
Num steps: 320000   Return: 2967.2   Time: 0:16:02
Num steps: 330000   Return: 3521.8   Time: 0:16:33
Num steps: 340000   Return: 3242.9   Time: 0:17:03
Num steps: 350000   Return: 2387.5   Time: 0:17:31
Num steps: 360000   Return: 3220.6   Time: 0:18:01
Num steps: 370000   Return: 3162.6   Time: 0:18:29
Num steps: 380000   Return: 2844.4   Time: 0:19:00
Num steps: 390000   Return: 3608.4   Time: 0:19:31
Num steps: 400000   Return: 3214.4   Time: 0:20:00
Num steps: 410000   Return: 2874.2   Time: 0:20:30
Num steps: 420000   Return: 3696.4   Time: 0:21:01
Num steps: 430000   Return: 2869.1   Time: 0:21:31
Num steps: 440000   Return: 3042.9   Time: 0:22:00
Num steps: 450000   Return: 3020.1   Time: 0:22:31
Num steps: 460000   Return: 3197.8   Time: 0:23:01
Num steps: 470000   Return: 2874.6   Time: 0:23:31
Num steps: 480000   Return: 2826.2   Time: 0:24:01
Num steps: 490000   Return: 3135.1   Time: 0:24:32
Num steps: 500000   Return: 3176.7   Time: 0:25:02
Num steps: 510000   Return: 3379.5   Time: 0:25:33
Num steps: 520000   Return: 2941.9   Time: 0:26:03
Num steps: 530000   Return: 3044.4   Time: 0:26:32
Num steps: 540000   Return: 3320.1   Time: 0:27:03
Num steps: 550000   Return: 3319.4   Time: 0:27:32
Num steps: 560000   Return: 3126.4   Time: 0:28:02
Num steps: 570000   Return: 2755.1   Time: 0:28:32
Num steps: 580000   Return: 3238.2   Time: 0:29:03
Num steps: 590000   Return: 3393.2   Time: 0:29:32
Num steps: 600000   Return: 3480.7   Time: 0:30:03
Num steps: 610000   Return: 3059.3   Time: 0:30:33
Num steps: 620000   Return: 2947.5   Time: 0:31:03
Num steps: 630000   Return: 2862.2   Time: 0:31:33
Num steps: 640000   Return: 2709.1   Time: 0:32:03
Num steps: 650000   Return: 2974.7   Time: 0:32:33
Num steps: 660000   Return: 2889.6   Time: 0:33:04
Num steps: 670000   Return: 3569.1   Time: 0:33:34
Num steps: 680000   Return: 3291.8   Time: 0:34:04
Num steps: 690000   Return: 3069.2   Time: 0:34:35
Num steps: 700000   Return: 3690.3   Time: 0:35:05
Num steps: 710000   Return: 3621.9   Time: 0:35:34
Num steps: 720000   Return: 4308.5   Time: 0:36:05
Num steps: 730000   Return: 3478.3   Time: 0:36:35
Num steps: 740000   Return: 3208.8   Time: 0:37:06
Num steps: 750000   Return: 2996.4   Time: 0:37:35
Num steps: 760000   Return: 3730.3   Time: 0:38:05
Num steps: 770000   Return: 3421.9   Time: 0:38:35
Num steps: 780000   Return: 2987.0   Time: 0:39:06
Num steps: 790000   Return: 2736.6   Time: 0:39:35
Num steps: 800000   Return: 3836.0   Time: 0:40:06
Num steps: 810000   Return: 2337.8   Time: 0:40:32
Num steps: 820000   Return: 3125.4   Time: 0:41:02
Num steps: 830000   Return: 3520.4   Time: 0:41:31
Num steps: 840000   Return: 3588.2   Time: 0:42:03
Num steps: 850000   Return: 4168.2   Time: 0:42:33
Num steps: 860000   Return: 3136.9   Time: 0:43:03
Num steps: 870000   Return: 2807.8   Time: 0:43:33
Num steps: 880000   Return: 3496.2   Time: 0:44:04
Num steps: 890000   Return: 2820.6   Time: 0:44:34
Num steps: 900000   Return: 3097.7   Time: 0:45:04
Num steps: 910000   Return: 3229.9   Time: 0:45:33
Num steps: 920000   Return: 2759.8   Time: 0:46:05
Num steps: 930000   Return: 2490.2   Time: 0:46:34
Num steps: 940000   Return: 3283.2   Time: 0:47:04
Num steps: 950000   Return: 2693.6   Time: 0:47:33
Num steps: 960000   Return: 2970.6   Time: 0:48:04
Num steps: 970000   Return: 3067.5   Time: 0:48:35
Num steps: 980000   Return: 3356.1   Time: 0:49:04
Num steps: 990000   Return: 2840.5   Time: 0:49:34
Num steps: 1000000   Return: 3054.7   Time: 0:50:05
Num steps: 1010000   Return: 3358.0   Time: 0:50:35
Num steps: 1020000   Return: 3103.7   Time: 0:51:05
Num steps: 1030000   Return: 2866.0   Time: 0:51:36
Num steps: 1040000   Return: 2835.7   Time: 0:52:06
Num steps: 1050000   Return: 2971.0   Time: 0:52:36
Num steps: 1060000   Return: 3420.2   Time: 0:53:06
Num steps: 1070000   Return: 3408.4   Time: 0:53:36
Num steps: 1080000   Return: 2945.6   Time: 0:54:07
Num steps: 1090000   Return: 3117.2   Time: 0:54:37
Num steps: 1100000   Return: 3636.0   Time: 0:55:05
Num steps: 1110000   Return: 3434.7   Time: 0:55:36
Num steps: 1120000   Return: 3007.3   Time: 0:56:06
Num steps: 1130000   Return: 3179.5   Time: 0:56:36
Num steps: 1140000   Return: 2984.4   Time: 0:57:05
Num steps: 1150000   Return: 3540.5   Time: 0:57:36
Num steps: 1160000   Return: 2855.5   Time: 0:58:06
Num steps: 1170000   Return: 2979.7   Time: 0:58:37
Num steps: 1180000   Return: 2882.7   Time: 0:59:06
Num steps: 1190000   Return: 3107.3   Time: 0:59:36
Num steps: 1200000   Return: 3317.4   Time: 1:00:07
Num steps: 1210000   Return: 3708.7   Time: 1:00:36
Num steps: 1220000   Return: 3434.7   Time: 1:01:06
Num steps: 1230000   Return: 3127.4   Time: 1:01:37
Num steps: 1240000   Return: 2974.5   Time: 1:02:06
Num steps: 1250000   Return: 2970.0   Time: 1:02:36
Num steps: 1260000   Return: 3608.9   Time: 1:03:07
Num steps: 1270000   Return: 3396.6   Time: 1:03:37
Num steps: 1280000   Return: 2897.8   Time: 1:04:07
Num steps: 1290000   Return: 2746.7   Time: 1:04:36
Num steps: 1300000   Return: 3161.3   Time: 1:05:06
Num steps: 1310000   Return: 3440.9   Time: 1:05:36
Num steps: 1320000   Return: 3554.4   Time: 1:06:07
Num steps: 1330000   Return: 3293.2   Time: 1:06:36
Num steps: 1340000   Return: 3745.1   Time: 1:07:06
Num steps: 1350000   Return: 2948.0   Time: 1:07:37
Num steps: 1360000   Return: 3214.3   Time: 1:08:06
Num steps: 1370000   Return: 2887.6   Time: 1:08:36
Num steps: 1380000   Return: 3189.3   Time: 1:09:06
Num steps: 1390000   Return: 3050.7   Time: 1:09:36
Num steps: 1400000   Return: 3123.6   Time: 1:10:05
Num steps: 1410000   Return: 3095.7   Time: 1:10:36
Num steps: 1420000   Return: 3428.6   Time: 1:11:06
Num steps: 1430000   Return: 2888.9   Time: 1:11:37
Num steps: 1440000   Return: 3181.9   Time: 1:12:07
Num steps: 1450000   Return: 3045.4   Time: 1:12:37
Num steps: 1460000   Return: 2943.0   Time: 1:13:07
Num steps: 1470000   Return: 3410.1   Time: 1:13:38
Num steps: 1480000   Return: 3225.6   Time: 1:14:07
Num steps: 1490000   Return: 2795.4   Time: 1:14:37
Num steps: 1500000   Return: 3563.8   Time: 1:15:08
Num steps: 1510000   Return: 2645.6   Time: 1:15:37
Num steps: 1520000   Return: 3048.9   Time: 1:16:08
Num steps: 1530000   Return: 3337.8   Time: 1:16:39
Num steps: 1540000   Return: 2754.1   Time: 1:17:10
Num steps: 1550000   Return: 2947.3   Time: 1:17:40
Num steps: 1560000   Return: 3240.4   Time: 1:18:10
Num steps: 1570000   Return: 3514.1   Time: 1:18:41
Num steps: 1580000   Return: 3207.3   Time: 1:19:11
Num steps: 1590000   Return: 2941.5   Time: 1:19:41
Num steps: 1600000   Return: 3238.0   Time: 1:20:11
Num steps: 1610000   Return: 3065.7   Time: 1:20:41
Num steps: 1620000   Return: 2740.0   Time: 1:21:11
Num steps: 1630000   Return: 2731.5   Time: 1:21:41
Num steps: 1640000   Return: 2786.0   Time: 1:22:11
Num steps: 1650000   Return: 3245.6   Time: 1:22:42
Num steps: 1660000   Return: 2800.9   Time: 1:23:13
Num steps: 1670000   Return: 3206.1   Time: 1:23:41
Num steps: 1680000   Return: 3240.3   Time: 1:24:12
Num steps: 1690000   Return: 2941.6   Time: 1:24:42
Num steps: 1700000   Return: 3088.7   Time: 1:25:13
Num steps: 1710000   Return: 3098.0   Time: 1:25:42
Num steps: 1720000   Return: 3303.2   Time: 1:26:12
Num steps: 1730000   Return: 3173.4   Time: 1:26:43
Num steps: 1740000   Return: 4206.4   Time: 1:27:14
Num steps: 1750000   Return: 3264.0   Time: 1:27:43
Num steps: 1760000   Return: 3030.0   Time: 1:28:13
Num steps: 1770000   Return: 3052.8   Time: 1:28:44
Num steps: 1780000   Return: 3642.5   Time: 1:29:15
Num steps: 1790000   Return: 3545.2   Time: 1:29:44
Num steps: 1800000   Return: 3422.7   Time: 1:30:15
Num steps: 1810000   Return: 3125.1   Time: 1:30:45
Num steps: 1820000   Return: 2918.1   Time: 1:31:16
Num steps: 1830000   Return: 2524.4   Time: 1:31:44
Num steps: 1840000   Return: 3016.8   Time: 1:32:15
Num steps: 1850000   Return: 3428.7   Time: 1:32:45
Num steps: 1860000   Return: 3558.4   Time: 1:33:15
Num steps: 1870000   Return: 2931.5   Time: 1:33:45
Num steps: 1880000   Return: 2728.1   Time: 1:34:16
Num steps: 1890000   Return: 3288.4   Time: 1:34:46
Num steps: 1900000   Return: 3134.8   Time: 1:35:16
Num steps: 1910000   Return: 2533.4   Time: 1:35:44
Num steps: 1920000   Return: 3400.6   Time: 1:36:14
Num steps: 1930000   Return: 3092.1   Time: 1:36:39
Num steps: 1940000   Return: 2724.9   Time: 1:37:01
Num steps: 1950000   Return: 4112.3   Time: 1:37:23
Num steps: 1960000   Return: 3329.9   Time: 1:37:45
Num steps: 1970000   Return: 3493.4   Time: 1:38:07
Num steps: 1980000   Return: 3080.4   Time: 1:38:30
Num steps: 1990000   Return: 3323.2   Time: 1:38:52
Num steps: 2000000   Return: 2890.5   Time: 1:39:14
Models saved to logs/StickInsect-v4/gail/20250522-1644/model
