Logging started at 20250527-1325
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
NVIDIA RTX A6000
Process ID: 1233664
Env: StickInsect-v4, experts/StickInsect_states_v1u2.pt, experts/StickInsect_actions_v1u2.pt, Seed: 0
Rollout length: 3000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.05, Max Grad Norm: 10.0
Load data states: (688, 47), actions: (688, 18)
Expert data states: (687, 47), actions: (687, 18)
normalized expert action high: 0.5587616562843323
normalized expert action low: -0.5598832368850708
Expert buffer size: 687
Initial state shape: (47,)
Num steps: 10000    Return: 2738.4   Time: 0:00:14
Num steps: 20000    Return: 2868.8   Time: 0:00:27
Num steps: 30000    Return: 2850.6   Time: 0:00:41
Num steps: 40000    Return: 2929.2   Time: 0:00:54
Num steps: 50000    Return: 2995.9   Time: 0:01:10
Num steps: 60000    Return: 2956.1   Time: 0:01:30
Num steps: 70000    Return: 2745.6   Time: 0:01:49
Num steps: 80000    Return: 2998.7   Time: 0:02:08
Num steps: 90000    Return: 2855.1   Time: 0:02:28
Num steps: 100000   Return: 2859.0   Time: 0:02:47
Num steps: 110000   Return: 2809.8   Time: 0:03:07
Num steps: 120000   Return: 2940.6   Time: 0:03:26
Num steps: 130000   Return: 2856.1   Time: 0:03:45
Num steps: 140000   Return: 2975.2   Time: 0:04:05
Num steps: 150000   Return: 2944.7   Time: 0:04:24
Num steps: 160000   Return: 3093.9   Time: 0:04:44
Num steps: 170000   Return: 2835.5   Time: 0:05:03
Num steps: 180000   Return: 2956.4   Time: 0:05:23
Num steps: 190000   Return: 2887.7   Time: 0:05:41
Num steps: 200000   Return: 2975.1   Time: 0:06:01
Num steps: 210000   Return: 2911.4   Time: 0:06:20
Num steps: 220000   Return: 2938.7   Time: 0:06:40
Num steps: 230000   Return: 2955.0   Time: 0:06:59
Num steps: 240000   Return: 3040.9   Time: 0:07:18
Num steps: 250000   Return: 3044.2   Time: 0:07:37
Num steps: 260000   Return: 2896.2   Time: 0:07:57
Num steps: 270000   Return: 2954.3   Time: 0:08:16
Num steps: 280000   Return: 2981.1   Time: 0:08:36
Num steps: 290000   Return: 2939.3   Time: 0:08:55
Num steps: 300000   Return: 2921.5   Time: 0:09:14
Num steps: 310000   Return: 3006.5   Time: 0:09:34
Num steps: 320000   Return: 3004.5   Time: 0:09:53
Num steps: 330000   Return: 2970.6   Time: 0:10:12
Num steps: 340000   Return: 2977.1   Time: 0:10:31
Num steps: 350000   Return: 2954.8   Time: 0:10:50
Num steps: 360000   Return: 2988.4   Time: 0:11:10
Num steps: 370000   Return: 2967.5   Time: 0:11:28
