Logging started at 20250527-1326
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
NVIDIA RTX A6000
Process ID: 1234242
Env: StickInsect-v4, experts/StickInsect_states_v1u2.pt, experts/StickInsect_actions_v1u2.pt, Seed: 0
Rollout length: 3000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 5e-05, lr_critic: 5e-05, lr_disc: 5e-05
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.05, Max Grad Norm: 10.0
Load data states: (688, 47), actions: (688, 18)
Expert data states: (687, 47), actions: (687, 18)
normalized expert action high: 0.5587616562843323
normalized expert action low: -0.5598832368850708
Expert buffer size: 687
Initial state shape: (47,)
Num steps: 10000    Return: 1862.0   Time: 0:00:20
Num steps: 20000    Return: 2636.3   Time: 0:00:39
Num steps: 30000    Return: 2703.5   Time: 0:00:59
Num steps: 40000    Return: 2939.4   Time: 0:01:19
Num steps: 50000    Return: 2914.8   Time: 0:01:38
Num steps: 60000    Return: 2827.4   Time: 0:01:57
Num steps: 70000    Return: 2815.4   Time: 0:02:16
Num steps: 80000    Return: 2823.3   Time: 0:02:36
Num steps: 90000    Return: 2911.7   Time: 0:02:55
Num steps: 100000   Return: 2742.9   Time: 0:03:15
Num steps: 110000   Return: 2815.5   Time: 0:03:34
Num steps: 120000   Return: 2983.4   Time: 0:03:53
Num steps: 130000   Return: 2860.7   Time: 0:04:12
Num steps: 140000   Return: 2997.8   Time: 0:04:32
Num steps: 150000   Return: 2822.3   Time: 0:04:51
Num steps: 160000   Return: 2944.3   Time: 0:05:10
Num steps: 170000   Return: 2899.2   Time: 0:05:29
Num steps: 180000   Return: 2846.9   Time: 0:05:49
Num steps: 190000   Return: 2912.3   Time: 0:06:08
Num steps: 200000   Return: 2906.8   Time: 0:06:27
Num steps: 210000   Return: 3001.0   Time: 0:06:46
Num steps: 220000   Return: 2851.8   Time: 0:07:05
Num steps: 230000   Return: 2813.6   Time: 0:07:24
Num steps: 240000   Return: 2934.9   Time: 0:07:44
Num steps: 250000   Return: 3028.2   Time: 0:08:03
Num steps: 260000   Return: 2904.0   Time: 0:08:22
Num steps: 270000   Return: 2924.4   Time: 0:08:41
Num steps: 280000   Return: 2979.9   Time: 0:09:01
Num steps: 290000   Return: 3021.7   Time: 0:09:20
Num steps: 300000   Return: 2974.7   Time: 0:09:40
Num steps: 310000   Return: 2917.5   Time: 0:09:59
Num steps: 320000   Return: 2961.0   Time: 0:10:18
Num steps: 330000   Return: 3048.1   Time: 0:10:37
Num steps: 340000   Return: 3053.2   Time: 0:10:57
Num steps: 350000   Return: 2930.5   Time: 0:11:16
Num steps: 360000   Return: 2939.7   Time: 0:11:35
Num steps: 370000   Return: 3020.8   Time: 0:11:54
