Logging started at 20250428-1533
NVIDIA RTX A6000
Process ID: 1921236
Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
NumExpr defaulting to 8 threads.
Initial state shape: (47,)
Num steps: 10000    Return: 1981.3   Time: 0:00:16
Num steps: 20000    Return: -15360.7   Time: 0:02:16
Num steps: 30000    Return: -10169.2   Time: 0:04:06
Num steps: 40000    Return: -16939.9   Time: 0:05:54
Num steps: 50000    Return: -10822.0   Time: 0:07:41
Num steps: 60000    Return: -19574.4   Time: 0:09:24
Num steps: 70000    Return: -9526.9   Time: 0:11:02
Num steps: 80000    Return: -23458.0   Time: 0:12:42
Num steps: 90000    Return: -8717.7   Time: 0:14:21
Num steps: 100000   Return: -7741.4   Time: 0:16:00
Num steps: 110000   Return: -31227.0   Time: 0:17:56
Num steps: 120000   Return: -9483.8   Time: 0:20:10
Num steps: 130000   Return: -11854.3   Time: 0:22:08
Num steps: 140000   Return: -18677.3   Time: 0:24:04
Num steps: 150000   Return: -10724.4   Time: 0:26:04
Num steps: 160000   Return: -4267.5   Time: 0:28:04
Num steps: 170000   Return: -11753.7   Time: 0:30:03
Num steps: 180000   Return: -21677.9   Time: 0:32:01
Num steps: 190000   Return: -4969.3   Time: 0:34:00
Num steps: 200000   Return: -14425.1   Time: 0:36:03
Num steps: 210000   Return: -6309.6   Time: 0:38:00
Num steps: 220000   Return: -13975.4   Time: 0:39:59
Num steps: 230000   Return: -3659.1   Time: 0:41:54
Num steps: 240000   Return: -14514.8   Time: 0:43:57
Num steps: 250000   Return: -22630.5   Time: 0:45:58
Num steps: 260000   Return: -18471.5   Time: 0:48:00
Num steps: 270000   Return: -14497.6   Time: 0:50:01
Num steps: 280000   Return: -9381.9   Time: 0:51:41
Num steps: 290000   Return: -13792.0   Time: 0:53:24
Num steps: 300000   Return: -10059.2   Time: 0:55:05
Num steps: 310000   Return: -18154.7   Time: 0:57:24
Num steps: 320000   Return: -16233.2   Time: 0:59:30
Num steps: 330000   Return: -26884.6   Time: 1:01:39
Num steps: 340000   Return: -7172.9   Time: 1:04:08
Num steps: 350000   Return: -8616.0   Time: 1:06:12
Num steps: 360000   Return: -3778.7   Time: 1:08:16
Num steps: 370000   Return: -10880.1   Time: 1:10:24
Num steps: 380000   Return: -9324.4   Time: 1:12:33
Num steps: 390000   Return: -4410.5   Time: 1:14:32
Num steps: 400000   Return: -7777.0   Time: 1:16:32
Num steps: 410000   Return: -3689.5   Time: 1:18:28
Num steps: 420000   Return: -848.3   Time: 1:20:27
Num steps: 430000   Return: -6709.1   Time: 1:22:22
Num steps: 440000   Return: -7784.6   Time: 1:24:10
Num steps: 450000   Return: -6511.4   Time: 1:26:03
Num steps: 460000   Return: -10820.1   Time: 1:27:52
Num steps: 470000   Return: -10393.4   Time: 1:29:43
Num steps: 480000   Return: -8543.3   Time: 1:31:29
Num steps: 490000   Return: -10167.9   Time: 1:33:20
Num steps: 500000   Return: -15673.6   Time: 1:35:09
Num steps: 510000   Return: -8071.5   Time: 1:36:58
Num steps: 520000   Return: -18409.7   Time: 1:38:49
Num steps: 530000   Return: -5019.7   Time: 1:40:51
Num steps: 540000   Return: -3278.0   Time: 1:42:44
Num steps: 550000   Return: -10595.1   Time: 1:44:40
Num steps: 560000   Return: -5590.2   Time: 1:46:33
Num steps: 570000   Return: -11839.2   Time: 1:48:28
Num steps: 580000   Return: -633.3   Time: 1:50:18
Num steps: 590000   Return: -6720.4   Time: 1:52:15
Num steps: 600000   Return: -9367.6   Time: 1:54:11
Num steps: 610000   Return: -9754.7   Time: 1:56:06
Num steps: 620000   Return: -3644.8   Time: 1:57:50
Num steps: 630000   Return: -2082.8   Time: 1:59:27
Num steps: 640000   Return: -16416.9   Time: 2:01:02
Num steps: 650000   Return: -11353.6   Time: 2:02:44
Num steps: 660000   Return: -5657.3   Time: 2:04:25
