Logging started at 20250429-1149
NVIDIA RTX A6000
Process ID: 2700160
Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
NumExpr defaulting to 8 threads.
Initial state shape: (47,)
Num steps: 10000    Return: -4211.1   Time: 0:00:24
Num steps: 20000    Return: -56925.2   Time: 0:02:36
Num steps: 30000    Return: -2960.6   Time: 0:04:42
Num steps: 40000    Return: -6521.6   Time: 0:06:54
Num steps: 50000    Return: 16306.0   Time: 0:08:39
Num steps: 60000    Return: -8582.7   Time: 0:10:40
Num steps: 70000    Return: -494.6   Time: 0:12:50
Num steps: 80000    Return: 24972.4   Time: 0:15:02
Num steps: 90000    Return: -28245.2   Time: 0:17:03
Num steps: 100000   Return: -149705.6   Time: 0:19:16
Num steps: 110000   Return: 8847.5   Time: 0:21:26
Num steps: 120000   Return: -34242.4   Time: 0:23:39
Num steps: 130000   Return: -96128.1   Time: 0:25:50
Num steps: 140000   Return: -6161.1   Time: 0:27:52
Num steps: 150000   Return: 23318.8   Time: 0:29:53
Num steps: 160000   Return: -13596.5   Time: 0:31:57
Num steps: 170000   Return: -11715.7   Time: 0:34:10
Num steps: 180000   Return: -21871.8   Time: 0:36:14
Num steps: 190000   Return: 54452.7   Time: 0:38:18
Num steps: 200000   Return: -22138.4   Time: 0:40:14
Num steps: 210000   Return: 20124.3   Time: 0:42:20
Num steps: 220000   Return: -2892.5   Time: 0:43:58
Num steps: 230000   Return: 10733.0   Time: 0:45:44
Num steps: 240000   Return: 32241.8   Time: 0:47:39
Num steps: 250000   Return: 42202.8   Time: 0:49:43
Num steps: 260000   Return: 33519.9   Time: 0:51:29
Num steps: 270000   Return: -30862.4   Time: 0:53:28
Num steps: 280000   Return: 21652.2   Time: 0:55:12
Num steps: 290000   Return: -37665.0   Time: 0:56:55
Num steps: 300000   Return: 19280.5   Time: 0:58:40
Num steps: 310000   Return: 8266.1   Time: 1:00:25
Num steps: 320000   Return: -4384.3   Time: 1:02:20
Num steps: 330000   Return: -2356.3   Time: 1:04:19
