Logging started at 20250607-1518
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
NVIDIA RTX A6000
Process ID: 3787760
[BC Init] Loaded actor weights from weights/bc_sac_pretrained_actor.pth
Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
NumExpr defaulting to 8 threads.
Initial state shape: (47,)
Num steps: 10000    Return: -8457.7   Time: 0:00:04
Num steps: 20000    Return: -4480.0   Time: 0:02:07
Num steps: 30000    Return: -1263.2   Time: 0:04:08
Num steps: 40000    Return: -1916.5   Time: 0:05:58
Num steps: 50000    Return: -585.0   Time: 0:07:53
Num steps: 60000    Return: -4789.8   Time: 0:09:49
Num steps: 70000    Return: -448.9   Time: 0:11:47
Num steps: 80000    Return: -784.0   Time: 0:13:40
Num steps: 90000    Return: -540.2   Time: 0:15:38
Num steps: 100000   Return: -1050.2   Time: 0:17:36
Num steps: 110000   Return: -513.5   Time: 0:19:41
Num steps: 120000   Return: -965.3   Time: 0:21:42
Num steps: 130000   Return: -527.3   Time: 0:23:42
Num steps: 140000   Return: -289.3   Time: 0:25:40
Num steps: 150000   Return: -634.4   Time: 0:27:39
Num steps: 160000   Return: -244.8   Time: 0:29:41
Num steps: 170000   Return: 3092.1   Time: 0:31:43
Num steps: 180000   Return: 310.2   Time: 0:33:45
Num steps: 190000   Return: -37.5   Time: 0:35:45
Num steps: 200000   Return: -55.6   Time: 0:37:39
Num steps: 210000   Return: 416.1   Time: 0:39:41
Num steps: 220000   Return: -112.3   Time: 0:41:42
Num steps: 230000   Return: -186.3   Time: 0:43:42
Num steps: 240000   Return: -1670.6   Time: 0:45:46
Num steps: 250000   Return: -1503.3   Time: 0:47:48
Num steps: 260000   Return: 1327.6   Time: 0:49:48
Num steps: 270000   Return: 4476.6   Time: 0:51:51
Num steps: 280000   Return: 1196.8   Time: 0:53:54
Num steps: 290000   Return: 4597.1   Time: 0:55:56
Num steps: 300000   Return: 5109.5   Time: 0:57:57
Num steps: 310000   Return: 1402.0   Time: 1:00:00
Num steps: 320000   Return: 4270.1   Time: 1:02:02
Num steps: 330000   Return: 2288.7   Time: 1:04:02
Num steps: 340000   Return: 4404.1   Time: 1:06:03
Num steps: 350000   Return: 4173.4   Time: 1:07:59
Num steps: 360000   Return: 4001.2   Time: 1:10:02
Num steps: 370000   Return: 4334.5   Time: 1:11:51
Num steps: 380000   Return: 280.2   Time: 1:13:52
Num steps: 390000   Return: 6888.2   Time: 1:15:55
Num steps: 400000   Return: 10145.9   Time: 1:17:55
Num steps: 410000   Return: 2920.8   Time: 1:19:56
Num steps: 420000   Return: 6665.3   Time: 1:21:59
Num steps: 430000   Return: 6595.0   Time: 1:24:04
Num steps: 440000   Return: 7079.7   Time: 1:26:11
Num steps: 450000   Return: 2883.6   Time: 1:28:18
Num steps: 460000   Return: 4027.6   Time: 1:30:21
Num steps: 470000   Return: 2034.8   Time: 1:32:27
Num steps: 480000   Return: 8012.1   Time: 1:34:32
Num steps: 490000   Return: 8146.5   Time: 1:36:34
Num steps: 500000   Return: 14453.8   Time: 1:38:34
Num steps: 510000   Return: 7848.4   Time: 1:40:34
Num steps: 520000   Return: 8055.6   Time: 1:42:39
Num steps: 530000   Return: 4305.5   Time: 1:44:40
Num steps: 540000   Return: 10551.3   Time: 1:46:44
Num steps: 550000   Return: 3232.7   Time: 1:48:44
Num steps: 560000   Return: 6011.0   Time: 1:50:45
Num steps: 570000   Return: 3539.5   Time: 1:52:48
Num steps: 580000   Return: 7526.7   Time: 1:54:51
Num steps: 590000   Return: 11356.4   Time: 1:56:56
Num steps: 600000   Return: 5961.3   Time: 1:59:01
Num steps: 610000   Return: -2687.0   Time: 2:01:03
Num steps: 620000   Return: 14606.9   Time: 2:03:04
Num steps: 630000   Return: 6788.3   Time: 2:05:08
Num steps: 640000   Return: 20874.2   Time: 2:07:14
Num steps: 650000   Return: 4158.0   Time: 2:09:17
Num steps: 660000   Return: 4793.4   Time: 2:11:16
Num steps: 670000   Return: 6403.4   Time: 2:13:19
Num steps: 680000   Return: 8316.8   Time: 2:15:17
Num steps: 690000   Return: 14331.0   Time: 2:17:17
Num steps: 700000   Return: 7657.5   Time: 2:19:20
Num steps: 710000   Return: 12611.4   Time: 2:21:23
Num steps: 720000   Return: 6840.3   Time: 2:23:24
Num steps: 730000   Return: 21431.5   Time: 2:25:25
Num steps: 740000   Return: 23879.2   Time: 2:27:25
Num steps: 750000   Return: 6328.3   Time: 2:29:22
Num steps: 760000   Return: 6195.0   Time: 2:31:22
Num steps: 770000   Return: 17241.0   Time: 2:33:28
Num steps: 780000   Return: 12077.5   Time: 2:35:28
Num steps: 790000   Return: 17421.2   Time: 2:37:27
Num steps: 800000   Return: 14960.4   Time: 2:39:25
Num steps: 810000   Return: 9803.7   Time: 2:41:21
Num steps: 820000   Return: 21410.3   Time: 2:43:18
Num steps: 830000   Return: 38576.1   Time: 2:45:22
Num steps: 840000   Return: 9698.0   Time: 2:47:15
Num steps: 850000   Return: 7283.0   Time: 2:49:14
Num steps: 860000   Return: 6738.9   Time: 2:51:07
Num steps: 870000   Return: 11140.9   Time: 2:53:10
Num steps: 880000   Return: 35229.2   Time: 2:55:11
Num steps: 890000   Return: 12894.1   Time: 2:57:17
Num steps: 900000   Return: 22136.1   Time: 2:59:17
Num steps: 910000   Return: 4287.2   Time: 3:01:12
Num steps: 920000   Return: 14758.6   Time: 3:03:13
Num steps: 930000   Return: 16136.4   Time: 3:05:15
Num steps: 940000   Return: 23872.5   Time: 3:07:21
Num steps: 950000   Return: 13089.7   Time: 3:09:20
Num steps: 960000   Return: 4271.3   Time: 3:11:17
Num steps: 970000   Return: 36159.7   Time: 3:13:11
Num steps: 980000   Return: 27024.9   Time: 3:15:14
Num steps: 990000   Return: 19962.5   Time: 3:17:10
Num steps: 1000000   Return: 7367.0   Time: 3:19:07
