Logging started at 20250522-1649
NVIDIA RTX A6000
Process ID: 91274
Env: StickInsect-v5, experts/StickInsect_states_v3.pt, experts/StickInsect_actions_v3.pt, Seed: 0
Rollout length: 3000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.05, Max Grad Norm: 10.0
Load data states: (2749, 47), actions: (2749, 18)
Expert data states: (2748, 47), actions: (2748, 18)
Expert buffer size: 2748
State shape: (47,), Action shape: (18,)
Input dimension: 65
Initial state shape: (47,)
Num steps: 10000    Return: 2961.5   Time: 0:00:17
Num steps: 20000    Return: 2908.6   Time: 0:00:33
Num steps: 30000    Return: 2953.6   Time: 0:00:51
Num steps: 40000    Return: 3241.8   Time: 0:01:12
Num steps: 50000    Return: 2963.9   Time: 0:01:34
Num steps: 60000    Return: 2900.2   Time: 0:01:56
Num steps: 70000    Return: 2965.0   Time: 0:02:18
Num steps: 80000    Return: 2937.3   Time: 0:02:39
Num steps: 90000    Return: 3281.0   Time: 0:03:01
Num steps: 100000   Return: 3192.6   Time: 0:03:23
Num steps: 110000   Return: 2842.7   Time: 0:03:43
Num steps: 120000   Return: 3133.2   Time: 0:04:05
Num steps: 130000   Return: 2967.0   Time: 0:04:27
Num steps: 140000   Return: 3100.6   Time: 0:04:48
Num steps: 150000   Return: 2959.8   Time: 0:05:10
Num steps: 160000   Return: 2947.9   Time: 0:05:32
Num steps: 170000   Return: 3109.1   Time: 0:05:54
Num steps: 180000   Return: 3024.5   Time: 0:06:17
Num steps: 190000   Return: 3129.1   Time: 0:06:39
Num steps: 200000   Return: 2996.7   Time: 0:07:01
Num steps: 210000   Return: 3060.1   Time: 0:07:24
Num steps: 220000   Return: 2934.9   Time: 0:07:46
Num steps: 230000   Return: 3371.3   Time: 0:08:08
Num steps: 240000   Return: 2613.2   Time: 0:08:29
Num steps: 250000   Return: 3172.3   Time: 0:08:51
Num steps: 260000   Return: 3206.8   Time: 0:09:13
Num steps: 270000   Return: 3017.7   Time: 0:09:36
Num steps: 280000   Return: 2781.1   Time: 0:09:57
Num steps: 290000   Return: 3003.1   Time: 0:10:19
Num steps: 300000   Return: 3037.8   Time: 0:10:41
Num steps: 310000   Return: 2963.2   Time: 0:11:04
Num steps: 320000   Return: 2958.9   Time: 0:11:26
Num steps: 330000   Return: 2884.2   Time: 0:11:47
Num steps: 340000   Return: 2987.6   Time: 0:12:10
Num steps: 350000   Return: 3886.6   Time: 0:12:33
Num steps: 360000   Return: 3453.7   Time: 0:12:56
Num steps: 370000   Return: 3125.3   Time: 0:13:19
Num steps: 380000   Return: 3171.4   Time: 0:13:42
Num steps: 390000   Return: 2969.8   Time: 0:14:04
Num steps: 400000   Return: 2965.0   Time: 0:14:26
Num steps: 410000   Return: 2905.9   Time: 0:14:48
Num steps: 420000   Return: 3103.9   Time: 0:15:11
Num steps: 430000   Return: 3003.9   Time: 0:15:33
Num steps: 440000   Return: 2544.7   Time: 0:15:54
Num steps: 450000   Return: 2941.2   Time: 0:16:17
Num steps: 460000   Return: 3027.6   Time: 0:16:38
Num steps: 470000   Return: 3377.6   Time: 0:17:00
Num steps: 480000   Return: 2932.2   Time: 0:17:22
Num steps: 490000   Return: 3299.5   Time: 0:17:44
Num steps: 500000   Return: 2981.2   Time: 0:18:06
Num steps: 510000   Return: 3115.3   Time: 0:18:28
Num steps: 520000   Return: 3451.3   Time: 0:18:51
Num steps: 530000   Return: 2977.5   Time: 0:19:13
Num steps: 540000   Return: 2856.1   Time: 0:19:36
Num steps: 550000   Return: 2910.8   Time: 0:19:57
Num steps: 560000   Return: 2877.1   Time: 0:20:21
Num steps: 570000   Return: 3130.2   Time: 0:20:43
Num steps: 580000   Return: 3369.3   Time: 0:21:05
Num steps: 590000   Return: 3082.3   Time: 0:21:26
Num steps: 600000   Return: 3289.9   Time: 0:21:48
Num steps: 610000   Return: 2889.0   Time: 0:22:09
Num steps: 620000   Return: 3191.8   Time: 0:22:31
Num steps: 630000   Return: 3166.4   Time: 0:22:53
Num steps: 640000   Return: 2886.1   Time: 0:23:14
Num steps: 650000   Return: 3459.8   Time: 0:23:35
Num steps: 660000   Return: 3629.2   Time: 0:23:58
Num steps: 670000   Return: 3036.9   Time: 0:24:19
Num steps: 680000   Return: 2930.3   Time: 0:24:40
Num steps: 690000   Return: 3199.9   Time: 0:25:02
Num steps: 700000   Return: 2960.0   Time: 0:25:24
Num steps: 710000   Return: 3100.3   Time: 0:25:46
Num steps: 720000   Return: 3076.6   Time: 0:26:09
Num steps: 730000   Return: 3410.1   Time: 0:26:30
Num steps: 740000   Return: 2941.1   Time: 0:26:52
Num steps: 750000   Return: 3156.0   Time: 0:27:15
Num steps: 760000   Return: 2947.1   Time: 0:27:38
Num steps: 770000   Return: 3357.2   Time: 0:27:59
Num steps: 780000   Return: 3367.7   Time: 0:28:22
Num steps: 790000   Return: 3129.4   Time: 0:28:43
Num steps: 800000   Return: 3404.3   Time: 0:29:05
Num steps: 810000   Return: 3011.2   Time: 0:29:27
Num steps: 820000   Return: 3573.5   Time: 0:29:48
Num steps: 830000   Return: 2901.0   Time: 0:30:10
Num steps: 840000   Return: 2746.1   Time: 0:30:31
Num steps: 850000   Return: 2888.3   Time: 0:30:52
Num steps: 860000   Return: 3057.8   Time: 0:31:13
Num steps: 870000   Return: 3137.2   Time: 0:31:35
Num steps: 880000   Return: 3156.0   Time: 0:31:57
Num steps: 890000   Return: 3016.1   Time: 0:32:18
Num steps: 900000   Return: 2881.1   Time: 0:32:40
Num steps: 910000   Return: 2992.2   Time: 0:33:01
Num steps: 920000   Return: 3198.5   Time: 0:33:23
Num steps: 930000   Return: 3393.6   Time: 0:33:45
Num steps: 940000   Return: 2955.3   Time: 0:34:06
Num steps: 950000   Return: 3240.5   Time: 0:34:27
Num steps: 960000   Return: 3189.3   Time: 0:34:51
Num steps: 970000   Return: 3027.7   Time: 0:35:12
Num steps: 980000   Return: 2857.1   Time: 0:35:34
Num steps: 990000   Return: 2904.8   Time: 0:35:56
Num steps: 1000000   Return: 3254.3   Time: 0:36:17
Num steps: 1010000   Return: 3496.3   Time: 0:36:40
Num steps: 1020000   Return: 3352.1   Time: 0:37:02
Num steps: 1030000   Return: 3162.6   Time: 0:37:23
Num steps: 1040000   Return: 2598.2   Time: 0:37:43
Num steps: 1050000   Return: 2966.3   Time: 0:38:05
Num steps: 1060000   Return: 2665.8   Time: 0:38:25
Num steps: 1070000   Return: 2998.2   Time: 0:38:48
Num steps: 1080000   Return: 3359.9   Time: 0:39:09
Num steps: 1090000   Return: 2941.1   Time: 0:39:31
Num steps: 1100000   Return: 3228.0   Time: 0:39:52
Num steps: 1110000   Return: 3078.5   Time: 0:40:14
Num steps: 1120000   Return: 3322.6   Time: 0:40:38
Num steps: 1130000   Return: 2957.0   Time: 0:41:00
Num steps: 1140000   Return: 2957.4   Time: 0:41:22
Num steps: 1150000   Return: 3177.7   Time: 0:41:43
Num steps: 1160000   Return: 2929.0   Time: 0:42:05
Num steps: 1170000   Return: 3243.0   Time: 0:42:27
Num steps: 1180000   Return: 2785.3   Time: 0:42:47
Num steps: 1190000   Return: 2928.6   Time: 0:43:08
Num steps: 1200000   Return: 2586.7   Time: 0:43:29
Num steps: 1210000   Return: 3846.3   Time: 0:43:51
Num steps: 1220000   Return: 3118.5   Time: 0:44:11
Num steps: 1230000   Return: 2927.3   Time: 0:44:33
Num steps: 1240000   Return: 2945.9   Time: 0:44:55
Num steps: 1250000   Return: 3056.1   Time: 0:45:17
Num steps: 1260000   Return: 3073.1   Time: 0:45:39
Num steps: 1270000   Return: 3060.4   Time: 0:46:01
Num steps: 1280000   Return: 3250.6   Time: 0:46:22
Num steps: 1290000   Return: 3227.3   Time: 0:46:44
Num steps: 1300000   Return: 3214.9   Time: 0:47:06
Num steps: 1310000   Return: 3011.4   Time: 0:47:28
Num steps: 1320000   Return: 2975.8   Time: 0:47:50
Num steps: 1330000   Return: 3239.7   Time: 0:48:12
Num steps: 1340000   Return: 3246.3   Time: 0:48:33
Num steps: 1350000   Return: 3231.7   Time: 0:48:56
Num steps: 1360000   Return: 2949.0   Time: 0:49:17
Num steps: 1370000   Return: 2476.5   Time: 0:49:37
Num steps: 1380000   Return: 3285.7   Time: 0:50:00
Num steps: 1390000   Return: 2983.3   Time: 0:50:22
Num steps: 1400000   Return: 2914.4   Time: 0:50:43
Num steps: 1410000   Return: 2875.4   Time: 0:51:06
Num steps: 1420000   Return: 3075.6   Time: 0:51:28
Num steps: 1430000   Return: 3145.0   Time: 0:51:49
Num steps: 1440000   Return: 2589.6   Time: 0:52:10
Num steps: 1450000   Return: 2912.5   Time: 0:52:32
Num steps: 1460000   Return: 3230.9   Time: 0:52:53
Num steps: 1470000   Return: 2944.4   Time: 0:53:16
Num steps: 1480000   Return: 3290.8   Time: 0:53:37
Num steps: 1490000   Return: 2974.6   Time: 0:53:59
Num steps: 1500000   Return: 3311.5   Time: 0:54:21
Num steps: 1510000   Return: 2029.5   Time: 0:54:42
Num steps: 1520000   Return: 2941.9   Time: 0:55:03
Num steps: 1530000   Return: 3452.0   Time: 0:55:25
Num steps: 1540000   Return: 3242.6   Time: 0:55:47
Num steps: 1550000   Return: 3330.9   Time: 0:56:08
Num steps: 1560000   Return: 2999.6   Time: 0:56:30
Num steps: 1570000   Return: 2949.6   Time: 0:56:52
Num steps: 1580000   Return: 3037.6   Time: 0:57:14
Num steps: 1590000   Return: 2992.7   Time: 0:57:36
Num steps: 1600000   Return: 2956.5   Time: 0:57:57
Num steps: 1610000   Return: 3080.0   Time: 0:58:19
Num steps: 1620000   Return: 3050.5   Time: 0:58:41
Num steps: 1630000   Return: 3390.6   Time: 0:59:02
Num steps: 1640000   Return: 3302.1   Time: 0:59:24
Num steps: 1650000   Return: 3280.9   Time: 0:59:46
Num steps: 1660000   Return: 3050.3   Time: 1:00:07
Num steps: 1670000   Return: 2921.4   Time: 1:00:29
Num steps: 1680000   Return: 3392.9   Time: 1:00:50
Num steps: 1690000   Return: 3098.6   Time: 1:01:12
Num steps: 1700000   Return: 2496.3   Time: 1:01:32
Num steps: 1710000   Return: 3210.4   Time: 1:01:54
Num steps: 1720000   Return: 3146.4   Time: 1:02:15
Num steps: 1730000   Return: 3342.9   Time: 1:02:36
Num steps: 1740000   Return: 3154.2   Time: 1:02:58
Num steps: 1750000   Return: 2958.5   Time: 1:03:20
Num steps: 1760000   Return: 2806.4   Time: 1:03:41
Num steps: 1770000   Return: 3098.2   Time: 1:04:03
Num steps: 1780000   Return: 3310.5   Time: 1:04:25
Num steps: 1790000   Return: 3544.0   Time: 1:04:46
Num steps: 1800000   Return: 2946.3   Time: 1:05:09
Num steps: 1810000   Return: 3241.3   Time: 1:05:31
Num steps: 1820000   Return: 2940.7   Time: 1:05:53
Num steps: 1830000   Return: 3242.8   Time: 1:06:16
Num steps: 1840000   Return: 3444.5   Time: 1:06:38
Num steps: 1850000   Return: 3070.8   Time: 1:06:59
Num steps: 1860000   Return: 2917.5   Time: 1:07:22
Num steps: 1870000   Return: 3014.4   Time: 1:07:44
Num steps: 1880000   Return: 3053.5   Time: 1:08:06
Num steps: 1890000   Return: 3153.4   Time: 1:08:28
Num steps: 1900000   Return: 3053.9   Time: 1:08:50
Num steps: 1910000   Return: 2946.5   Time: 1:09:12
Num steps: 1920000   Return: 3014.4   Time: 1:09:34
Num steps: 1930000   Return: 3028.4   Time: 1:09:56
Num steps: 1940000   Return: 3108.9   Time: 1:10:18
Num steps: 1950000   Return: 3058.4   Time: 1:10:41
Num steps: 1960000   Return: 3545.7   Time: 1:11:06
Num steps: 1970000   Return: 3039.8   Time: 1:11:27
Num steps: 1980000   Return: 3138.4   Time: 1:11:50
Num steps: 1990000   Return: 3282.6   Time: 1:12:12
Num steps: 2000000   Return: 3058.0   Time: 1:12:34
Models saved to logs/StickInsect-v5/gail/20250522-1649/model
