Logging started at 20250522-1650
NVIDIA RTX A6000
Process ID: 92498
Env: StickInsect-v5, experts/StickInsect_states_v3u1.pt, experts/StickInsect_actions_v3u1.pt, Seed: 0
Rollout length: 3000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.05, Max Grad Norm: 10.0
Load data states: (2749, 47), actions: (2749, 18)
Expert data states: (2748, 47), actions: (2748, 18)
Expert buffer size: 2748
State shape: (47,), Action shape: (18,)
Input dimension: 65
Initial state shape: (47,)
Num steps: 10000    Return: 3007.1   Time: 0:00:22
Num steps: 20000    Return: 3144.6   Time: 0:00:43
Num steps: 30000    Return: 3057.5   Time: 0:01:06
Num steps: 40000    Return: 2896.6   Time: 0:01:27
Num steps: 50000    Return: 3058.2   Time: 0:01:49
Num steps: 60000    Return: 2957.2   Time: 0:02:12
Num steps: 70000    Return: 3091.3   Time: 0:02:33
Num steps: 80000    Return: 3097.8   Time: 0:02:55
Num steps: 90000    Return: 3022.2   Time: 0:03:17
Num steps: 100000   Return: 3090.1   Time: 0:03:39
Num steps: 110000   Return: 3040.9   Time: 0:04:01
Num steps: 120000   Return: 3314.1   Time: 0:04:23
Num steps: 130000   Return: 3179.4   Time: 0:04:44
Num steps: 140000   Return: 3121.9   Time: 0:05:06
Num steps: 150000   Return: 3012.5   Time: 0:05:29
Num steps: 160000   Return: 3053.9   Time: 0:05:51
Num steps: 170000   Return: 2828.5   Time: 0:06:13
Num steps: 180000   Return: 2963.0   Time: 0:06:37
Num steps: 190000   Return: 3174.7   Time: 0:06:59
Num steps: 200000   Return: 3315.3   Time: 0:07:21
Num steps: 210000   Return: 3242.5   Time: 0:07:44
Num steps: 220000   Return: 3088.8   Time: 0:08:06
Num steps: 230000   Return: 3241.8   Time: 0:08:28
Num steps: 240000   Return: 3345.6   Time: 0:08:51
Num steps: 250000   Return: 3059.1   Time: 0:09:13
Num steps: 260000   Return: 2971.4   Time: 0:09:35
Num steps: 270000   Return: 3003.1   Time: 0:09:58
Num steps: 280000   Return: 3081.4   Time: 0:10:20
Num steps: 290000   Return: 3133.3   Time: 0:10:42
Num steps: 300000   Return: 3149.4   Time: 0:11:05
Num steps: 310000   Return: 3084.0   Time: 0:11:27
Num steps: 320000   Return: 3194.0   Time: 0:11:51
Num steps: 330000   Return: 2978.0   Time: 0:12:13
Num steps: 340000   Return: 2987.5   Time: 0:12:37
Num steps: 350000   Return: 2909.5   Time: 0:13:00
Num steps: 360000   Return: 2998.7   Time: 0:13:22
Num steps: 370000   Return: 3314.3   Time: 0:13:44
Num steps: 380000   Return: 2962.8   Time: 0:14:07
Num steps: 390000   Return: 2978.6   Time: 0:14:29
Num steps: 400000   Return: 3252.0   Time: 0:14:51
Num steps: 410000   Return: 2846.9   Time: 0:15:14
Num steps: 420000   Return: 2934.9   Time: 0:15:37
Num steps: 430000   Return: 3318.5   Time: 0:15:58
Num steps: 440000   Return: 3164.9   Time: 0:16:20
Num steps: 450000   Return: 3226.7   Time: 0:16:43
Num steps: 460000   Return: 2949.5   Time: 0:17:05
Num steps: 470000   Return: 3373.7   Time: 0:17:26
Num steps: 480000   Return: 3056.9   Time: 0:17:49
Num steps: 490000   Return: 3176.4   Time: 0:18:12
Num steps: 500000   Return: 3290.0   Time: 0:18:34
Num steps: 510000   Return: 3266.2   Time: 0:18:57
Num steps: 520000   Return: 3044.8   Time: 0:19:20
Num steps: 530000   Return: 2923.6   Time: 0:19:42
Num steps: 540000   Return: 3097.9   Time: 0:20:04
Num steps: 550000   Return: 3436.8   Time: 0:20:26
Num steps: 560000   Return: 3056.1   Time: 0:20:48
Num steps: 570000   Return: 3158.0   Time: 0:21:10
Num steps: 580000   Return: 3085.1   Time: 0:21:32
Num steps: 590000   Return: 3262.7   Time: 0:21:53
