nohup: ignoring input
2025-03-07 17:38:55.857788: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-03-07 17:38:56.052634: E tensorflow/stream_executor/cuda/cuda_blas.cc:2981] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-03-07 17:38:56.599919: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /home/yuchen/anaconda3/envs/mujoco316/lib/python3.8/site-packages/cv2/../../lib64:/opt/slurm/20.02.6/lib:/home/yuchen/.mujoco/mujoco210/bin:/usr/lib/nvidia
2025-03-07 17:38:56.600039: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /home/yuchen/anaconda3/envs/mujoco316/lib/python3.8/site-packages/cv2/../../lib64:/opt/slurm/20.02.6/lib:/home/yuchen/.mujoco/mujoco210/bin:/usr/lib/nvidia
2025-03-07 17:38:56.600049: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
/home/yuchen/anaconda3/envs/mujoco316/lib/python3.8/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
Device: cuda:0
states: (64, 1000, 27), actions: (64, 1000, 8)
Expert buffer size: 64000
Initial state shape: (27,)
Num steps: 100000   Return: 914.3   Time: 0:02:51
Num steps: 200000   Return: 910.0   Time: 0:05:49
Num steps: 300000   Return: 886.8   Time: 0:08:46
Num steps: 400000   Return: 909.3   Time: 0:11:39
Num steps: 500000   Return: 865.2   Time: 0:14:32
Num steps: 600000   Return: 825.4   Time: 0:17:28
Num steps: 700000   Return: 826.0   Time: 0:20:27
Num steps: 800000   Return: 769.0   Time: 0:23:17
Num steps: 900000   Return: 824.7   Time: 0:26:16
Num steps: 1000000   Return: 763.2   Time: 0:29:12
Num steps: 1100000   Return: 741.8   Time: 0:32:05
Num steps: 1200000   Return: 741.8   Time: 0:34:54
Num steps: 1300000   Return: 741.7   Time: 0:37:52
Num steps: 1400000   Return: 734.2   Time: 0:40:50
Num steps: 1500000   Return: 738.0   Time: 0:43:52
Num steps: 1600000   Return: 734.1   Time: 0:46:45
Num steps: 1700000   Return: 770.8   Time: 0:49:33
Num steps: 1800000   Return: 777.4   Time: 0:52:27
Num steps: 1900000   Return: 741.4   Time: 0:55:27
Num steps: 2000000   Return: 735.8   Time: 0:58:24
Num steps: 2100000   Return: 743.0   Time: 1:01:15
Num steps: 2200000   Return: 759.1   Time: 1:04:11
Num steps: 2300000   Return: 761.2   Time: 1:07:11
Num steps: 2400000   Return: 761.1   Time: 1:10:09
Num steps: 2500000   Return: 761.9   Time: 1:13:14
Num steps: 2600000   Return: 746.0   Time: 1:16:23
Num steps: 2700000   Return: 737.7   Time: 1:19:23
Num steps: 2800000   Return: 740.7   Time: 1:22:22
Num steps: 2900000   Return: 750.4   Time: 1:25:24
Num steps: 3000000   Return: 756.5   Time: 1:28:21
Num steps: 3100000   Return: 747.5   Time: 1:31:24
Num steps: 3200000   Return: 755.9   Time: 1:34:21
Num steps: 3300000   Return: 749.6   Time: 1:37:18
Num steps: 3400000   Return: 759.4   Time: 1:40:23
Num steps: 3500000   Return: 758.9   Time: 1:43:26
Num steps: 3600000   Return: 752.5   Time: 1:46:24
