nohup: ignoring input
state_dim: 27 action_dim: 8
expert_states: (64, 1000, 111) expert_actions: (64, 1000, 8)
expert_states: (64000, 27) expert_actions: (64000, 8) expert_next_states: (64000, 27)
Iteration 0, Disc Loss: 1.5745
Iteration 10, Disc Loss: 1.4175
Iteration 20, Disc Loss: 1.1316
Iteration 30, Disc Loss: 0.9820
Iteration 40, Disc Loss: 0.8018
Iteration 50, Disc Loss: 0.5837
Iteration 60, Disc Loss: 0.4253
Iteration 70, Disc Loss: 0.3028
Iteration 80, Disc Loss: 0.2845
Iteration 90, Disc Loss: 0.2175
Iteration 100, Disc Loss: 0.1903
Iteration 110, Disc Loss: 0.1168
Iteration 120, Disc Loss: 0.1032
Iteration 130, Disc Loss: 0.1500
Iteration 140, Disc Loss: 0.0726
Iteration 150, Disc Loss: 0.0858
Iteration 160, Disc Loss: 0.0506
Iteration 170, Disc Loss: 0.0466
Iteration 180, Disc Loss: 0.0309
Iteration 190, Disc Loss: 0.0670
Iteration 200, Disc Loss: 0.0699
Iteration 210, Disc Loss: 0.0434
Iteration 220, Disc Loss: 0.0249
Iteration 230, Disc Loss: 0.0213
Iteration 240, Disc Loss: 0.0958
Iteration 250, Disc Loss: 0.0148
Iteration 260, Disc Loss: 0.0456
Iteration 270, Disc Loss: 0.0903
Iteration 280, Disc Loss: 0.0365
Iteration 290, Disc Loss: 0.0257
Iteration 300, Disc Loss: 0.0692
Iteration 310, Disc Loss: 0.0141
Iteration 320, Disc Loss: 0.0095
Iteration 330, Disc Loss: 0.0219
Iteration 340, Disc Loss: 0.0186
Iteration 350, Disc Loss: 0.0157
Iteration 360, Disc Loss: 0.0171
Iteration 370, Disc Loss: 0.0224
Iteration 380, Disc Loss: 0.0193
Iteration 390, Disc Loss: 0.0103
Iteration 400, Disc Loss: 0.0242
Iteration 410, Disc Loss: 0.0495
Iteration 420, Disc Loss: 0.0153
Iteration 430, Disc Loss: 0.0084
Iteration 440, Disc Loss: 0.0292
Iteration 450, Disc Loss: 0.0275
Iteration 460, Disc Loss: 0.0808
Iteration 470, Disc Loss: 0.0089
Iteration 480, Disc Loss: 0.0247
Iteration 490, Disc Loss: 0.0151
Iteration 500, Disc Loss: 0.0574
Iteration 510, Disc Loss: 0.0448
Iteration 520, Disc Loss: 0.0224
Iteration 530, Disc Loss: 0.0146
Iteration 540, Disc Loss: 0.0059
Iteration 550, Disc Loss: 0.0135
Iteration 560, Disc Loss: 0.0052
Iteration 570, Disc Loss: 0.0699
Iteration 580, Disc Loss: 0.0064
Iteration 590, Disc Loss: 0.0110
Iteration 600, Disc Loss: 0.0290
Iteration 610, Disc Loss: 0.0082
Iteration 620, Disc Loss: 0.0068
Iteration 630, Disc Loss: 0.0034
Iteration 640, Disc Loss: 0.0078
Iteration 650, Disc Loss: 0.0077
Iteration 660, Disc Loss: 0.0577
Iteration 670, Disc Loss: 0.0444
Iteration 680, Disc Loss: 0.0066
Iteration 690, Disc Loss: 0.0131
Iteration 700, Disc Loss: 0.0155
Iteration 710, Disc Loss: 0.0024
Iteration 720, Disc Loss: 0.0029
Iteration 730, Disc Loss: 0.0046
Iteration 740, Disc Loss: 0.0155
Iteration 750, Disc Loss: 0.0021
Iteration 760, Disc Loss: 0.0111
Iteration 770, Disc Loss: 0.0022
Iteration 780, Disc Loss: 0.0073
Iteration 790, Disc Loss: 0.0473
Iteration 800, Disc Loss: 0.0017
Iteration 810, Disc Loss: 0.0035
Iteration 820, Disc Loss: 0.0009
Iteration 830, Disc Loss: 0.0100
Iteration 840, Disc Loss: 0.0039
Iteration 850, Disc Loss: 0.0075
Iteration 860, Disc Loss: 0.0010
Iteration 870, Disc Loss: 0.0031
Iteration 880, Disc Loss: 0.0009
Iteration 890, Disc Loss: 0.0015
Iteration 900, Disc Loss: 0.0020
Iteration 910, Disc Loss: 0.0023
Iteration 920, Disc Loss: 0.0054
Iteration 930, Disc Loss: 0.0024
Iteration 940, Disc Loss: 0.0015
Iteration 950, Disc Loss: 0.0009
Iteration 960, Disc Loss: 0.0014
Iteration 970, Disc Loss: 0.0032
Iteration 980, Disc Loss: 0.0015
Iteration 990, Disc Loss: 0.0019
Saved trained policy and discriminator models.
